Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Self Storage,Independent,Self Storage,Benton,East Kenwood Street,Siloam Springs,AR,72761,36.1738982,-94.5307446,,,,,,self-storage,C,15,No website found
Snap Box Self Storage,Independent,Snap Box Self Storage,Benton,North 24th Street,Rogers,AR,72756,36.3355044,-94.1528761,,,,,,self-storage,C,15,No website found
Storage World,Independent,Storage World,Benton,Slack Street,Pea Ridge,AR,72751,36.4427248,-94.1316754,,,,,,self-storage,C,15,No website found
Blg Mini Storage,Chain,Blg Mini Storage,Benton,Bella Vista Way,Bella Vista,AR,72714,36.4395665,-94.239202,,,,,,self-storage,C,0,No website found; Chain-managed
RV Storage,Independent,RV Storage,Benton,,,AR,,36.4518489,-94.302286,,,,,,self-storage,C,15,No website found
RV / Boat Storage,Independent,RV / Boat Storage,Benton,,,AR,,36.2275781,-94.1481859,,,,,,self-storage,C,15,No website found
Bella Vista Central Storage,Independent,Bella Vista Central Storage,Benton,Rogers Road,Bella Vista,AR,72715,36.4525272,-94.2949415,,,,,,self-storage,C,15,No website found
A-AAA Self Storage,Independent,A-AAA Self Storage,Benton,East Kenwood Street,Siloam Springs,AR,72761,36.1745925,-94.5265724,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Benton,South Lincoln Street,Siloam Springs,AR,72761,36.1842808,-94.5271599,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Benton,East Tahlequah Street,Siloam Springs,AR,72761,36.187114,-94.5265332,,,,,,self-storage,C,15,No website found
Bella Vista Mini Storage,Chain,Bella Vista Mini Storage,Benton,Howland Road,Bentonville,AR,72712,36.4222001,-94.2525281,479-273-2878,,,,,self-storage,C,0,Chain-managed
Ron's RV Service and Storage,Independent,Ron Mcgaugh,Benton,Wagon Wheel Road,Springdale,AR,72762,36.2271144,-94.1738497,479-365-7299,,https://ronsrvserviceandstorage.com,,,RV/boat,B,55,
Pinion Valley Storage,Independent,Pinion Valley Storage,Benton,Pinion Drive,Bella Vista,AR,72714,36.4715821,-94.2361827,,,,,,self-storage,C,15,No website found
New Hope Storage Sidepath,Independent,New Hope Storage Sidepath,Benton,,,AR,,36.3112006,-94.1049379,,,,,,self-storage,C,15,No website found
Lockerbie Drive,Independent,Lockerbie Drive,Benton,,,AR,,36.4852591,-94.3438003,,,,,,self-storage,C,15,No website found
Lockerbie Lane,Independent,Lockerbie Lane,Benton,,,AR,,36.487623,-94.3431351,,,,,,self-storage,C,15,No website found
Lockerbie Circle,Independent,Lockerbie Circle,Benton,,,AR,,36.4878566,-94.3431436,,,,,,self-storage,C,15,No website found
