Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
U-Haul,Chain,U-Haul,Pope,East Main Street,Russellville,AR,72802,35.2794532,-93.1012548,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Pope,East 10th Street,Russellville,AR,72801,35.26995,-93.133024,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Pope,West Ozarka Street,Dover,AR,72837,35.395227,-93.1133661,,,,,,self-storage,C,15,No website found
EZ Self-Storage,Independent,EZ Self-Storage,Pope,South Arkansas Avenue,Russellville,AR,72802,35.2527862,-93.1339844,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Pope,South Portland Avenue,Russellville,AR,72801,35.2921616,-93.1685503,,,,,,self-storage,C,15,No website found
All Secure Mini Storage,Chain,All Secure Mini Storage,Pope,West Main Street,Russellville,AR,72801,35.2927937,-93.166754,479-858-6464,,,,,self-storage,C,0,Chain-managed
Added Space Storage,Independent,Added Space Storage,Pope,South Knoxville Avenue,Russellville,AR,72802,35.2651013,-93.1219809,479-967-8080,,,,,self-storage,C,40,
J&I Mini Storage,Chain,J&I Mini Storage,Pope,Crow Mountain Drive,Atkins,AR,72823,35.2542946,-92.939645,479-641-2285,,,,,self-storage,C,0,Chain-managed
B & L Mini Storage,Chain,B & L Mini Storage,Pope,Old Highway 124,Russellville,AR,72802,35.2983943,-93.1190356,479-967-3444,,,,,self-storage,C,0,Chain-managed
Space World & Moving Center,Independent,Space World & Moving Center,Pope,,,AR,,35.3031742,-93.1325739,,,,,,self-storage,C,15,No website found
Space World & Moving Center,Independent,Space World & Moving Center,Pope,East Harrell Drive,Russellville,AR,72801,35.3026658,-93.1325399,479-967-1690,,,,,self-storage,C,40,
Dover Mini Storage,Chain,Dover Mini Storage,Pope,West Ozarka Street,Dover,AR,72837,35.3957334,-93.1134631,870-204-4929,,,,,self-storage,C,0,Chain-managed
