Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Gateway Storage,Independent,Gateway Storage,Pulaski,,,AR,,34.8228514,-92.3697471,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Pulaski,,,AR,,34.6767768,-92.4084588,,,,,,self-storage,C,15,No website found
USA Security Storage,Independent,USA Security Storage,Pulaski,,,AR,,34.8794698,-92.1929864,,,,,,self-storage,C,15,No website found
Union Station Self Storage,Independent,Union Station Self Storage,Pulaski,Garland Street,Little Rock,AR,72201,34.7512721,-92.2840978,501-916-9375,,,,,self-storage,C,40,
Cantrell Mini Storage,Chain,Cantrell Mini Storage,Pulaski,Cantrell Road,Little Rock,AR,72202,34.755842,-92.2940117,501-372-0373,,https://cantrellministorage.com/,,,self-storage,C,5,Chain-managed
RV Storage Overflow Lot,Independent,Little Rock AFB Outdoor Rec,Pulaski,3rd Street,Jacksonville,AR,72099,34.9053312,-92.1481664,,,,,,self-storage,C,15,No website found
Extra Closet Self-Storage,Independent,Extra Closet Self-Storage,Pulaski,East Kiehl Avenue,Sherwood,AR,72120,34.8313285,-92.1863386,501-835-0608,,,,,self-storage,C,40,
Sherwood Self Storage,Independent,Sherwood Self Storage,Pulaski,Jan Drive,Sherwood,AR,72120,34.8305076,-92.1899395,,,,,,self-storage,C,15,No website found
Sherwood USA Storage,Independent,Sherwood USA Storage,Pulaski,East Kiehl Avenue,Sherwood,AR,72120,34.8330514,-92.1860659,,,,,,self-storage,C,15,No website found
Modern Storage West Little Rock,Independent,Modern Storage West Little Rock,Pulaski,Autumn Road,Little Rock,AR,72211,34.74965,-92.4017088,501-812-6500,,https://www.modernstorage.com/self-storage-little-rock-ar-f5198,,,self-storage,B,55,
U-Haul,Chain,U-Haul,Pulaski,Geyer Springs Road,Little Rock,AR,72209,34.6678787,-92.3459456,,,,,,self-storage,C,0,No website found; Chain-managed
Modern Storage World,Independent,Modern Storage World,Pulaski,Cunningham Lake Road,Little Rock,AR,72205,34.7513423,-92.3693505,501-224-3370,,https://www.modernstorage.com/self-storage-little-rock-ar-f8355,,,self-storage,B,55,
RV Storage Lot,Independent,Little Rock AFB Outdoor Rec,Pulaski,Cannon Drive,Jacksonville,AR,72099,34.902685,-92.1474519,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Pulaski,East Maddox Road,Jacksonville,AR,72076,34.9149238,-92.1085275,,,,,,self-storage,C,15,No website found
North Pulaski Self Storage,Independent,North Pulaski Self Storage,Pulaski,Highway 107,Jacksonville,AR,72076,34.8706306,-92.1965615,,,,,,self-storage,C,15,No website found
"Brandon Moving and Storage, Bekins",Independent,"Brandon Moving and Storage, Bekins",Pulaski,,,AR,,34.8258383,-92.3776401,,,,,,self-storage,C,15,No website found
Chenal-10 Storage,Independent,Chenal-10 Storage,Pulaski,Cantrell Road,Little Rock,AR,72223,34.8125809,-92.4896403,501-430-3255,,https://www.chenal10storage.com/,,,self-storage,B,55,
Storage,Independent,Storage,Pulaski,,,AR,,34.7780522,-92.5560864,,,,,,self-storage,C,15,No website found
District 6 Storage,Independent,District 6 Storage,Pulaski,,,AR,,34.672399,-92.3793443,,,,,,self-storage,C,15,No website found
Building Managment Storage,Independent,Building Managment Storage,Pulaski,,,AR,,34.6725734,-92.3795562,,,,,,self-storage,C,15,No website found
Lockert Lane,Independent,Lockert Lane,Pulaski,,,AR,,34.742747,-92.499873,,,,,,self-storage,C,15,No website found
