Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Fianna Hills Mini Storage,Chain,Fianna Hills Mini Storage,Sebastian,Brooken Hill Dr,,AR,,35.2981523,-94.4145915,479-648-1200,,https://fiannahillsstorage.com,,,RV/boat,C,5,Chain-managed
Storage Center,Independent,Storage Center,Sebastian,,,AR,,35.3612679,-94.372481,,,,,,self-storage,C,15,No website found
AAA Self Storage,Independent,AAA Self Storage,Sebastian,,,AR,,35.3837013,-94.3667752,,,,,,self-storage,C,15,No website found
A-1 Mini Storage,Chain,A-1 Mini Storage,Sebastian,Phoenix Avenue,Fort Smith,AR,72901,35.3394317,-94.4131363,479-646-4472,,,,,self-storage,C,0,Chain-managed
A-1 Mini Storage,Chain,A-1 Mini Storage,Sebastian,Jenny Lind Road,Fort Smith,AR,72901,35.3397711,-94.4133863,479-646-4472,,https://www.a1ministoragefortsmith.com/,,,self-storage,C,5,Chain-managed
Towson Avenue Storage,Independent,Towson Avenue Storage,Sebastian,Towson Avenue,Fort Smith,AR,72901,35.3712733,-94.4209137,,,,,,self-storage,C,15,No website found
The Fort Storage,Independent,The Fort Storage,Sebastian,,,AR,,35.3209921,-94.3419488,,,,,,self-storage,C,15,No website found
Total Self Storage,Independent,Total Self Storage,Sebastian,,,AR,,35.3268031,-94.3816385,,,,,,self-storage,C,15,No website found
Convenient Self Storage,Independent,Convenient Self Storage,Sebastian,,,AR,,35.3249839,-94.3726212,,,,,,self-storage,C,15,No website found
Best Price Storage,Independent,Best Price Storage,Sebastian,Commerce Court,Fort Smith,AR,72908,35.2967354,-94.4191117,,,,,,self-storage,C,15,No website found
