Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Keyport Self Storage,Independent,Keyport Self Storage,Washington,North College Avenue,Fayetteville,AR,72703,36.0837288,-94.1551969,479-442-0400,,https://keyportselfstoragefayetteville.com/,,,self-storage,B,55,
Ash Street Self Storage,Independent,Ash Street Self Storage,Washington,West Ash Street,Fayetteville,AR,72703,36.0860508,-94.1670739,479-587-0007,,https://ashstreetstorage.com/,,,self-storage,B,55,
Fayetteville Self Service Storage,Independent,Fayetteville Self Service Storage,Washington,North Birch Avenue,Fayetteville,AR,72703,36.0868078,-94.1643932,479-443-2662,,,,,self-storage,C,40,
SpareBox Storage,Independent,SpareBox Storage,Washington,North Rupple Road,Fayetteville,AR,72704,36.0797471,-94.2172264,479-343-8222,,https://www.spareboxstorage.com/storage-units/ar/fayetteville/sparebox-0061,,,self-storage,B,55,
Double Springs Storage,Independent,Double Springs Storage,Washington,North Double Springs Road,Fayetteville,AR,72704,36.0703721,-94.252973,479-802-0568,,https://doublespringsstorage.com/double-springs-units/,,,self-storage,B,55,
AAA Self Storage,Independent,AAA Self Storage,Washington,West Martin Luther King Junior Boulevard,Fayetteville,AR,72704,36.0532387,-94.1985667,479-443-3600,,http://aaaselfstoragefayetteville.com/,,,self-storage,B,55,
Crossover Mini Storage,Chain,Crossover Mini Storage,Washington,North Crossover Road,Fayetteville,AR,72701,36.0851833,-94.1221025,479-521-1302,,https://crossoverministorage.com/,,,self-storage,C,5,Chain-managed
Allied Storage,Independent,Allied Storage,Washington,West 15th Street,Fayetteville,AR,72701,36.0473288,-94.1602398,479-443-5455,,https://www.alliedselfstorageark.com/,,,self-storage,B,55,
Highway 412 Mini Storage,Chain,Highway 412 Mini Storage,Washington,East Robinson Avenue,Springdale,AR,72764,36.1662009,-94.1185291,479-202-3911,,,,,self-storage,C,0,Chain-managed
Air-Tight Self Storage,Independent,Air-Tight Self Storage,Washington,East Robinson Avenue,Springdale,AR,72764,36.165786,-94.1030122,479-750-0101,,,,,self-storage,C,40,
Wobbe Lane Storage,Independent,Wobbe Lane Storage,Washington,East Randall Wobbe Lane,Springdale,AR,72764,36.2033117,-94.1235805,479-927-2111,,,,,self-storage,C,40,
North Thompson Storage,Independent,North Thompson Storage,Washington,North Thompson Street,Springdale,AR,72764,36.2083382,-94.1384552,479-751-3333,info@norththompsonstorage.com,http://norththompsonstorage.com/,,,self-storage,B,65,
Southern Storage,Independent,Southern Storage,Washington,Main Drive,Fayetteville,AR,72704,36.1325791,-94.1481912,479-385-3015,,https://www.rent-storage-units.com/,,,self-storage,B,55,
Johnson Mini Storage,Chain,Johnson Mini Storage,Washington,Wilkerson Road,Fayetteville,AR,72704,36.1303483,-94.1633553,479-444-9622,,,,,self-storage,C,0,Chain-managed
Uncle Tank's Self Storage,Independent,Uncle Tank's Self Storage,Washington,,,AR,,36.1761692,-94.2488111,,,,,,self-storage,C,15,No website found
Aspen Storage Center,Independent,Aspen Storage Center,Washington,West Wedington Drive,Fayetteville,AR,72704,36.0818185,-94.2363775,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Washington,Elm Springs Road,Springdale,AR,72762,36.195053,-94.1762061,,,,,,self-storage,C,15,No website found
Library Storage Annex,Independent,University of Arkansas,Washington,,,AR,,36.059178,-94.1832887,,,,,,self-storage,C,15,No website found
storage building,Independent,storage building,Washington,,,AR,,35.9835661,-94.308051,,,,,,self-storage,C,15,No website found
Track Storage Building,Independent,Track Storage Building,Washington,South Beechwood Avenue,Fayetteville,AR,72701,36.0490477,-94.1842671,,,,,,self-storage,C,15,No website found
Levi Storage Center,Chain,Levi Storage Center,Washington,South Stirman Avenue,Fayetteville,AR,72701,36.0443063,-94.1745225,,,,,,self-storage,C,0,No website found; Chain-managed
Storage Shed,Independent,Storage Shed,Washington,,,AR,,36.1687188,-94.152977,,,,,,self-storage,C,15,No website found
Band Storage Building,Independent,Band Storage Building,Washington,,,AR,,36.0493535,-94.1802103,,,,,,self-storage,C,15,No website found
McClellan Locker Road,Independent,McClellan Locker Road,Washington,,,AR,,35.8992593,-94.4054862,,,,,,self-storage,C,15,No website found
