Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
51 Mini Storage,Chain,51 Mini Storage,,,,AR,,35.4190875,-89.8207581,,,,,,self-storage,C,0,No website found; Chain-managed
64 Ministorage,Chain,64 Ministorage,,,,AR,,35.4090136,-94.4950338,918-427-3249,,64ministorage.com,,,self-storage,C,5,Chain-managed
Absolute Storage,Independent,Absolute Storage,,,,AR,,35.4467208,-89.7870809,,,,,,self-storage,C,15,No website found
Barton Byhalia Mini-Storage,Independent,Barton Byhalia Mini-Storage,,,,AR,,34.9656419,-89.6884606,,,,,,self-storage,C,15,No website found
Barton Mini Storage,Chain,Barton Mini Storage,,,,AR,,34.9669469,-89.6876592,,,,,,self-storage,C,0,No website found; Chain-managed
Blocker Avenue,Independent,Blocker Avenue,,,,AR,,35.3543697,-94.4349883,,,,,,self-storage,C,15,No website found
Blocker Cemetary,Independent,Blocker Cemetary,,,,AR,,34.955284,-89.8226353,,,,,,self-storage,C,15,No website found
Blocker Lane,Independent,Blocker Lane,,,,AR,,33.4485759,-94.1151939,,,,,,self-storage,C,15,No website found
Blocker Street,Independent,Blocker Street,,,,AR,,34.9502705,-89.822468,,,,,,self-storage,C,15,No website found
Cloverleaf Storage,Independent,Cloverleaf Storage,,,,AR,,35.411019,-94.5120072,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,,,,AR,,35.2052618,-89.8988441,,,,,,self-storage,C,0,No website found; Chain-managed
DeepStorage,Independent,DeepStorage,,,,AR,,35.0564804,-89.9515378,,,,,,self-storage,C,15,No website found
Devon Self Storage,Independent,Devon Self Storage,,,,AR,,35.1370136,-89.9725737,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,,,,AR,,35.0216201,-89.849001,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,,Union Avenue,Memphis,AR,38103,35.1407469,-90.0450668,855-533-9346,,https://extraspace.com,,,self-storage,C,5,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,,Stage Road,Memphis,AR,38133,35.2047009,-89.8320686,901-512-7148,,https://extraspace.com,,,self-storage,C,5,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,,Country Park Drive,Memphis,AR,38133,35.19979,-89.8381965,901-708-2238,,https://extraspace.com,,,self-storage,C,5,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,,Union Avenue,Memphis,AR,38103,35.1401562,-90.0442769,901-569-5144,,https://extraspace.com,,,self-storage,C,5,Chain-managed
Falcon Mini Storage,Chain,Falcon Mini Storage,,East Shawntel Smith Boulevard,Muldrow,AR,74948,35.4051069,-94.5769452,918-427-9883,,https://www.falcon-storage.com/,,,self-storage,C,5,Chain-managed
Falcon Mini Storage,Chain,Falcon Mini Storage,,,,AR,,35.4049662,-94.5769352,,,,,,self-storage,C,0,No website found; Chain-managed
Foot Locker,Independent,Foot Locker,,,,AR,,35.1169463,-89.9128866,,,https://stores.footlocker.com/tn/memphis/4465-poplar-ave-8080.html,,,self-storage,C,40,
Gaisman Pool Locker Room,Independent,Gaisman Pool Locker Room,,,,AR,,35.160578,-89.9192016,,,,,,self-storage,C,15,No website found
Itta Benna Mini Storage,Chain,Itta Benna Mini Storage,,,,AR,,33.5268633,-90.3060325,662-455-5340,,,,,self-storage,C,0,Chain-managed
J&S Mini Storage,Chain,J&S Mini Storage,,,,AR,,33.4816458,-89.7323435,,,,,,self-storage,C,0,No website found; Chain-managed
Kids Foot Locker,Independent,Foot Locker,,,,AR,,35.2004901,-89.7879631,,,,,,self-storage,C,15,No website found
Lockaway Storage,Independent,Lockaway Storage,,New Boston Road,Texarkana,AR,75501,33.4440098,-94.1026652,,,,,,self-storage,C,15,No website found
M&J Mini Storage,Chain,M&J Mini Storage,,North Davis Avenue,Cleveland,AR,38732,33.7577615,-90.716429,,,,,,self-storage,C,0,No website found; Chain-managed
McNeer Mini Storage,Chain,McNeer Mini Storage,,,,AR,,33.750591,-90.7458983,,,,,,self-storage,C,0,No website found; Chain-managed
