Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Storage Sense,Independent,Storage Sense,Douglas,Franklin Road,Lawrence,KS,66046,38.9397563,-95.1949794,785-576-6234,lawrence@storagesense.com,https://www.storagesense.com/location/USA/KS/Lawrence/sense-lawrence,,,self-storage,B,65,
Self Storage,Independent,Grand Management,Douglas,Arkansas Street,Lawrence,KS,66044,38.9723281,-95.2496116,785-865-2505,,,,,self-storage,C,40,
Public Storage,Chain,Public Storage,Douglas,Haskell Avenue,Lawrence,KS,66046,38.9430288,-95.2241537,785-371-0160,,https://www.publicstorage.com/self-storage-ks-lawrence/1183.html,,,self-storage,C,5,Chain-managed
Climate Storage,Independent,Climate Storage,Douglas,East 23rd Street,Lawrence,KS,66046,38.9420928,-95.2156715,785-470-3872,,https://www.lawrenceclimatestorage.com/,,,self-storage,B,55,
University Storage,Independent,Absolute Storage Management,Douglas,West 23rd Street,Lawrence,KS,66046,38.9417362,-95.2548561,785-333-1424,university@absolutemgmt.com,https://www.absolutemgmt.com/storage-locations/ks/lawrence/1601-w-23rd-st-suite-200/,,,self-storage,B,65,
Plaza Storage,Independent,Plaza Storage,Douglas,West 31st Street,Lawrence,KS,66047,38.9289419,-95.2630028,785-331-2200,,https://plazastoragelawrence.com/,,,self-storage,B,55,
Parkway Storage,Independent,Parkway Storage,Douglas,Wakarusa Court,Lawrence,KS,66047,38.9436985,-95.3085397,785-749-3499,parkway@sunflower.com,https://www.parkwaystorage.co/,,,self-storage,B,65,
Space Saver Storage,Independent,Space Saver Storage,Douglas,West 6th Street,Lawrence,KS,66049,38.9712335,-95.2842081,785-838-9090,,https://www.sitelinkstore.com/Space-Saver-Storage,,,self-storage,B,55,
Lawrence Storage,Independent,Lawrence Storage,Douglas,Saint James Court,Lawrence,KS,66046,38.943367,-95.217921,785-842-2300,lawrencestorage@hotmail.com,https://www.lawrencestorage.com/,,,self-storage,B,65,
EHS Storage Facility,Independent,EHS Storage Facility,Douglas,,,KS,,38.9490708,-95.264708,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Douglas,West 31st Street,Lawrence,KS,66046,38.9277204,-95.2554932,785-600-3541,,https://www.publicstorage.com/self-storage-ks-lawrence/5848.html,,,self-storage,C,5,Chain-managed
23rd Street Advantage Storage,Independent,23rd Street Advantage Storage,Douglas,East 23rd Street,Lawrence,KS,66046,38.9434055,-95.2209632,785-766-4767,info@advantagestorage-ks.com,http://advantagestorage-ks.com,,,self-storage,B,65,
Uplift Self Storage,Independent,Uplift Self Storage,Douglas,Princeton Boulevard,Lawrence,KS,66044,38.9811708,-95.2590254,785-856-0688,,https://www.upliftselfstorage.com/locations/princeton-boulevard-lawrence-ks-66044,,,self-storage,B,55,
Uplift Self Storage,Independent,Uplift Self Storage,Douglas,North Iowa Street,Lawrence,KS,66044,38.9911239,-95.2600626,785-842-5937,,https://www.upliftselfstorage.com/kansas/facility/uplift-self-storage-north-iowa,,,self-storage,B,55,
Attic Storage of Eudora,Independent,Attic Storage of Eudora,Douglas,Ocl Drive,Eudora,KS,66025,38.9416665,-95.0789228,785-542-1515,,https://www.attic-storage.com/1002-ocl-pkwy-eudora-ks-66025,,,self-storage,B,55,
Facilities Storage Building,Independent,Facilities Storage Building,Douglas,,,KS,,38.9519606,-95.2716261,,,,,,self-storage,C,15,No website found
