Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Extra Space Storage,Chain,Extra Space Storage,Johnson,Pflumm Road,Lenexa,KS,66215,38.9321173,-94.743206,913-270-8140,,https://www.extraspace.com/storage/facilities/us/kansas/lenexa/6176/,,,self-storage,C,5,Chain-managed
iStorage Douglas,Chain,iStorage Douglas,Johnson,,,KS,,39.0161102,-94.7134931,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Johnson,West Interstate Highway 35 Frontage Road,Merriam,KS,66203,38.9997304,-94.6959681,913-624-1722,,,,,self-storage,C,0,Chain-managed
Public Storage,Chain,Public Storage,Johnson,,,KS,,39.0152559,-94.7339101,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Johnson,,,KS,,39.0142915,-94.7373597,,,,,,self-storage,C,0,No website found; Chain-managed
Golden West Maxi Storage,Chain,Golden West Maxi Storage,Johnson,Cole Parkway,Shawnee,KS,66227,38.981364,-94.8597675,,,,,,self-storage,C,0,No website found; Chain-managed
iStorage Self Storage,Chain,iStorage Self Storage,Johnson,Meadow View Drive,Shawnee,KS,66227,38.9868321,-94.8562279,913-270-1925,,https://www.istorage.com/storage/kansas/storage-units-shawnee/7804-Meadow-View-Drive-209,,,self-storage,C,5,Chain-managed
Storage Mart,Chain,Storage Mart,Johnson,West 134th Place,Olathe,KS,66062,38.8850821,-94.7628389,,,,,,self-storage,C,0,No website found; Chain-managed
LiveWell Storage,Independent,LiveWell Storage,Johnson,North Monroe Street,Olathe,KS,66061,38.8849266,-94.830461,913-354-8372,,https://livewellstorage.com,,,self-storage,B,55,
Storage Mart,Chain,Storage Mart,Johnson,West 43rd Street,Shawnee,KS,66226,39.0516718,-94.8655362,913-422-1008,,https://www.storage-mart.com/kansas-city/shawnee,,,self-storage,C,5,Chain-managed
StorageMart,Chain,StorageMart,Johnson,Shawnee Mission Parkway,Overland Park,KS,66202,39.0163018,-94.6695086,816-631-2688,,https://www.storage-mart.com/kansas-city/overland-park/1672-shawnee-mission-pkwy-66202,,,self-storage,C,5,Chain-managed
MegaStorage Shawnee,Independent,MegaStorage Shawnee,Johnson,West 79th Street,Shawnee,KS,66227,38.9847572,-94.8575566,515-777-4124,,https://www.megastoragekansascity.com/,,,self-storage,B,55,
Smart Storage,Independent,Smart Storage,Johnson,Maurer Road,Lenexa,KS,66219,38.9730319,-94.7746276,913-404-9377,,https://www.absolutemgmt.com/storage-locations/ks/lenexa/smart-storage-lenexa,,,self-storage,B,55,
Public Storage,Chain,Public Storage,Johnson,Santa Fe Trail Drive,Lenexa,KS,66215,38.9704091,-94.7230922,913-274-1169,,https://www.publicstorage.com/self-storage-ks-lenexa/5650.html,,,self-storage,C,5,Chain-managed
StorTropolis Self-Storage,Independent,StorTropolis Self-Storage,Johnson,West 66th Terrace,Shawnee,KS,66218,39.008065,-94.8222624,,,https://www.stortropolis.com/20500-w-66th-terrace-shawnee-ks-66218#/unit/listing,,,self-storage,C,40,
iStorage Self Storage,Chain,iStorage Self Storage,Johnson,Vista Drive,Shawnee,KS,66218,39.0135356,-94.8200561,,,https://www.istorage.com/storage/kansas/storage-units-shawnee/6410-Vista-Drive-207,,,self-storage,C,0,Chain-managed
I35-435 Self Storage,Independent,I35-435 Self Storage,Johnson,Cottonwood Street,Lenexa,KS,66215,38.9337599,-94.7504178,913-469-5880,,,,,self-storage,C,40,
StorageMart,Chain,StorageMart,Johnson,South Mahaffie Street,Olathe,KS,66062,38.8563181,-94.8075705,913-768-0833,,https://www.storage-mart.com/kansas-city/olathe/66062-mahaffie-circle,,,self-storage,C,5,Chain-managed
StorageMart,Chain,StorageMart,Johnson,West 91st Street,Overland Park,KS,66212,38.9629783,-94.6644195,913-600-5139,,https://www.storage-mart.com/kansas-city/overland-park/66212-west-91st-street,,,self-storage,C,5,Chain-managed
