Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Ogden Self Storage,Independent,Ogden Self Storage,Riley,,,KS,,39.1153774,-96.710932,785-307-5551,,,,,self-storage,C,40,
Self Storage and Safe Deposit Boxes,Independent,Self Storage and Safe Deposit Boxes,Riley,,,KS,,39.1150376,-96.7127172,785-539-8200,,,,,self-storage,C,40,
Manhattan Self Storage,Independent,Manhattan Self Storage,Riley,,,KS,,39.1713705,-96.5942783,785-539-0253,,,,,self-storage,C,40,
American Air Controlled Storage,Independent,American Air Controlled Storage,Riley,,,KS,,39.1830675,-96.6033374,,,,,,self-storage,C,15,No website found
Amherst Self Storage,Independent,Amherst Self Storage,Riley,Playmate Lane,Manhattan,KS,66502,39.1840477,-96.6066166,,,,,,self-storage,C,15,No website found
Knox Lane Self Storage,Independent,Knox Lane Self Storage,Riley,,,KS,,39.2033101,-96.553598,,,,,,self-storage,C,15,No website found
B & T Southside Storage,Independent,B & T Southside Storage,Riley,Fair Lane,Manhattan,KS,66502,39.1738998,-96.5695398,785-539-8996,,,,,self-storage,C,40,
Eureka Drive Storage,Independent,Eureka Drive Storage,Riley,,,KS,,39.1538537,-96.655323,,,,,,self-storage,C,15,No website found
Landmark Self Storage,Independent,Landmark Self Storage,Riley,Eureka Terrace,,KS,,39.1514667,-96.653206,785-313-7777,,https://www.landmark-selfstorage.com/,,,self-storage,B,55,
Taylor Made Storage,Independent,Taylor Made Storage,Riley,Tuttle Creek Boulevard,Manhattan,KS,66503,39.2533636,-96.6651604,,,https://taylormadestorage.com/,,,self-storage,C,40,
Manhattan Mini Self Storage,Independent,Manhattan Mini Self Storage,Riley,Murray Road,Manhattan,KS,66503,39.1435082,-96.6587038,,,,,,self-storage,C,15,No website found
Bailey Moving & Storage,Independent,Bailey Moving & Storage,Riley,Levee Drive,Manhattan,KS,66502,39.1935031,-96.5414573,,,,,,self-storage,C,15,No website found
Foot Locker,Independent,Foot Locker,Riley,,,KS,,39.179025,-96.558878,,,,,,self-storage,C,15,No website found
