Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
U-STOR Maize,Independent,U-STOR Maize,Sedgwick,North Maize Road,Wichita,KS,67205,37.7490204,-97.4634433,316-729-9900,,https://ustorwichita.com/locations/u-stor-maize/,,,self-storage,B,55,
iStorage,Chain,iStorage,Sedgwick,East 61st Street North,Park City,KS,67219,37.7949127,-97.3329236,,,https://www.istorage.com/storage/kansas/storage-units-park-city/433-e-61st-st-n-819,,,self-storage,C,0,Chain-managed
Public Storage,Chain,Public Storage,Sedgwick,West 21st Street North,Wichita,KS,67205,37.7220476,-97.4426826,316-910-4855,,https://www.publicstorage.com/self-storage-ks-wichita/6119.html,,,self-storage,C,5,Chain-managed
U-STOR Northwest,Independent,U-STOR Northwest,Sedgwick,West 21st Street North,Wichita,KS,67205,37.7222196,-97.46575,316-722-7181,,https://ustorwichita.com/locations/u-stor-northwest/,,,self-storage,B,55,
iStorage,Chain,iStorage,Sedgwick,North Tyler Road,Wichita,KS,67212,37.6923169,-97.4439872,,,,,,self-storage,C,0,No website found; Chain-managed
Little Arkansas River upstream of Aquifer Storage and Recovery Facility near Sedgwick,Independent,United States Geological Survey,Sedgwick,,,KS,,37.8971389,-97.4411111,,,https://waterdata.usgs.gov/monitoring-location/375350097262800,,,self-storage,C,40,
Bayside Storage,Independent,Bayside Storage,Sedgwick,North Hoover Road,Wichita,KS,67205,37.7276479,-97.4094064,,,https://www.baysidestorage.net/,,,self-storage,C,40,
MaxSecure Storage,Independent,MaxSecure Storage,Sedgwick,,,KS,,37.684888,-97.3842562,785-943-0307,,,,,self-storage,C,40,
Lab Storage 223B,Independent,Lab Storage 223B,Sedgwick,,,KS,,37.7180039,-97.2918891,,,,,,self-storage,C,15,No website found
lab storage,Independent,lab storage,Sedgwick,,,KS,,37.7168414,-97.292962,,,,,,self-storage,C,15,No website found
dental storage,Independent,dental storage,Sedgwick,,,KS,,37.7167558,-97.2925308,,,,,,self-storage,C,15,No website found
Storage laundry,Independent,Storage laundry,Sedgwick,,,KS,,37.7168124,-97.292431,,,,,,self-storage,C,15,No website found
laboratory Storage,Independent,laboratory Storage,Sedgwick,,,KS,,37.7176975,-97.2934731,,,,,,self-storage,C,15,No website found
Lost Storage,Independent,Lost Storage,Sedgwick,,,KS,,37.7178636,-97.2943051,,,,,,self-storage,C,15,No website found
Philosophy storage #004,Independent,Philosophy storage #004,Sedgwick,,,KS,,37.7170341,-97.2960296,,,,,,self-storage,C,15,No website found
Storage 204b,Independent,Storage 204b,Sedgwick,,,KS,,37.7198174,-97.2928132,,,,,,self-storage,C,15,No website found
Storage 204a,Independent,Storage 204a,Sedgwick,,,KS,,37.7197671,-97.2928134,,,,,,self-storage,C,15,No website found
storage room,Independent,storage room,Sedgwick,,,KS,,37.7180774,-97.2954485,,,,,,self-storage,C,15,No website found
building storage,Independent,building storage,Sedgwick,,,KS,,37.7168948,-97.2960164,,,,,,self-storage,C,15,No website found
Storage 5,Independent,Storage 5,Sedgwick,,,KS,,37.7180945,-97.2946483,,,,,,self-storage,C,15,No website found
Storage 1,Independent,Storage 1,Sedgwick,,,KS,,37.718075,-97.2947797,,,,,,self-storage,C,15,No website found
Kitchen Storage,Independent,Kitchen Storage,Sedgwick,,,KS,,37.7179821,-97.2947401,,,,,,self-storage,C,15,No website found
T&C Storage,Independent,T&C Storage,Sedgwick,,,KS,,37.7179397,-97.2946337,,,,,,self-storage,C,15,No website found
Geochemistry Storage Room,Independent,Geochemistry Storage Room,Sedgwick,,,KS,,37.7177383,-97.2936356,,,,,,self-storage,C,15,No website found
Field Equipment Storage,Independent,Field Equipment Storage,Sedgwick,,,KS,,37.7177079,-97.2933283,,,,,,self-storage,C,15,No website found
Storage for Geology Energy Resourses,Independent,Storage for Geology Energy Resourses,Sedgwick,,,KS,,37.7177083,-97.2932386,,,,,,self-storage,C,15,No website found
Sample and Aerial Photo Collection Storage,Independent,Sample and Aerial Photo Collection Storage,Sedgwick,,,KS,,37.7176011,-97.2933244,,,,,,self-storage,C,15,No website found
external storage,Independent,external storage,Sedgwick,,,KS,,37.7169064,-97.2959685,,,,,,self-storage,C,15,No website found
Storage level 3,Independent,Storage level 3,Sedgwick,,,KS,,37.7170724,-97.2960446,,,,,,self-storage,C,15,No website found
History storage,Independent,History storage,Sedgwick,,,KS,,37.7170344,-97.2960255,,,,,,self-storage,C,15,No website found
Storage 2,Independent,Storage 2,Sedgwick,,,KS,,37.7182319,-97.2945884,,,,,,self-storage,C,15,No website found
SGA Storage,Independent,SGA Storage,Sedgwick,,,KS,,37.7174732,-97.2945024,,,,,,self-storage,C,15,No website found
Art Storage,Independent,Art Storage,Sedgwick,,,KS,,37.7174505,-97.2942332,,,,,,self-storage,C,15,No website found
OMA Storage,Independent,OMA Storage,Sedgwick,,,KS,,37.7178244,-97.2942413,,,,,,self-storage,C,15,No website found
Storage/vault,Independent,Storage/vault,Sedgwick,,,KS,,37.7183619,-97.2946467,,,,,,self-storage,C,15,No website found
Dry Storage,Independent,Dry Storage,Sedgwick,,,KS,,37.6867332,-97.3477897,,,,,,self-storage,C,15,No website found
Display and Arts Storage,Independent,Display and Arts Storage,Sedgwick,,,KS,,37.6867082,-97.3477565,,,,,,self-storage,C,15,No website found
Children's Storage,Independent,Children's Storage,Sedgwick,,,KS,,37.6867472,-97.3476761,,,,,,self-storage,C,15,No website found
Friends Storage,Independent,Friends Storage,Sedgwick,,,KS,,37.6873554,-97.3477419,,,,,,self-storage,C,15,No website found
High Density Storage,Independent,High Density Storage,Sedgwick,,,KS,,37.6874418,-97.3477181,,,,,,self-storage,C,15,No website found
Electrical Storage Room,Independent,Electrical Storage Room,Sedgwick,,,KS,,37.7181666,-97.2920905,,,,,,self-storage,C,15,No website found
Amazon Hub Locker,Independent,Amazon Hub,Sedgwick,,,KS,,37.7197282,-97.2916477,,,,,,self-storage,C,15,No website found
Stroot Locker,Independent,Stroot Locker,Sedgwick,North Main Street,Goddard,KS,67052,37.657713,-97.5751376,316-794-8762,,https://www.strootlockers.com/,,,self-storage,B,55,
East Glocker Road,Independent,East Glocker Road,Sedgwick,,,KS,,37.9092435,-97.320865,,,,,,self-storage,C,15,No website found
lockers,Independent,lockers,Sedgwick,,,KS,,37.7167327,-97.2929194,,,,,,self-storage,C,15,No website found
womens locker room,Independent,womens locker room,Sedgwick,,,KS,,37.7167281,-97.2928163,,,,,,self-storage,C,15,No website found
mens locker room,Independent,mens locker room,Sedgwick,,,KS,,37.7167182,-97.2927356,,,,,,self-storage,C,15,No website found
faculty lockers,Independent,faculty lockers,Sedgwick,,,KS,,37.7167059,-97.2924873,,,,,,self-storage,C,15,No website found
