Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Valley Self-Storage,Independent,Valley Self-Storage,Shawnee,Southwest 21st Street,Topeka,KS,66604,39.0288806,-95.75746,785-273-3003,,https://selfstoragetopeka.com/self-storage/topeka-ks-66604.php,,,self-storage,B,55,
Silver Lake Self Storage,Independent,Silver Lake Self Storage,Shawnee,,,KS,,39.0957517,-95.8576814,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Shawnee,Southeast 29th Street,Topeka,KS,66605,39.016748,-95.6761737,,,https://www.cubesmart.com/,,,self-storage,C,0,Chain-managed
Metro Self Storage,Independent,Metro Self Storage,Shawnee,Southwest Westport Drive,Topeka,KS,66604,39.0337497,-95.7569504,602-829-4188,,https://www.metrostorage.com/self-storage/ks/topeka/tw/,,,self-storage,B,55,
AAA Self Storage,Independent,AAA Self Storage,Shawnee,Southwest Westport Drive,Topeka,KS,66614,39.0270091,-95.756777,785-272-3444,aaaselfstorage2155@sbcglobal.net,http://www.aaaselfstoragetopeka.com/,,,self-storage,B,65,
Self Storage,Independent,Self Storage,Shawnee,Southeast 8th Avenue,Topeka,KS,66607,39.047069,-95.6644359,,,,,,self-storage,C,15,No website found
Spare Garage Storage,Independent,Spare Garage Storage,Shawnee,Southeast California Avenue,Topeka,KS,66609,38.9874539,-95.6523907,785-266-8199,,https://sparegaragestoragetopeka.com/,,,self-storage,B,55,
Track 409 Storage #9,Independent,Track 409 Storage #9,Shawnee,,,KS,,39.0659115,-95.686047,,,,,,self-storage,C,15,No website found
Track 403 Storage #3,Independent,Track 403 Storage #3,Shawnee,,,KS,,39.0659413,-95.6875822,,,,,,self-storage,C,15,No website found
Track 407 Storage #7,Independent,Track 407 Storage #7,Shawnee,,,KS,,39.0660393,-95.6877322,,,,,,self-storage,C,15,No website found
Track 402 Storage #2,Independent,Track 402 Storage #2,Shawnee,,,KS,,39.0650761,-95.6848555,,,,,,self-storage,C,15,No website found
Horseshoe Court Storage,Independent,Horseshoe Court Storage,Shawnee,,,KS,,39.0534001,-95.7267712,,,,,,self-storage,C,15,No website found
Rose Garden Storage,Independent,Rose Garden Storage,Shawnee,,,KS,,39.0540371,-95.7316023,,,,,,self-storage,C,15,No website found
Track 408 Storage #8,Independent,Track 408 Storage #8,Shawnee,,,KS,,39.0661008,-95.6865787,,,,,,self-storage,C,15,No website found
