Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Belt Highway Self Storage,Independent,Belt Highway Self Storage,,,,KS,,39.7390264,-94.8001503,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,,West 73rd Terrace,Kansas City,KS,64114,38.9956968,-94.5930604,,,https://www.extraspace.com/storage/facilities/us/missouri/kansas_city/2056/,,,self-storage,C,0,Chain-managed
Foot Locker,Independent,Foot Locker,,West 47th Street,Kansas City,KS,64112,39.0421841,-94.5939153,,,https://stores.footlocker.com/mo/kansascity/603-west-47th-street-7135.html,,,self-storage,C,40,
KCI Storage,Chain,KCI Storage,,1st Street,Ferrelview,KS,64163,39.31129,-94.665813,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,,Northwest Prairie View Road,Platte City,KS,64079,39.3490572,-94.759537,,,,,,self-storage,C,0,No website found; Chain-managed
River City Storage,Independent,River City Storage,,West 31st Street,Kansas City,KS,64111,39.0714511,-94.6032191,816-561-3404,,https://www.rivercitystorageinc.com/,,,self-storage,B,55,
Security Self Storage,Independent,Security Self Storage,,,,KS,,39.0774165,-94.6016817,,,,,,self-storage,C,15,No website found
StorTropolis,Independent,StorTropolis,,,,KS,,39.2572133,-94.6468875,,,,,,self-storage,C,15,No website found
StorageMart,Chain,StorageMart,,Wornall Road,,KS,,38.9911688,-94.5948359,,,,,,self-storage,C,0,No website found; Chain-managed
StorageMart,Chain,StorageMart,,Broadway Boulevard,Kansas City,KS,64111,39.0654775,-94.5898174,,,,,,self-storage,C,0,No website found; Chain-managed
Triple T Mini Storange,Independent,Triple T Mini Storange,,,,KS,,36.9935154,-94.7401449,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,,,,KS,,39.7749932,-94.805396,,,,,,self-storage,C,0,No website found; Chain-managed
iStorage,Chain,iStorage,,,,KS,,39.2450876,-94.6304085,,,,,,self-storage,C,0,No website found; Chain-managed
Iola RV Park & Storage,Independent,Iola RV Park & Storage,Allen,USHwy 54,Iola,KS,66749,37.921584,-95.415825,,,http://www.iolarvparkandstorage.com,,,self-storage,C,40,
Iola RV Park & Storage,Independent,Iola RV Park & Storage,Allen,,,KS,,37.9212544,-95.4170598,,,http://www.iolarvparkandstorage.com,,,self-storage,C,40,
