Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
U-Stor,Independent,U-Stor,Caddo,,,LA,,32.4390331,-93.7813341,,,,,,self-storage,C,15,No website found
Shreveport Self Storage,Independent,Shreveport Self Storage,Caddo,Mansfield Road,Shreveport,LA,71118-3181,32.3962794,-93.8108788,318-686-7198,,,,,self-storage,C,40,
P. Howard Garage Inc.,Independent,P. Howard Garage Inc.,Caddo,Cotton Street,Shreveport,LA,71101,32.5091931,-93.7483868,,,,,,self-storage,C,15,No website found
Inner Loop Mini Storage,Chain,Inner Loop Mini Storage,Caddo,Shrevepark Drive,Shreveport,LA,71129,32.4320969,-93.8413663,,,,,,self-storage,C,0,No website found; Chain-managed
Hideaway North Storage,Independent,Hideaway North Storage,Caddo,Northwood South Road,Shreveport,LA,71107,32.5984961,-93.8475979,318-795-8111,,,,,self-storage,C,40,
Blanchard Self Storage,Independent,Blanchard Self Storage,Caddo,Old Mooringsport Road,Shreveport,LA,71107-9251,32.6078941,-93.8719393,318-929-9906,,,,,self-storage,C,40,
Rolling Hills Self Storage,Independent,Rolling Hills Self Storage,Caddo,Main Street,Shreveport,LA,71107,32.5794525,-93.889909,,,,,,self-storage,C,15,No website found
Pine Hill Self Storage,Independent,Pine Hill Self Storage,Caddo,Pine Hill Road,Shreveport,LA,71107,32.5845609,-93.8475036,318-929-3082,,,,,self-storage,C,40,
Mansfield Road Storage Center,Independent,Mansfield Road Storage Center,Caddo,Mansfield Road,Shreveport,LA,71118-3126,32.3982693,-93.8060841,318-683-3939,,,,,self-storage,C,40,
A & B Mini Storage,Chain,A & B Mini Storage,Caddo,Dixie Blanchard Road,Shreveport,LA,71107-8849,32.613042,-93.8976481,,,,,,self-storage,C,0,No website found; Chain-managed
North Shreveport Self Storage,Independent,North Shreveport Self Storage,Caddo,North Market Street,Shreveport,LA,71107,32.582626,-93.8054062,318-221-1344,,,,,self-storage,C,40,
Northwood Self Storage,Independent,Northwood Self Storage,Caddo,Highway 1,Shreveport,LA,71107,32.6336239,-93.891242,,,,,,self-storage,C,15,No website found
Sun Furniture Storage,Independent,Sun Furniture Storage,Caddo,Texas Avenue,Shreveport,LA,71101,32.4995299,-93.7545109,,,,,,self-storage,C,15,No website found
Commercial Storage and Distribution,Independent,Commercial Storage and Distribution,Caddo,Metro Drive,Shreveport,LA,71109,32.4583514,-93.8426016,,,,,,self-storage,C,15,No website found
I-20 Office & Storage,Independent,I-20 Office & Storage,Caddo,Metro Drive,Shreveport,LA,71109,32.4580708,-93.8412144,,,,,,self-storage,C,15,No website found
