Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Life Storage,Chain,Life Storage,East Baton Rouge,North 3rd Street,Baton Rouge,LA,70802,30.4661418,-91.1887352,225-201-1994,selfstorage@lifestorage.com,https://www.lifestorage.com/storage-units/louisiana/baton-rouge/70802/8049-in-baton-rouge/,,,self-storage,C,15,Chain-managed
O'Neal Lane Storage,Independent,O'Neal Lane Storage,East Baton Rouge,,,LA,,30.4300111,-91.0079098,225-756-0100,,https://www.thestoragecenters.com/oneal-lane-storage.html,,,self-storage,B,55,
Sherwood Mini Storages,Chain,Sherwood Mini Storages,East Baton Rouge,Florida Boulevard,Baton Rouge,LA,70815,30.4593279,-91.0523264,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,East Baton Rouge,Airline Highway,Prairieville,LA,70769,30.3389213,-90.987999,,,,,,self-storage,C,0,No website found; Chain-managed
College Drive Mini Storage,Chain,College Drive Mini Storage,East Baton Rouge,,,LA,,30.4164513,-91.1378671,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,East Baton Rouge,Airline Highway,,LA,,30.3506651,-90.9979749,,,,,,self-storage,C,15,No website found
Highland Storage,Independent,Highland Storage,East Baton Rouge,Airline Highway,,LA,,30.3504251,-90.9979106,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,East Baton Rouge,Burbank Drive,Baton Rouge,LA,70820,30.3991941,-91.1710275,225-465-1314,,extraspace.com,,,self-storage,C,5,Chain-managed
Self Storage,Chain,College Drive Mini Storage,East Baton Rouge,Concord Avenue,,LA,,30.4174168,-91.1390799,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Chain,College Drive Mini Storage,East Baton Rouge,Valley Creek Drive,,LA,,30.4170462,-91.1385245,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Chain,College Drive Mini Storage,East Baton Rouge,Concord Avenue,,LA,,30.4164507,-91.1384192,225-927-6111,,,,,self-storage,C,0,Chain-managed
Self Storage,Chain,College Drive Mini Storage,East Baton Rouge,Revere Avenue,,LA,,30.4161053,-91.1373996,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,East Baton Rouge,Perkins Road,,LA,,30.41578,-91.138498,,,,,,self-storage,C,15,No website found
Clima Stor,Independent,Clima Stor,East Baton Rouge,Perkins Road,,LA,,30.3982002,-91.1105801,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Move It Self Storage,East Baton Rouge,Dawnadele Avenue,,LA,,30.4194568,-91.0779429,,,,,,self-storage,C,15,No website found
Move It Self Storage,Independent,Move It Self Storage,East Baton Rouge,Dawnadele Avenue,,LA,,30.4215528,-91.0778854,225-293-4558,,https://www.moveitstorage.com/storage/louisiana/storage-units-baton-rouge/9530-Dawnadele-Ave-31,,,self-storage,B,55,
Self Storage,Independent,Self Storage,East Baton Rouge,Coursey Boulevard,Baton Rouge,LA,70817,30.4090508,-91.0230858,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,East Baton Rouge,Industriplex Boulevard,Baton Rouge,LA,70809,30.3841326,-91.0421682,225-752-3733,,https://www.extraspace.com/life-storage/,,,self-storage,C,5,Chain-managed
Cloverland Storage,Independent,Cloverland Storage,East Baton Rouge,Cloverland Avenue,Baton Rouge,LA,70809,30.3942809,-91.0554564,225-572-4567,,http://www.cloverlandstorage.com/,,,self-storage,B,55,
Self Storage,Independent,Self Storage,East Baton Rouge,Cloverland Avenue,Baton Rouge,LA,70809,30.3945619,-91.0552669,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,East Baton Rouge,Investor Avenue,Baton Rouge,LA,70809,30.3917942,-91.0515957,,,,,,self-storage,C,15,No website found
Dependable Storage,Independent,Dependable Storage,East Baton Rouge,,,LA,,30.3627714,-91.1304277,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,East Baton Rouge,Airline Highway,Baton Rouge,LA,70805,30.4794196,-91.1143639,877-687-0091,,https://www.extraspace.com/storage/facilities/us/louisiana/baton_rouge/3110/,,,self-storage,C,5,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,East Baton Rouge,Airline Highway,Baton Rouge,LA,70816,30.395313,-91.0523407,225-293-5544,,,,,self-storage,C,0,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,East Baton Rouge,Siegen Lane,,LA,,30.3718844,-91.074586,225-306-1242,,extraspace.com,,,self-storage,C,5,Chain-managed
Pilgrim Storage Center,Independent,Pilgrim Storage Center,East Baton Rouge,Airline Highway,,LA,,30.4132865,-91.0683423,,,,,,self-storage,C,15,No website found
Jefferson Storage,Independent,Jefferson Storage,East Baton Rouge,,,LA,,30.3940917,-91.0427013,225-755-1630,,,,,self-storage,C,40,
Cooperative Extension Storage,Independent,Cooperative Extension Storage,East Baton Rouge,Gourrier Avenue,Baton Rouge,LA,70808,30.4037086,-91.1752394,,,https://store.lsuagcenter.com/,,,self-storage,C,40,
Sea Grant Storage B,Independent,Sea Grant Storage B,East Baton Rouge,,,LA,,30.4090317,-91.183253,,,,,,self-storage,C,15,No website found
Sea Grant Storage A,Independent,Sea Grant Storage A,East Baton Rouge,,,LA,,30.409169,-91.1830437,,,,,,self-storage,C,15,No website found
Greenhouse Storage,Independent,Greenhouse Storage,East Baton Rouge,,,LA,,30.4044148,-91.177595,,,,,,self-storage,C,15,No website found
Carpenter Shop Lumber Storage (715),Independent,Carpenter Shop Lumber Storage (715),East Baton Rouge,,,LA,,30.4089289,-91.1808218,,,,,,self-storage,C,15,No website found
Agricultural Engineering Storage,Independent,Agricultural Engineering Storage,East Baton Rouge,,,LA,,30.4084274,-91.178359,,,,,,self-storage,C,15,No website found
Physical Plant Storage,Independent,Physical Plant Storage,East Baton Rouge,,,LA,,30.5321889,-91.1926419,,,,,,self-storage,C,15,No website found
