Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Life Storage,Chain,Life Storage,Jefferson,West Napoleon Avenue,Kenner,LA,70062,29.9966025,-90.2397709,504-468-3434,,,,,self-storage,C,0,Chain-managed
Elmwood Self Storage,Independent,Elmwood Self Storage,Jefferson,South Clearview Parkway,,LA,,29.9582914,-90.1870904,504-737-7676,,https://elmwoodselfstorage.com/,,,self-storage,B,55,
Extra Space Storage,Chain,Extra Space Storage,Jefferson,,,LA,,29.9479339,-90.1816654,,,,,,self-storage,C,0,No website found; Chain-managed
Life Storage,Chain,Life Storage,Jefferson,Jefferson Hwy,Elmwood,LA,70123,29.9458423,-90.1853914,504-556-2893,selfstorage@lifestorage.com,https://www.lifestorage.com/storage-units/louisiana/new-orleans/70123/8048-in-elmwood/,,,self-storage,C,15,Chain-managed
CubeSmart,Chain,CubeSmart,Jefferson,,,LA,,30.0348475,-90.2376559,,,,,,self-storage,C,0,No website found; Chain-managed
Key Storage,Independent,Key Storage,Jefferson,,,LA,,30.0107722,-90.2648974,,,https://www.mykeystorage.com/,,,self-storage,C,40,
Public Storage,Chain,Public Storage,Jefferson,,,LA,,29.8755847,-90.0512381,,,,,,self-storage,C,0,No website found; Chain-managed
Safeguard Self Storage,Independent,Safeguard Self Storage,Jefferson,Riverside Drive,Metairie,LA,70003,30.008508,-90.215437,504-208-1878,,,,,self-storage,C,40,
Safeguard Self Storage,Independent,Safeguard Self Storage,Jefferson,I-10 Service Road,Metairie,LA,70002,29.9992667,-90.1745744,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Jefferson,Citrus Boulevard,Jefferson,LA,70123,29.9638383,-90.1990148,,,,,,self-storage,C,0,No website found; Chain-managed
U-Haul Self Storage,Chain,U-Haul Self Storage,Jefferson,,,LA,,29.9755397,-90.1689533,504-737-0916,,,,,self-storage,C,0,Chain-managed
Lakeview Self Storage,Independent,Lakeview Self Storage,Jefferson,,,LA,,29.9990447,-90.1261238,,,,,,self-storage,C,15,No website found
Kenner Self Storage,Independent,Kenner Self Storage,Jefferson,,,LA,,30.0118273,-90.2654219,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Jefferson,Highway 90,Waggaman,LA,70094,29.9098751,-90.2203219,,,https://www.cubesmart.com/louisiana-self-storage/avondale-self-storage/3294.html,,,self-storage,C,0,Chain-managed
Foot Locker,Independent,Foot Locker,Jefferson,,,LA,,30.0059849,-90.1578525,,,https://stores.footlocker.com/la/metairie/3301-veterans-memorial-boulevard-7281.html,,,self-storage,C,40,
Kids Foot Locker,Independent,Foot Locker,Jefferson,,,LA,,30.0061905,-90.1576283,,,,,,self-storage,C,15,No website found
