Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
U STORE IT,Independent,U STORE IT,Ouachita,Cypress Street,West Monroe,LA,71291,32.5168633,-92.164035,318-362-0041,,,,,self-storage,C,40,
Marshall's Cabinets & More,Independent,Marshall's Cabinets & More,Ouachita,,,LA,,32.568284,-92.0645802,318-732-9635,,,,,self-storage,C,40,
Hideaway Self Storage,Independent,Hideaway Self Storage,Ouachita,Old Sterlington Road,Monroe,LA,71203,32.5676348,-92.0649963,,,,,,self-storage,C,15,No website found
The Attic Self Storage,Independent,The Attic Self Storage,Ouachita,Warren Drive,West Monroe,LA,71291,32.5192529,-92.1610576,318-396-9437,,https://www.theatticwm.com/,,,self-storage,B,55,
Jay's Self Storage,Independent,Jay's Self Storage,Ouachita,Knowles Lane,West Monroe,LA,71291,32.5192268,-92.1498689,318-812-1000,,https://jaysselfstorage.com/,,,self-storage,B,55,
Red Dot Storage,Independent,Red Dot Storage,Ouachita,Circle Drive,West Monroe,LA,71291,32.5162851,-92.1539998,318-855-2319,,,,,self-storage,C,40,
Dixie Homes & Self Storage,Independent,Dixie Homes & Self Storage,Ouachita,Blazier Estate Road,West Monroe,LA,71292,32.500469,-92.1512435,800-828-3958,,,,,self-storage,C,40,
Ace Mini Storage,Chain,Ace Mini Storage,Ouachita,Natchitoches Street,West Monroe,LA,71292,32.4946434,-92.1395962,318-570-4915,,https://www.theaceministorage.com/,,,self-storage,C,5,Chain-managed
Kim's Self Storage,Independent,Kim's Self Storage,Ouachita,US Highway 80,Calhoun,LA,71225,32.5125606,-92.3583103,318-664-0330,,,,,self-storage,C,40,
Wanda's Rentals,Independent,Wanda's Rentals,Ouachita,LA-34,West Monroe,LA,71292,32.413724,-92.2360645,318-323-0087,,,,,self-storage,C,40,
Keep-It-Safe Storage,Independent,Keep-It-Safe Storage,Ouachita,Cypress Street,West Monroe,LA,71291,32.5162311,-92.1728567,318-396-8856,,,,,self-storage,C,40,
Cadeville Storage Interconnect,Independent,"Enable Gas Transmission, LLC",Ouachita,,,LA,,32.3207027,-92.2767441,,,,,,self-storage,C,15,No website found
