Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
G & G Mini Storage,Chain,G & G Mini Storage,Terrebonne,Westside Boulevard,Houma,LA,70364,29.6256369,-90.7467399,985-868-3345,,http://gandgministorage.com,,,self-storage,C,5,Chain-managed
Westside Lockup,Independent,Westside Lockup,,,,LA,,31.559439,-90.1184081,601-587-7777,,,,,self-storage,C,40,
Garden Self-Storage,Independent,Garden Self-Storage,,Bush Dairy Road,,LA,,31.7377451,-89.1482616,,,,,,self-storage,C,15,No website found
Life Storage,Chain,Life Storage,Jefferson,West Napoleon Avenue,Kenner,LA,70062,29.9966025,-90.2397709,504-468-3434,,,,,self-storage,C,0,Chain-managed
Elmwood Self Storage,Independent,Elmwood Self Storage,Jefferson,South Clearview Parkway,,LA,,29.9582914,-90.1870904,504-737-7676,,https://elmwoodselfstorage.com/,,,self-storage,B,55,
Simpson's Mini Storage,Chain,Simpson's Mini Storage,Union,,,LA,,32.7188847,-92.2198754,,,,,,self-storage,C,0,No website found; Chain-managed
MacArthur Drive Self Storage,Independent,MacArthur Drive Self Storage,Rapides,Macarthur Drive,Alexandria,LA,71303,31.2947039,-92.4771282,318-442-0206,,https://www.mdsstorage.com/,,,self-storage,B,55,
W-4 Pallets,Independent,Justin Wilkins,Calcasieu,West 4th Street,DeQuincy,LA,70633,30.4384227,-93.4612432,337-786-8726,,https://w4pallets.wixsite.com/pallet-warehouse,,,self-storage,B,55,
Larry's Mini Warehouse Rentals,Independent,Larry's Mini Warehouse Rentals,Lafourche,St Patrick St,Thibodaux,LA,70301,29.8075268,-90.8186325,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Jefferson,,,LA,,29.9479339,-90.1816654,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Lafayette,,,LA,,30.1964368,-92.0897926,,,,,,self-storage,C,15,No website found
Southern Self Storage,Independent,Southern Self Storage,St. Charles,Highway 90,Luling,LA,70070,29.9068101,-90.3682154,985-785-0303,,https://www.southernselfstorage.com/,,,self-storage,B,55,
CubeSmart,Chain,CubeSmart,Jefferson,,,LA,,30.0348475,-90.2376559,,,,,,self-storage,C,0,No website found; Chain-managed
O'Neal Lane Storage,Independent,O'Neal Lane Storage,East Baton Rouge,,,LA,,30.4300111,-91.0079098,225-756-0100,,https://www.thestoragecenters.com/oneal-lane-storage.html,,,self-storage,B,55,
U STORE IT,Independent,U STORE IT,Ouachita,Cypress Street,West Monroe,LA,71291,32.5168633,-92.164035,318-362-0041,,,,,self-storage,C,40,
Stay Safe Storage,Independent,Stay Safe Storage,Webster,Industrial Drive,Minden,LA,71055,32.5846103,-93.2570149,,,,,,self-storage,C,15,No website found
Key Storage,Independent,Key Storage,Jefferson,,,LA,,30.0107722,-90.2648974,,,https://www.mykeystorage.com/,,,self-storage,C,40,
U-Stor,Independent,U-Stor,Caddo,,,LA,,32.4390331,-93.7813341,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Jefferson,,,LA,,29.8755847,-90.0512381,,,,,,self-storage,C,0,No website found; Chain-managed
Storage Sense,Independent,Storage Sense,Rapides,,,LA,,31.2614984,-92.4913236,,,,,,self-storage,C,15,No website found
Big Toys Storage,Independent,Big Toys Storage,Ascension,,,LA,,30.3240133,-90.9197772,225-247-2470,,,,,self-storage,C,40,
Amite River Boat & RV Storage,Independent,Amite River Boat & RV Storage,Livingston,,,LA,,30.3365659,-90.8585133,225-769-9494,,,,,self-storage,C,40,
Nachitoches Security Storage,Independent,Nachitoches Security Storage,Natchitoches,,,LA,,31.743115,-93.0863837,318-238-6191,,,,,self-storage,C,40,
Tom's Climate Controlled Storage,Independent,Tom's Climate Controlled Storage,,,,LA,,31.5799008,-90.4514898,,,,,,self-storage,C,15,No website found
LaPlace Self Storage,Independent,LaPlace Self Storage,St. John the Baptist,,,LA,,30.075075,-90.5122109,,,,,,self-storage,C,15,No website found
Sherwood Mini Storages,Chain,Sherwood Mini Storages,East Baton Rouge,Florida Boulevard,Baton Rouge,LA,70815,30.4593279,-91.0523264,,,,,,self-storage,C,0,No website found; Chain-managed
Shreveport Self Storage,Independent,Shreveport Self Storage,Caddo,Mansfield Road,Shreveport,LA,71118-3181,32.3962794,-93.8108788,318-686-7198,,,,,self-storage,C,40,
City Storage South,Independent,City Storage South,Calcasieu,,,LA,,30.174074,-93.3753289,,,,,,self-storage,C,15,No website found
Storage Center,Independent,Storage Center,Calcasieu,,,LA,,30.1959647,-93.213471,,,,,,self-storage,C,15,No website found
Delta One Warehousing and Logistics,Independent,Delta One Storage,Lafayette,Apollo Road,Scott,LA,70583,30.2367857,-92.1069634,337-585-4553,,,,,self-storage,C,40,
X-15 Storage,Independent,X-15 Storage,,,,LA,,30.8932917,-93.9931335,,,,,,self-storage,C,15,No website found
McDonald's Storage,Independent,McDonald's Storage,,,,LA,,30.8976011,-93.9938756,,,,,,self-storage,C,15,No website found
I-10 Mini Storage,Chain,I-10 Mini Storage,Calcasieu,,,LA,,30.2153674,-93.367156,337-528-2520,,https://www.i-10ministorage.com,,,self-storage,C,5,Chain-managed
Essential Storage Vidor,Independent,Essential Storage Vidor,,North Main Street,Vidor,LA,77662,30.1897461,-94.0223803,,,,,,self-storage,C,15,No website found
Bear Creek Storage Facility,Independent,Bear Creek Storage Facility,Bienville,,,LA,,32.37329,-92.9423845,,,,,,self-storage,C,15,No website found
Backyard Self Storage,Independent,Backyard Self Storage,,West Broad Street,Monticello,LA,39654,31.5587848,-90.1213501,601-823-0029,,,,,self-storage,C,40,
Mullins Mini Storage,Chain,Mullins Mini Storage,,,,LA,,31.5517619,-90.1072319,,,,,,self-storage,C,0,No website found; Chain-managed
Stor-All,Independent,Stor-All,Orleans,Chef Menteur Highway,,LA,,30.0068095,-90.0354519,,,,,,self-storage,C,15,No website found
"AA AA Mid Coast Storage, LLC",Independent,"AA AA Mid Coast Storage, LLC",,Woolmarket Road,Biloxi,LA,39532,30.4693343,-88.9759752,,,https://www.biloxiselfstorage.com/,,,self-storage,C,40,
Cypress Park Storage Center,Independent,Cypress Park Storage Center,Livingston,,,LA,,30.4619408,-90.9573575,,,,,,self-storage,C,15,No website found
Safeguard Self Storage,Independent,Safeguard Self Storage,Jefferson,Riverside Drive,Metairie,LA,70003,30.008508,-90.215437,504-208-1878,,,,,self-storage,C,40,
Safeguard Self Storage,Independent,Safeguard Self Storage,Jefferson,I-10 Service Road,Metairie,LA,70002,29.9992667,-90.1745744,,,,,,self-storage,C,15,No website found
Cash Point Mini Storage,Chain,Cash Point Mini Storage,Bossier,,,LA,,32.612986,-93.7394224,,,,,,self-storage,C,0,No website found; Chain-managed
P. Howard Garage Inc.,Independent,P. Howard Garage Inc.,Caddo,Cotton Street,Shreveport,LA,71101,32.5091931,-93.7483868,,,,,,self-storage,C,15,No website found
Dixie Storage,Independent,Dixie Storage,St. Landry,South Bullard Street,Opelousas,LA,70570,30.5342755,-92.0983809,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Jefferson,Citrus Boulevard,Jefferson,LA,70123,29.9638383,-90.1990148,,,,,,self-storage,C,0,No website found; Chain-managed
B & C Self Storage,Independent,B & C Self Storage,Livingston,Dunn Road,Denham Springs,LA,70726,30.5046251,-90.924234,225-304-5518,,,,,self-storage,C,40,
U-Haul Self Storage,Chain,U-Haul Self Storage,Jefferson,,,LA,,29.9755397,-90.1689533,504-737-0916,,,,,self-storage,C,0,Chain-managed
Marshall's Cabinets & More,Independent,Marshall's Cabinets & More,Ouachita,,,LA,,32.568284,-92.0645802,318-732-9635,,,,,self-storage,C,40,
Hideaway Self Storage,Independent,Hideaway Self Storage,Ouachita,Old Sterlington Road,Monroe,LA,71203,32.5676348,-92.0649963,,,,,,self-storage,C,15,No website found
Omni Storage LLC,Chain,Omni Storage LLC,Livingston,,,LA,,30.4779585,-90.8620799,,,,,,self-storage,C,0,No website found; Chain-managed
Bobby's Mini Storage,Chain,Bobby's Mini Storage,,North 31st Street,Nederland,LA,77627,29.9756455,-94.0226412,,,,,,self-storage,C,0,No website found; Chain-managed
Villa Roma Mini Storage,Chain,Villa Roma Mini Storage,Tangipahoa,C M Fagan Drive,Hammond,LA,70403,30.4810845,-90.4803351,,,,,,self-storage,C,0,No website found; Chain-managed
U-Haul,Chain,U-Haul,St. Tammany,,,LA,,30.3659161,-90.0672281,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,East Baton Rouge,Airline Highway,Prairieville,LA,70769,30.3389213,-90.987999,,,,,,self-storage,C,0,No website found; Chain-managed
St. John Mini Storage,Chain,St. John Mini Storage,St. John the Baptist,,,LA,,30.0593169,-90.4717048,,,,,,self-storage,C,0,No website found; Chain-managed
College Drive Mini Storage,Chain,College Drive Mini Storage,East Baton Rouge,,,LA,,30.4164513,-91.1378671,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,East Baton Rouge,Airline Highway,,LA,,30.3506651,-90.9979749,,,,,,self-storage,C,15,No website found
Highland Storage,Independent,Highland Storage,East Baton Rouge,Airline Highway,,LA,,30.3504251,-90.9979106,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,East Baton Rouge,Burbank Drive,Baton Rouge,LA,70820,30.3991941,-91.1710275,225-465-1314,,extraspace.com,,,self-storage,C,5,Chain-managed
Self Storage,Chain,College Drive Mini Storage,East Baton Rouge,Concord Avenue,,LA,,30.4174168,-91.1390799,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Chain,College Drive Mini Storage,East Baton Rouge,Valley Creek Drive,,LA,,30.4170462,-91.1385245,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Chain,College Drive Mini Storage,East Baton Rouge,Concord Avenue,,LA,,30.4164507,-91.1384192,225-927-6111,,,,,self-storage,C,0,Chain-managed
Self Storage,Chain,College Drive Mini Storage,East Baton Rouge,Revere Avenue,,LA,,30.4161053,-91.1373996,,,,,,self-storage,C,0,No website found; Chain-managed
Rhino Mini Storage,Chain,Rhino Mini Storage,,,,LA,,31.4129337,-89.4016048,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,East Baton Rouge,Perkins Road,,LA,,30.41578,-91.138498,,,,,,self-storage,C,15,No website found
Clima Stor,Independent,Clima Stor,East Baton Rouge,Perkins Road,,LA,,30.3982002,-91.1105801,,,,,,self-storage,C,15,No website found
Lakeview Self Storage,Independent,Lakeview Self Storage,Jefferson,,,LA,,29.9990447,-90.1261238,,,,,,self-storage,C,15,No website found
Inner Loop Mini Storage,Chain,Inner Loop Mini Storage,Caddo,Shrevepark Drive,Shreveport,LA,71129,32.4320969,-93.8413663,,,,,,self-storage,C,0,No website found; Chain-managed
RV Storage BAFB,Independent,RV Storage BAFB,Bossier,,,LA,,32.5169114,-93.6438317,,,,,,self-storage,C,15,No website found
The Attic Self Storage,Independent,The Attic Self Storage,Ouachita,Warren Drive,West Monroe,LA,71291,32.5192529,-92.1610576,318-396-9437,,https://www.theatticwm.com/,,,self-storage,B,55,
Kenner Self Storage,Independent,Kenner Self Storage,Jefferson,,,LA,,30.0118273,-90.2654219,,,,,,self-storage,C,15,No website found
Jay's Self Storage,Independent,Jay's Self Storage,Ouachita,Knowles Lane,West Monroe,LA,71291,32.5192268,-92.1498689,318-812-1000,,https://jaysselfstorage.com/,,,self-storage,B,55,
Self Storage,Independent,Self Storage,,East Main Avenue,Lumberton,LA,39455,31.0016404,-89.4338171,601-419-1045,,,,,self-storage,C,40,
Extra Space Storage,Chain,Extra Space Storage,Lafayette,Ambassador Caffery Parkway,Lafayette,LA,70503,30.1731218,-92.06971,,,,,,self-storage,C,0,No website found; Chain-managed
Dixie Mini Storage,Chain,Dixie Mini Storage,,Elks Lake Road,Hattiesburg,LA,39401,31.1891952,-89.2872877,601-544-6464,,https://www.dixiemini.com/,,,self-storage,C,5,Chain-managed
Wiggins Self Storage - First St. Facility,Independent,Wiggins Self Storage - First St. Facility,,North 1st Street,,LA,39577,30.8607481,-89.1373208,,,,,,self-storage,C,15,No website found
D&M Storage,Independent,D&M Storage,Concordia,,,LA,,31.6931839,-91.4716664,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Livingston,Walker South Road,Walker,LA,70785,30.4805621,-90.8620084,225-347-5413,,,,,self-storage,C,40,
Self Storage,Independent,Move It Self Storage,East Baton Rouge,Dawnadele Avenue,,LA,,30.4194568,-91.0779429,,,,,,self-storage,C,15,No website found
Move It Self Storage,Independent,Move It Self Storage,East Baton Rouge,Dawnadele Avenue,,LA,,30.4215528,-91.0778854,225-293-4558,,https://www.moveitstorage.com/storage/louisiana/storage-units-baton-rouge/9530-Dawnadele-Ave-31,,,self-storage,B,55,
West Oak Storage,Independent,West Oak Storage,,US 84,Laurel,LA,39443,31.6950879,-89.2074603,,,https://westoakstorage.com,,,self-storage,C,40,
Red Dot Storage,Independent,Red Dot Storage,Ouachita,Circle Drive,West Monroe,LA,71291,32.5162851,-92.1539998,318-855-2319,,,,,self-storage,C,40,
Dixie Homes & Self Storage,Independent,Dixie Homes & Self Storage,Ouachita,Blazier Estate Road,West Monroe,LA,71292,32.500469,-92.1512435,800-828-3958,,,,,self-storage,C,40,
A Storage 4 You,Independent,A Storage 4 You,Ascension,Highway 42,Prairieville,LA,70769,30.3184616,-90.9683442,225-673-8387,,https://www.astorageforyou.com/,,,self-storage,B,55,
Ace Mini Storage,Chain,Ace Mini Storage,Ouachita,Natchitoches Street,West Monroe,LA,71292,32.4946434,-92.1395962,318-570-4915,,https://www.theaceministorage.com/,,,self-storage,C,5,Chain-managed
Self Storage,Independent,Self Storage,East Baton Rouge,Coursey Boulevard,Baton Rouge,LA,70817,30.4090508,-91.0230858,,,,,,self-storage,C,15,No website found
Kim's Self Storage,Independent,Kim's Self Storage,Ouachita,US Highway 80,Calhoun,LA,71225,32.5125606,-92.3583103,318-664-0330,,,,,self-storage,C,40,
