Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Global Storage,Independent,Global Storage,Bernalillo,,,NM,,35.1160008,-106.506233,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Bernalillo,,,NM,,35.058735,-106.615767,,,,,,self-storage,C,0,No website found; Chain-managed
Sentinel Self Storage,Independent,Sentinel Self Storage,Bernalillo,,,NM,,35.1329814,-106.60736,505-883-0888,,,,,self-storage,C,40,
A-1 Self Storage,Chain,A-1 Self Storage,Bernalillo,Hotel Circle Northeast,Albuquerque,NM,87123,35.0817311,-106.526803,505-271-2844,,http://a1selfstorage.biz/,,,self-storage,C,5,Chain-managed
U-Stor-It,Independent,U-Stor-It,Bernalillo,,,NM,,35.0562552,-106.617282,,,,,,self-storage,C,15,No website found
A-1 Self Storage,Chain,A-1 Self Storage,Bernalillo,,,NM,,35.0574463,-106.61642,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Bernalillo,Eagle Ranch Road Northwest,Albuquerque,NM,87114,35.1832823,-106.6742739,,,,,,self-storage,C,0,No website found; Chain-managed
A-1 Self Storage,Chain,A-1 Self Storage,Bernalillo,Tramway Boulevard Northeast,Albuquerque,NM,87111,35.1340243,-106.4970881,505-292-2300,,,,,self-storage,C,0,Chain-managed
Manzano Waste Storage Facilities,Independent,Manzano Waste Storage Facilities,Bernalillo,,,NM,,35.0119723,-106.4889465,,,,,,self-storage,C,15,No website found
Southwest Self Storage,Independent,Southwest Self Storage,Bernalillo,98th Street Southwest,,NM,87121,35.0613956,-106.7412158,,,,,,self-storage,C,15,No website found
Devon Self-Storage,Independent,Devon Self-Storage,Bernalillo,San Mateo Boulevard Northeast,Albuquerque,NM,87109,35.1368674,-106.5872801,505-875-0005,,https://devonselfstorage.com/self-storage-locations/new-mexico/albuquerque/4801-san-mateo-blvd.-ne/,,,self-storage,B,55,
Economy Storage,Independent,Economy Storage,Bernalillo,Candelaria Road Northeast,Albuquerque,NM,87112,35.1155966,-106.5252101,505-299-4444,,https://www.economystoragegroup.com/,,,self-storage,B,55,
Prosperity Energy Storage Facility Hybrid,Independent,Public Service Co of NM,Bernalillo,,,NM,,35.0020875,-106.6372861,,,,,,self-storage,C,15,No website found
US Government,Independent,US Government,Bernalillo,,,NM,,35.0365688,-106.5403875,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,Bernalillo,Atrisco Drive Northwest,Albuquerque,NM,,35.1090169,-106.7018567,,,,,,self-storage,C,0,No website found; Chain-managed
Valley Vista Self Storage,Independent,Valley Vista Self Storage,Bernalillo,,,NM,,35.0432609,-106.7164841,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Bernalillo,Legion Road Northeast,Albuquerque,NM,87102,35.0926435,-106.6290923,,,,,,self-storage,C,0,No website found; Chain-managed
Baseball Field Storage Facility,Independent,Baseball Field Storage Facility,Bernalillo,University Boulevard Southeast,,NM,,35.0652382,-106.6337172,,,,,,self-storage,C,15,No website found
Albuquerque Far West Storage,Independent,Albuquerque Far West Storage,Bernalillo,,,NM,,35.0552534,-106.8448164,,,,,,self-storage,C,15,No website found
RV Storage,Independent,RV Storage,Bernalillo,,,NM,,35.1780739,-106.5897417,,,,,,self-storage,C,15,No website found
Wacky Wally,Independent,Wacky Wally,Bernalillo,,,NM,,35.1117285,-106.613335,,,,,,self-storage,C,15,No website found
ODR RV Storage,Independent,Kirtland AFB Outdoor Recreation,Bernalillo,,,NM,,35.0075451,-106.5218302,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,Bernalillo,4th Street Northwest,Albuquerque,NM,87102,35.1071225,-106.6480615,,,,,,self-storage,C,0,No website found; Chain-managed
Alameda Storage,Independent,Alameda Storage,Bernalillo,,,NM,,35.1852281,-106.5715395,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Bernalillo,Juan Tabo Boulevard Northeast,Albuquerque,NM,87111,35.1378337,-106.5165564,505-420-6999,,,,,self-storage,C,0,Chain-managed
