Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Ponil Storage,Independent,Ponil Storage,Colfax,US Highway 64,Cimarron,NM,87714,36.5204204,-104.8994507,,,,,,self-storage,C,15,No website found
Northside Storage,Independent,Northside Storage,Colfax,North 2nd Street,Raton,NM,87740,36.9142987,-104.4362529,,,,,,self-storage,C,15,No website found
Mountain Storage,Independent,Mountain Storage,Colfax,,,NM,,36.4124367,-105.2939256,,,,,,self-storage,C,15,No website found
Program Storage,Independent,Program Storage,Colfax,,,NM,,36.4534893,-104.9595276,,,,,,self-storage,C,15,No website found
York Canyon Storage,Independent,York Canyon Storage,Colfax,York Canyon Road,Raton,NM,87740,36.8625357,-104.4520243,,,,,,self-storage,C,15,No website found
K & J Storage,Independent,K & J Storage,Colfax,South 2nd Street,Raton,NM,87740,36.8840931,-104.4408738,,,,,,self-storage,C,15,No website found
K & J Storage,Independent,K & J Storage,Colfax,Kearney Avenue,Raton,NM,87740,36.8757631,-104.4418488,,,,,,self-storage,C,15,No website found
Storage Cabin,Independent,Storage Cabin,Colfax,,,NM,,36.4427143,-105.093385,,,,,,self-storage,C,15,No website found
Hay Storage,Independent,Hay Storage,Colfax,,,NM,,36.4193574,-105.0988904,,,,,,self-storage,C,15,No website found
Chuckwagon Storage,Independent,Chuckwagon Storage,Colfax,,,NM,,36.4704811,-105.0482032,,,,,,self-storage,C,15,No website found
Lockers,Independent,Lockers,Colfax,,,NM,,36.4535322,-104.9590127,,,,,,self-storage,C,15,No website found
