Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Onate Storage,Independent,Onate Storage,Doña Ana,Las Colinas Drive,,NM,88012,32.3753918,-106.739549,,,,,,self-storage,C,15,No website found
Picacho West Mini & RV Storage,Independent,Picacho West Mini & RV Storage,Doña Ana,West Picacho Avenue,,NM,88007,32.2998319,-106.8521997,575-541-8121,,https://www.picachoweststorage.com/,,,self-storage,B,55,
Jamie Stull Self Storage,Independent,Jamie Stull Self Storage,Doña Ana,Missouri Avenue,,NM,88001,32.2945409,-106.7572108,575-522-5528,,https://www.stullstorage.com/,,,self-storage,B,55,
A+ East Mesa Self Storage,Independent,A+ East Mesa Self Storage,Doña Ana,Bataan Memorial East,Las Cruces,NM,88011,32.4055418,-106.652362,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Doña Ana,Carver Road,Las Cruces,NM,88009,32.2620572,-106.7599013,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Doña Ana,Research Drive,Las Cruces,NM,88001,32.273988,-106.746346,,,,,,self-storage,C,15,No website found
Hatch Mini-Storage,Independent,Hatch Mini-Storage,Doña Ana,,,NM,,32.6659551,-107.1611673,644-2147,,,,,self-storage,C,40,
Stull Storage,Independent,Stull Storage,Doña Ana,South Triviz Drive,,NM,88001,32.3082737,-106.746888,575-525-2927,,https://stullstorage.com/,,,self-storage,B,55,
Highway 70 Storage,Independent,Highway 70 Storage,Doña Ana,Bataan Memorial West,,NM,,32.3553239,-106.7622597,,,,,,self-storage,C,15,No website found
Las Cruces Moving and Storage,Independent,Las Cruces Moving and Storage,Doña Ana,Bataan Memorial West,,NM,88012,32.3736776,-106.7394359,,,,,,self-storage,C,15,No website found
Valley Cold Storage & Transportation,Independent,Valley Cold Storage & Transportation,Doña Ana,,,NM,,32.266198,-106.7616102,575-525-0800,,https://www.valleycoldstore.com/,,,self-storage,B,55,
Sunrise Mesa Storage,Independent,Sunrise Mesa Storage,Doña Ana,Porter Drive,Las Cruces,NM,88012,32.3916549,-106.701317,,,,,,self-storage,C,15,No website found
Foot Locker,Independent,Foot Locker,Doña Ana,,,NM,,32.3100774,-106.7427793,,,https://stores.footlocker.com/nm/lascruces/700-south-teleshor-boulevard-7656.html,,,self-storage,C,40,
New Mexico State Athletic Offices and Basketball Locker Rooms,Independent,New Mexico State Athletic Offices and Basketball Locker Rooms,Doña Ana,East University Avenue,,NM,,32.2832979,-106.7420829,,,,,,self-storage,C,15,No website found
