Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Continental Self Storage,Independent,Continental Self Storage,Otero,,,NM,,32.849139,-106.022313,,,,,,self-storage,C,15,No website found
Cottonwood Storage Units,Independent,Cottonwood Storage Units,Otero,Alamotero Lane,,NM,88310,32.9189382,-105.9711143,,,,,,self-storage,C,15,No website found
American Way Self Storage,Independent,American Way Self Storage,Otero,American Way,Alamogordo,NM,88310,32.9232688,-105.9408049,575-430-2816,,,,,self-storage,C,40,
Storage Facility,Independent,Storage Facility,Otero,,,NM,,32.9132118,-105.9593963,,,,,,self-storage,C,15,No website found
The Storage Place #2,Independent,The Storage Place #2,Otero,US 70,Alamogordo,NM,88310,32.8674022,-105.9772417,,,,,,self-storage,C,15,No website found
The Storage Place #1,Independent,The Storage Place #1,Otero,US 70,,NM,88310,32.8730706,-105.9680674,,,,,,self-storage,C,15,No website found
Alamo Mini Storage,Chain,Alamo Mini Storage,Otero,,,NM,,32.8887739,-105.9381872,,,,,,self-storage,C,0,No website found; Chain-managed
J&M Mini Storage,Chain,J&M Mini Storage,Otero,,,NM,,32.8886625,-105.9355726,,,,,,self-storage,C,0,No website found; Chain-managed
Patriot Self Storage,Independent,Patriot Self Storage,Otero,,,NM,,32.9157304,-105.9289771,,,,,,self-storage,C,15,No website found
J3 Storage Solutions,Independent,J3 Storage Solutions,Otero,,,NM,,32.9402471,-105.9640337,,,,,,self-storage,C,15,No website found
Just Store-It Self Storage,Independent,Just Store-It Self Storage,Otero,,,NM,,32.8887616,-105.940172,,,,,,self-storage,C,15,No website found
