Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Butterfly Springs Storage,Independent,Pueblo of Pojoaque,Santa Fe,,,NM,,35.8784803,-106.0111478,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Santa Fe,,,NM,,35.5418364,-105.8839349,,,,,,self-storage,C,15,No website found
St. Michael's Self Storage,Independent,St. Michael's Self Storage,Santa Fe,,,NM,,35.6560267,-105.9709624,,,,,,self-storage,C,15,No website found
A1,Independent,A1,Santa Fe,,,NM,,35.6626569,-105.9740977,,,,,,self-storage,C,15,No website found
Santa Fe Self Storage,Independent,Santa Fe Self Storage,Santa Fe,3rd Street,,NM,,35.6651429,-105.9695794,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Santa Fe,West San Mateo Road,Santa Fe,NM,87505,35.6636491,-105.9629514,,,,,,self-storage,C,15,No website found
A-1 Self Storage,Chain,A-1 Self Storage,Santa Fe,South Pacheco Street,,NM,,35.6621065,-105.959325,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Santa Fe,6th Street,,NM,,35.6637184,-105.9725641,,,,,,self-storage,C,15,No website found
Around The Corner Self Storage 125 & 599,Independent,Around The Corner Self Storage 125 & 599,Santa Fe,Erica Road,Santa Fe,NM,87507,35.5913282,-106.068392,505-393-3463,,https://www.aroundthecornerselfstorage.com/self-storage-santa-fe-nm-f8437,,,self-storage,B,55,
Los Hermanos Storage,Independent,Los Hermanos Storage,Santa Fe,South Pacheco Street,,NM,,35.6653009,-105.9596363,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Santa Fe,West San Mateo Road,Santa Fe,NM,87505,35.6610072,-105.964255,505-466-9400,,,,,self-storage,C,0,Chain-managed
A-1 Self Storage,Chain,A-1 Self Storage,Santa Fe,Rodeo Road,Santa Fe,NM,87507,35.6381576,-106.0019477,505-982-4040,,,,,self-storage,C,0,Chain-managed
A-1 Self Storage,Chain,A-1 Self Storage,Santa Fe,West San Mateo Road,Santa Fe,NM,87505,35.6620615,-105.9607064,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Santa Fe,Cerrillos Road,,NM,,35.6286684,-106.0199027,,,,,,self-storage,C,15,No website found
Budget Self Storage,Independent,Budget Self Storage,Santa Fe,,,NM,,35.636919,-106.023352,,,,,,self-storage,C,15,No website found
Aardvark Self Storage,Independent,Aardvark Self Storage,Santa Fe,Cerrillos Road,Santa Fe,NM,87507,35.6396467,-106.0143199,505-471-2701,,,,,self-storage,C,40,
Self Storage,Independent,Self Storage,Santa Fe,Rodeo Road,,NM,,35.6390629,-105.9602599,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Santa Fe,Rodeo Park Drive East,Santa Fe,NM,87505,35.6337395,-105.9620236,,,,,,self-storage,C,0,No website found; Chain-managed
Wagon Self Storage,Independent,Wagon Self Storage,Santa Fe,Emblem Road,Santa Fe,NM,87507,35.6342452,-106.0174364,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Santa Fe,Vegas Verdes Drive,,NM,,35.6415589,-106.0090819,,,,,,self-storage,C,0,No website found; Chain-managed
344 Storage,Independent,344 Storage,Santa Fe,,,NM,,35.0805443,-106.1907554,,,,,,self-storage,C,15,No website found
Santa Fe/Aztec Self Storage,Independent,Santa Fe/Aztec Self Storage,Santa Fe,,,NM,,35.6314175,-106.0682352,,,,,,self-storage,C,15,No website found
F&M,Independent,F&M,Santa Fe,,,NM,,35.6314094,-106.069137,,,,,,self-storage,C,15,No website found
Academy Storage,Independent,Academy Storage,Santa Fe,,,NM,,35.6344459,-106.0305244,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,Santa Fe,Cerrillos Road,Santa Fe,NM,,35.6262523,-106.0262176,,,,,,self-storage,C,0,No website found; Chain-managed
Avenger Way Storage,Independent,Avenger Way Storage,Santa Fe,Avenger Way,Santa Fe,NM,,35.6372063,-106.0669936,,,,,,self-storage,C,15,No website found
17 Dispensa y Soterrano / Storage Building and Root Cellar,Independent,17 Dispensa y Soterrano / Storage Building and Root Cellar,Santa Fe,,,NM,,35.5730827,-106.1109526,,,,,,self-storage,C,15,No website found
41 Dispensa / Storage Building,Independent,41 Dispensa / Storage Building,Santa Fe,,,NM,,35.5699837,-106.111114,,,,,,self-storage,C,15,No website found
10 La Dispensa / Storage Room,Independent,10 La Dispensa / Storage Room,Santa Fe,,,NM,,35.5730655,-106.1113759,,,,,,self-storage,C,15,No website found
Wilson Storage,Independent,Wilson Storage,Santa Fe,Siler Road,Santa Fe,NM,,35.6610045,-105.9938706,,,,,,self-storage,C,15,No website found
Kids Foot Locker,Independent,Kids Foot Locker,Santa Fe,,,NM,,35.6363764,-106.0131368,,,,,,self-storage,C,15,No website found
