Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Climate Self Storage,Independent,Climate Self Storage,,Artcraft Road,El Paso,NM,79932,31.8813897,-106.591514,,,,,,self-storage,C,15,No website found
Clocker Drive,Independent,Clocker Drive,,,,NM,,31.7418444,-106.2529714,,,,,,self-storage,C,15,No website found
CubeSmart Self Storage,Chain,CubeSmart Self Storage,,Montana Avenue,El Paso,NM,79935,31.7970482,-106.3305733,,,,,,self-storage,C,0,No website found; Chain-managed
Hwy 54 Self Storage,Independent,Hwy 54 Self Storage,,Dyer Street,El Paso,NM,79934,31.9497392,-106.3674304,,,,,,self-storage,C,15,No website found
Lock & Leave,Independent,Lock & Leave,,Carter Road,Fort Bliss,NM,79908,31.8069975,-106.4234759,,,https://www.mylockandleavestorage.com/pages/FortBliss,,,self-storage,C,40,
Locker,Independent,Locker,,,,NM,,31.3795798,-103.5260081,,,,,,self-storage,C,15,No website found
Lockerbie Avenue,Independent,Lockerbie Avenue,,,,NM,,31.786164,-106.3541845,,,,,,self-storage,C,15,No website found
Storage Rentals,Independent,Storage Rentals,,,,NM,,31.3941898,-103.5031082,,,,,,self-storage,C,15,No website found
A-1 Self Storage,Chain,A-1 Self Storage,Bernalillo,Hotel Circle Northeast,Albuquerque,NM,87123,35.0817311,-106.526803,505-271-2844,,http://a1selfstorage.biz/,,,self-storage,C,5,Chain-managed
A-1 Self Storage,Chain,A-1 Self Storage,Bernalillo,,,NM,,35.0574463,-106.61642,,,,,,self-storage,C,0,No website found; Chain-managed
A-1 Self Storage,Chain,A-1 Self Storage,Bernalillo,Tramway Boulevard Northeast,Albuquerque,NM,87111,35.1340243,-106.4970881,505-292-2300,,,,,self-storage,C,0,Chain-managed
Air Force Storage Yard,Independent,Air Force Storage Yard,Bernalillo,,,NM,,35.0433082,-106.5488015,,,,,,self-storage,C,15,No website found
Alameda Storage,Independent,Alameda Storage,Bernalillo,,,NM,,35.1852281,-106.5715395,,,,,,self-storage,C,15,No website found
Albuquerque Far West Storage,Independent,Albuquerque Far West Storage,Bernalillo,,,NM,,35.0552534,-106.8448164,,,,,,self-storage,C,15,No website found
Arroyo del Oso Storage,Independent,Arroyo del Oso Storage,Bernalillo,,,NM,,35.1434693,-106.5823668,,,,,,self-storage,C,15,No website found
Baseball Field Storage Facility,Independent,Baseball Field Storage Facility,Bernalillo,University Boulevard Southeast,,NM,,35.0652382,-106.6337172,,,,,,self-storage,C,15,No website found
Bunker 37034 (Manzano Storage Bunker Type B),Independent,Bunker 37034 (Manzano Storage Bunker Type B),Bernalillo,,,NM,,34.9999859,-106.4860485,,,,,,self-storage,C,15,No website found
Bunker 37045 (Manzano Storage Bunker Type D),Independent,Bunker 37045 (Manzano Storage Bunker Type D),Bernalillo,,,NM,,34.9944372,-106.499691,,,,,,self-storage,C,15,No website found
Bunker 37055 (Manzano Storage Bunker Type D),Independent,Bunker 37055 (Manzano Storage Bunker Type D),Bernalillo,,,NM,,35.0014466,-106.505419,,,,,,self-storage,C,15,No website found
Bunker 37057 (Manzano Storage Bunker Type D),Independent,Bunker 37057 (Manzano Storage Bunker Type D),Bernalillo,,,NM,,35.0034608,-106.502508,,,,,,self-storage,C,15,No website found
Bunker 37118 (Manzano Storage Bunker Type C),Independent,Bunker 37118 (Manzano Storage Bunker Type C),Bernalillo,,,NM,,34.9988433,-106.4896872,,,,,,self-storage,C,15,No website found
City of Albuquerque Fleet Maintenance Wharehouse and storage,Independent,City of Albuquerque Fleet Maintenance Wharehouse and storage,Bernalillo,,,NM,,35.1691704,-106.581614,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Bernalillo,,,NM,,35.058735,-106.615767,,,,,,self-storage,C,0,No website found; Chain-managed
