Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Public Storage,Chain,Public Storage,Oklahoma,,,OK,,35.513041,-97.5481318,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Oklahoma,,,OK,,35.6162271,-97.5143252,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Oklahoma,North Villa Avenue,Oklahoma City,OK,73107,35.4989043,-97.5561646,405-602-5300,,https://www.extraspace.com/life-storage/,,,self-storage,C,5,Chain-managed
U-Haul,Chain,U-Haul,Oklahoma,,,OK,,35.5534561,-97.6307129,,,,,,self-storage,C,0,No website found; Chain-managed
AAA Boat & RV Storage,Independent,AAA Boat & RV Storage,Oklahoma,,,OK,,35.4154157,-97.3165861,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Oklahoma,Northwest 62nd Street,Oklahoma City,OK,73112,35.5333903,-97.5641685,+1 405 406 1914;+1 877 217 1602,,https://www.extraspace.com/storage/facilities/us/oklahoma/oklahoma_city/,,,self-storage,C,5,Chain-managed
U Haul Moving and Self Storage of Bricktown,Independent,U Haul Moving and Self Storage of Bricktown,Oklahoma,,,OK,,35.462998,-97.5109068,,,,,,self-storage,C,15,No website found
Expressway Self Storage,Independent,Expressway Self Storage,Oklahoma,,,OK,,35.571065,-97.6655408,,,,,,self-storage,C,15,No website found
Storage,Independent,Storage,Oklahoma,,,OK,,35.5784125,-97.5535102,,,,,,self-storage,C,15,No website found
Morningstar Storage,Independent,Morningstar Storage,Oklahoma,South Midwest Boulevard,Midwest City,OK,73110,35.4611404,-97.3900439,,,,,,self-storage,C,15,No website found
SecurCare Self Storage,Independent,SecurCare Self Storage,Oklahoma,,,OK,,35.4658724,-97.4248245,,,,,,self-storage,C,15,No website found
Big Paulie's Boat & RV Storage,Independent,Boat Storage Facility,Oklahoma,Vermont Avenue,Oklahoma City,OK,73107,35.4653444,-97.5971373,405-701-9381,bigpauliesokc@gmail.com,https://bigpaulies.com/,,,self-storage,B,65,
American Self Storage,Independent,American Self Storage,Oklahoma,South Hattie Avenue,Oklahoma City,OK,73129,35.4166824,-97.4867403,,,,,,self-storage,C,15,No website found
Apublix Self Storage-Sooner,Independent,Apublix Self Storage-Sooner,Oklahoma,,,OK,,35.4139594,-97.4221608,,,,,,self-storage,C,15,No website found
Simply Self Storage,Independent,Simply Self Storage,Oklahoma,North Bryant Avenue,Oklahoma City,OK,73121,35.5040282,-97.4597959,,,,,,self-storage,C,15,No website found
Amercian Self Storage,Independent,Amercian Self Storage,Oklahoma,,,OK,,35.5811059,-97.6531099,,,,,,self-storage,C,15,No website found
American Self Storage,Independent,American Self Storage,Oklahoma,,,OK,,35.4823024,-97.4073728,,,,,,self-storage,C,15,No website found
SecurCare Self Storage,Independent,SecurCare Self Storage,Oklahoma,West Wilshire Boulevard,Oklahoma City,OK,73116,35.5504861,-97.5127064,,,,,,self-storage,C,15,No website found
Material Storage Facility,Independent,Material Storage Facility,Oklahoma,,,OK,,35.396343,-97.621973,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Oklahoma,Northwest Grand Boulevard,Oklahoma City,OK,73116,35.5461201,-97.5670979,405-907-2231,,https://www.publicstorage.com/self-storage-ok-oklahoma-city/5991.html,,,self-storage,C,5,Chain-managed
Self Storage,Independent,Self Storage,Oklahoma,Northwest 178th Street,Edmond,OK,73012,35.6527516,-97.5256598,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Oklahoma,Griffin Drive,Edmond,OK,73012,35.6518552,-97.5359327,,,,,,self-storage,C,0,No website found; Chain-managed
Storelocal Storage,Independent,Storelocal Storage,Oklahoma,,,OK,,35.5897954,-97.4335648,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Oklahoma,North May Avenue,Oklahoma City,OK,73112,35.5145145,-97.5642314,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Oklahoma,Northwest 122nd Street,Oklahoma City,OK,73142,35.5930616,-97.6399067,+1 405 406 1926;+1 877 217 1602,,https://www.extraspace.com/storage/facilities/us/oklahoma/oklahoma_city/1000000792/,,,self-storage,C,5,Chain-managed
Harvey Self Storage,Independent,Harvey Self Storage,Oklahoma,,,OK,,35.5242428,-97.5187721,,,,,,self-storage,C,15,No website found
Lakehurst Storage,Independent,Lakehurst Storage,Oklahoma,North May Avenue,Oklahoma City,OK,73120,35.5641587,-97.568635,405-755-2606,,,,,self-storage,C,40,
Extra Space Storage,Chain,Extra Space Storage,Oklahoma,East Reno Avenue,Oklahoma City,OK,73104,35.4652446,-97.4975747,,,https://www.extraspace.com/storage/facilities/us/oklahoma/oklahoma_city/1000001097/,,,self-storage,C,0,Chain-managed
Public Storage,Chain,Public Storage,Oklahoma,West Interstate 240 Service Road,Oklahoma City,OK,73159,35.3952176,-97.5636094,,,,,,self-storage,C,0,No website found; Chain-managed
Storage,Independent,Storage,Oklahoma,North May Avenue,,OK,73013,35.6251536,-97.5666335,,,,,,self-storage,C,15,No website found
STORAGE,Independent,STORAGE,Oklahoma,NW 164TH STREET,,OK,73013,35.6376056,-97.5398673,,,,,,self-storage,C,15,No website found
Deer Creek Storage,Independent,Deer Creek Storage,Oklahoma,Northwest 206th Street,Edmond,OK,73012,35.6806444,-97.5836191,405-330-2292,deercreekstorage@gmail.com,http://www.deercreekstorage.com,,,self-storage,B,65,
Storage Yard,Independent,Storage Yard,Oklahoma,,,OK,,35.47452,-97.5396118,,,,,,self-storage,C,15,No website found
Dagwell Dixie Storage,Independent,Dagwell Dixie Storage,Oklahoma,,,OK,,35.467454,-97.5263417,,,,,,self-storage,C,15,No website found
Fentriss Sound Storage,Independent,Fentriss Sound Storage,Oklahoma,,,OK,,35.4723227,-97.508609,,,,,,self-storage,C,15,No website found
Naifco Realty Central Storage,Independent,Naifco Realty Central Storage,Oklahoma,,,OK,,35.4614078,-97.5271446,,,,,,self-storage,C,15,No website found
Business Records Storage Raster Masters,Independent,Business Records Storage Raster Masters,Oklahoma,,,OK,,35.4815732,-97.5115317,,,,,,self-storage,C,15,No website found
Alpha Vending Storage,Independent,Alpha Vending Storage,Oklahoma,,,OK,,35.4639889,-97.5335429,,,,,,self-storage,C,15,No website found
CFAD Storage Building,Independent,CFAD Storage Building,Oklahoma,,,OK,,35.6555282,-97.4721937,,,,,,self-storage,C,15,No website found
William W Warren Transfer and Storage,Independent,William W Warren Transfer and Storage,Oklahoma,,,OK,,35.5006165,-97.5125255,,,,,,self-storage,C,15,No website found
Storage for Oil Tanks and Well Heads,Independent,Storage for Oil Tanks and Well Heads,Oklahoma,,,OK,,35.5008806,-97.5063191,,,,,,self-storage,C,15,No website found
Morningstar Storage,Independent,Morningstar Storage,Oklahoma,,,OK,,35.5934331,-97.5484436,,,,,,self-storage,C,15,No website found
Sunset Storage,Independent,Sunset Storage,Oklahoma,,,OK,,35.5880236,-97.5320718,,,,,,self-storage,C,15,No website found
Stack & Store Storage,Independent,Stack & Store Storage,Oklahoma,Southeast 29th Street,Midwest City,OK,73110,35.4345134,-97.3761915,,,,,,self-storage,C,15,No website found
Quik Stor Storage,Independent,Quik Stor Storage,Oklahoma,,,OK,,35.4200981,-97.4278514,,,,,,self-storage,C,15,No website found
Storage Equipment & Container Co.,Independent,Storage Equipment & Container Co.,Oklahoma,,,OK,,35.4509621,-97.6176333,,,,,,self-storage,C,15,No website found
Storage #2 (CAMI Metal),Independent,Storage #2 (CAMI Metal),Oklahoma,,,OK,,35.395555,-97.6203825,,,,,,self-storage,C,15,No website found
TSI Storage,Chain,TSI Storage,Oklahoma,,,OK,,35.4028723,-97.6222624,,,,,,self-storage,C,0,No website found; Chain-managed
IWT Storage Building,Independent,IWT Storage Building,Oklahoma,,,OK,,35.3972586,-97.6156555,,,,,,self-storage,C,15,No website found
ASDE-X Storage Building,Independent,ASDE-X Storage Building,Oklahoma,,,OK,,35.3965317,-97.6147202,,,,,,self-storage,C,15,No website found
TSI Storage Building,Chain,TSI Storage Building,Oklahoma,,,OK,,35.3939466,-97.6218304,,,,,,self-storage,C,0,No website found; Chain-managed
Storage #1 (CAMI Flammable),Independent,Storage #1 (CAMI Flammable),Oklahoma,,,OK,,35.3953606,-97.6199812,,,,,,self-storage,C,15,No website found
CARSR Storage,Independent,CARSR Storage,Oklahoma,,,OK,,35.4001751,-97.6355494,,,,,,self-storage,C,15,No website found
