Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Westside Self Storage,Independent,Westside Self Storage,Payne,West 6th Avenue,Stillwater,OK,74074,36.1147765,-97.1356555,,,,,,self-storage,C,15,No website found
American Mini Storage,Chain,American Mini Storage,Payne,North Perkins Road,Stillwater,OK,74075,36.132957,-97.0501662,,,,,,self-storage,C,0,No website found; Chain-managed
Lakeview Self Storage,Independent,Lakeview Self Storage,Payne,,,OK,,36.1444576,-97.0733761,405-780-7368,,,,,self-storage,C,40,
Patriot Storage,Independent,Patriot Storage,Payne,North Washington Street,Stillwater,OK,74075,36.1749923,-97.0708514,405-372-4445,,http://patriotstorageok.com,,,self-storage,B,55,
A&M Storage,Independent,A&M Storage,Payne,,,OK,,36.1464068,-97.0532948,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Payne,North Perkins Road,Stillwater,OK,74075,36.156484,-97.0527769,,,,,,self-storage,C,0,No website found; Chain-managed
Facilities Management Utilities Storage,Independent,Facilities Management Utilities Storage,Payne,,,OK,,36.1302026,-97.0843843,,,,,,self-storage,C,15,No website found
Facilities Management Landscape Storage,Independent,Facilities Management Landscape Storage,Payne,,,OK,,36.1287717,-97.0845041,,,,,,self-storage,C,15,No website found
A&D Storage,Independent,A&D Storage,Payne,,,OK,,36.1176516,-97.1771214,,,,,,self-storage,C,15,No website found
U-Haul Moving & Storage of North Stillwater,Chain,U-Haul Moving & Storage of North Stillwater,Payne,,Stillwater,OK,74075,36.1598819,-97.0703045,,,https://www.uhaul.com/Locations/Self-Storage-near-Stillwater-OK-74075/738038/,,,self-storage,C,0,Chain-managed
Swine Research and Education Center Electrical and Storage #1,Independent,Swine Research and Education Center Electrical and Storage #1,Payne,,,OK,,36.1293584,-97.0969483,,,,,,self-storage,C,15,No website found
Swine Research and Education Center Electrical and Storage #2,Independent,Swine Research and Education Center Electrical and Storage #2,Payne,,,OK,,36.1284395,-97.0969592,,,,,,self-storage,C,15,No website found
