Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,East 7th Street South,Tulsa,OK,74120,36.1512929,-95.9836697,,,,,,self-storage,C,15,No website found
A&A Complex & Mini Storage,Chain,A&A Complex & Mini Storage,Tulsa,East 11th Street South,Tulsa,OK,,36.1473381,-95.859075,,,,,,self-storage,C,0,No website found; Chain-managed
U-Stor-It,Independent,U-Stor-It,Tulsa,South Memorial Drive East,Tulsa,OK,74112,36.1427056,-95.8870652,918-835-7774,,,,,self-storage,C,40,
Best Local Mini Storage,Chain,Best Local Mini Storage,Tulsa,,,OK,,36.1609712,-95.9069793,,,,,,self-storage,C,0,No website found; Chain-managed
Memorial Mini Storage,Chain,Memorial Mini Storage,Tulsa,East 25th Place South,Tulsa,OK,74129,36.1268978,-95.8858164,918-622-2961,,,,,self-storage,C,0,Chain-managed
Keyport Self-Storage,Independent,Keyport Self-Storage,Tulsa,South Memorial Drive East,Tulsa,OK,74112,36.1579914,-95.8864175,,,,,,self-storage,C,15,No website found
Owasso Safety Storage,Independent,Owasso Safety Storage,Tulsa,,,OK,,36.321802,-95.8667462,918-371-5559,,,,,self-storage,C,40,
Route 51 Storage,Independent,Route 51 Storage,Tulsa,East 38th Street South,Tulsa,OK,74145,36.1092026,-95.8900975,918-622-4691,,,,,self-storage,C,40,
River Bend Storage,Independent,River Bend Storage,Tulsa,,,OK,,36.0460343,-95.9600707,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tulsa,East 93rd Street South,Tulsa,OK,74133,36.0280087,-95.8671713,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tulsa,South 92nd Avenue East,Tulsa,OK,74129,36.1314643,-95.8730152,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tulsa,East 71st Street South,Tulsa,OK,74136,36.0621039,-95.9124113,,,,,,self-storage,C,15,No website found
Therma Self Storage,Independent,Therma Self Storage,Tulsa,East 87th Street South,Tulsa,OK,74137,36.0387978,-95.9551405,,,,,,self-storage,C,15,No website found
Storage,Independent,BA Office and Storage,Tulsa,South Elm Place,Broken Arrow,OK,74011,36.0164016,-95.7961413,918-455-1300,,,,,self-storage,C,40,
Click Storage,Independent,Click Storage,Tulsa,West 151st Street South,,OK,,35.9444162,-96.029831,918-321-9872,,,,,self-storage,C,40,
Self Storage,Independent,Self Storage,Tulsa,South Union Place West,Glenpool,OK,74033,35.9662946,-96.012777,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tulsa,South 33rd Avenue West,Tulsa,OK,74107,36.0801885,-96.0299386,,,,,,self-storage,C,15,No website found
Cedar Ridge South 75 Storage,Independent,Cedar Ridge South 75 Storage,Tulsa,South Union Avenue West,Jenks,OK,74037,36.0339258,-96.0112328,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tulsa,South 129th Avenue East,Tulsa,OK,74134,36.117157,-95.8328991,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tulsa,South Memorial Drive East,Tulsa,OK,74112,36.1453114,-95.8880148,,,,,,self-storage,C,15,No website found
Spartan Storage & Mail,Independent,Spartan Storage & Mail,Tulsa,South Memorial Drive East,Bixby,OK,74008,35.9860586,-95.8862026,,,,,,self-storage,C,15,No website found
Mingo Discount Storage,Independent,Mingo Discount Storage,Tulsa,South Mingo Road East,Tulsa,OK,74146,36.0843919,-95.8689915,,,https://www.mingodiscountstorage.com/,,,self-storage,C,40,
Self Storage,Independent,Self Storage,Tulsa,South 82nd Avenue East,Bixby,OK,74008,35.9495383,-95.885585,,,,,,self-storage,C,15,No website found
Iron Self Storage,Independent,Iron Self Storage,Tulsa,South Braden Avenue East,Tulsa,OK,74135,36.0905679,-95.9202462,918-383-8891,,,,,self-storage,C,40,
South Park Storage,Independent,South Park Storage,Tulsa,,,OK,,36.0064419,-95.8859298,918-369-1414,,,,,self-storage,C,40,
Self Storage,Independent,Self Storage,Tulsa,East Skelly Drive South,Tulsa,OK,74145,36.1110557,-95.8986925,,,,,,self-storage,C,15,No website found
Devon Self Storage,Independent,Devon Self Storage,Tulsa,,,OK,,35.9675977,-95.8848242,918-369-3888,Store9175@Devonselfstorage.com,https://www.devonselfstorage.com/storage-locations/ok/bixby/13455-s-memorial-drive/,,,self-storage,B,65,
Attic Storage,Independent,Attic Storage,Tulsa,South Memorial Drive East,Bixby,OK,74008,35.9316664,-95.8860567,,,https://www.attic-storage.com/15805-s-memorial-dr-bixby-ok-74008,,,self-storage,C,40,
U-Haul,Chain,U-Haul,Tulsa,East Archer Street North,Tulsa,OK,74120,36.159222,-95.9868756,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Tulsa,East 21st Street South,Tulsa,OK,74114,36.1327327,-95.949411,,,,,,self-storage,C,0,No website found; Chain-managed
B&T Boat & RV Storage,Independent,B&T Boat & RV Storage,Tulsa,North Mingo Road,,OK,,36.1718933,-95.8677532,918-272-6048,,,,,self-storage,C,40,
Crosstown RV/Boat Storage,Independent,Crosstown RV/Boat Storage,Tulsa,North Mingo Road,,OK,,36.1726471,-95.8676402,918-381-7513,,,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,East Skelly Drive South,Tulsa,OK,74128,36.154731,-95.839574,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tulsa,East 11th Street South,Tulsa,OK,74112,36.1485138,-95.8851999,,,,,,self-storage,C,15,No website found
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Lewis Avenue,Tulsa,OK,74137,36.0342057,-95.9533249,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/8905-South-Lewis-Avenue,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Elgin Avenue East,Tulsa,OK,74120,36.1510824,-95.9837434,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/705-south-elgin-avenue,,,self-storage,C,40,
Life Storage,Chain,Extra Space Storage,Tulsa,West 1st Street South,Tulsa,OK,74103,36.1553366,-95.9940772,,,,,,self-storage,C,0,No website found; Chain-managed
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Mingo Road,Tulsa,OK,74146,36.0994306,-95.8690755,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/4360-south-mingo-road,,,self-storage,C,40,
Keyport Self Storage,Independent,Keyport Self Storage,Tulsa,,,OK,,36.0792804,-95.9748852,,,,,,self-storage,C,15,No website found
Memorial South Mini Storage,Chain,Memorial South Mini Storage,Tulsa,South Memorial Drive East,Tulsa,OK,74133,36.0350339,-95.8868395,,,,,,self-storage,C,0,No website found; Chain-managed
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Peoria Avenue,Tulsa,OK,74105,36.0967315,-95.9766265,,,,,,self-storage,C,15,No website found
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,West 59th Street,Sand Springs,OK,74063,36.0781725,-96.1201565,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/sand-springs-ok-storage-units/11525-west-59th-street,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,East 11th Street South,Tulsa,OK,74128,36.1484719,-95.8676091,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/9727-east-11th-street,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Garnett Road East,Tulsa,OK,74146,36.1166008,-95.8515628,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tulsa,East Broken Arrow Expressway,Tulsa,OK,74145,36.1011814,-95.8706559,,,,,,self-storage,C,15,No website found
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,East 61st Street South,Tulsa,OK,74133,36.0751141,-95.853037,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/11122-east-61st-street,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Yale Avenue East,Tulsa,OK,74135,36.1171374,-95.9230692,918-986-8385,,https://www.securcareselfstorage.com/storage/oklahoma/storage-units-tulsa/3210-S-Yale-Ave-1047,,,self-storage,B,55,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Tacoma Avenue West,Tulsa,OK,74107,36.1093519,-96.0105685,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/3655-south-tacoma-avenue,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Mingo Road East,Tulsa,OK,74146,36.0783117,-95.8681885,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/5815-south-mingo-road,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,East 51st Street South,Tulsa,OK,74105,36.0890642,-95.9462368,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/2916-east-51st-street,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Sheridan Road East,Tulsa,OK,74133,36.0305691,-95.9034663,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/9135-south-sheridan-road,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Tulsa,South Trenton Avenue,Tulsa,OK,74136,36.0617753,-95.9698565,,,https://securcareselfstorage.com/self-storage-locations/oklahoma/tulsa-ok-storage-units/6834-south-trenton-avenue,,,self-storage,C,40,
Elm Creek Mini Storage,Chain,Elm Creek Mini Storage,Tulsa,,,OK,,36.2769086,-95.8326206,,,,,,self-storage,C,0,No website found; Chain-managed
CornerStone Boat & Mini Storage,Chain,CornerStone Boat & Mini Storage,Tulsa,,,OK,,36.1484017,-95.8388404,918-438-1112,,,,,self-storage,C,0,Chain-managed
Riverside Self Storage,Independent,Riverside Self Storage,Tulsa,,,OK,,36.0597291,-95.9715086,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Tulsa,East 102nd Street South,Tulsa,OK,74133,36.0148678,-95.8841924,,,,,,self-storage,C,0,No website found; Chain-managed
Page Moving and Storage,Independent,Page Moving and Storage,Tulsa,East 11th Street South,Tulsa,OK,74104,36.1475538,-95.9620709,,,,,,self-storage,C,15,No website found
Keyport Self Storage,Independent,Keyport Self Storage,Tulsa,South Lewis Avenue East,Tulsa,OK,,36.0686169,-95.9593562,,,,,,self-storage,C,15,No website found
Broken Arrow Mini Storage,Chain,Broken Arrow Mini Storage,Tulsa,,,OK,,36.058243,-95.8130529,,,,,,self-storage,C,0,No website found; Chain-managed
Trojan Self Storage,Independent,Trojan Self Storage,Tulsa,,,OK,,35.9890288,-95.9767977,,,,,,self-storage,C,15,No website found
Prime Storage,Independent,Prime Storage,Tulsa,,,OK,,36.1195037,-95.9408816,,,,,,self-storage,C,15,No website found
Memorial South Mini Storage,Chain,Memorial South Mini Storage,Tulsa,,,OK,,36.0349012,-95.8873763,,,,,,self-storage,C,0,No website found; Chain-managed
Midtown Storage Tulsa,Independent,Midtown Storage Tulsa,Tulsa,East 31st Street South,,OK,,36.1191201,-95.9242262,918-742-7077,midtownstoragetulsa@gmail.com,https://www.midtownstoragetulsa.com/,,,self-storage,B,65,
Attic Storage,Independent,Attic Storage,Tulsa,,,OK,,35.9914127,-95.8112559,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Tulsa,South Yale Avenue East,,OK,,36.1032874,-95.9207553,918-962-0306,,https://www.extraspace.com/storage/facilities/us/oklahoma/tulsa/7726/,,,self-storage,C,5,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Tulsa,,,OK,,36.0310957,-95.9509125,,,,,,self-storage,C,0,No website found; Chain-managed
BLOSS Sales & Rental,Independent,BLOSS Sales & Rental,Tulsa,West Morrow Road,Sand Springs,OK,74063,36.1330265,-96.1114874,918-245-7511,,https://www.blosssales.com,,,self-storage,B,55,
