Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Boat and RV Storage,Chain,Aspen Mini Storage,Wagoner,,,OK,,36.0308134,-95.7383877,,,,,,self-storage,C,0,No website found; Chain-managed
Mini Storage,Chain,Mini Storage,Wagoner,,Coweta,OK,74429,35.9657005,-95.6550309,918-798-8293,,,,,self-storage,C,0,Chain-managed
141st Street Mini-Storage,Independent,141st Street Mini-Storage,Wagoner,,,OK,,35.9578483,-95.6617196,,,,,,self-storage,C,15,No website found
141st Street Mini-Storage,Independent,141st Street Mini-Storage,Wagoner,East 141st Street South,Coweta,OK,74429,35.9584512,-95.6622192,918-369-1057,,,,,self-storage,C,40,
Coweta Storage,Independent,Coweta Storage,Wagoner,,,OK,,35.9529523,-95.6410731,918-279-6500,,,,,self-storage,C,40,
Classic Mini Storage,Chain,Classic Mini Storage,Wagoner,,,OK,,35.9741228,-95.6613075,918-486-3910,,,,,self-storage,C,0,Chain-managed
Locker Storage,Independent,Locker Storage,Wagoner,East 111th Street South,,OK,74014,36.0032498,-95.6835916,918-279-6500,,,,,self-storage,C,40,
Self Storage,Independent,Self Storage,Wagoner,East Kenosha Street,Broken Arrow,OK,74014,36.0598946,-95.7241892,918-357-2663,,,,,self-storage,C,40,
Strickland's Boat and RV Storage,Independent,Strickland's Boat and RV Storage,Wagoner,East 96th Street South,,OK,74014,36.0235202,-95.7052775,918-251-5634,,,,,self-storage,C,40,
Doc's Container Storage,Independent,Doc's Container Storage,Wagoner,,,OK,,35.9596699,-95.4070349,918-284-5909,,,,,self-storage,C,40,
Moore's Storage,Independent,Moore's Storage,Wagoner,,Wagoner,OK,,35.9507903,-95.5120153,,,,,,self-storage,C,15,No website found
Arborstone Storage,Independent,Arborstone Storage,Wagoner,,,OK,,35.948325,-95.3961882,918-802-3066,,https://arborstonestorage.com,,,self-storage,B,55,
Aspen 51 Storage Center,Independent,Aspen 51 Storage Center,Wagoner,,,OK,,36.0279442,-95.7318177,,,,,,self-storage,C,15,No website found
Midway RV Storage,Independent,Midway RV Storage,Wagoner,,,OK,,36.0129303,-95.688794,918-938-1931,,,,,self-storage,C,40,
Self Storage,Independent,Self Storage,Wagoner,,,OK,,35.9509223,-95.5818244,918-694-3681,,,,,self-storage,C,40,
Aspen Mini Storage,Chain,Aspen Mini Storage,Wagoner,East Houston Street,Broken Arrow,OK,74014,36.047949,-95.750575,918-251-7368,,,,,self-storage,C,0,Chain-managed
Homestead Mini Storage,Chain,Homestead Mini Storage,Wagoner,South 257th Avenue East,Broken Arrow,OK,74014,36.0618858,-95.6912501,918-357-1155,,,,,self-storage,C,0,Chain-managed
Sartin Boat and RV Storage,Independent,Sartin Boat and RV Storage,Wagoner,East 71st Street South,Broken Arrow,OK,74014,36.0602113,-95.639806,918-744-5655,,,,,self-storage,C,40,
69 Mini Storage,Chain,69 Mini Storage,Wagoner,,,OK,,35.9424037,-95.3960637,918-485-4842,,,,,self-storage,C,0,Chain-managed
Downtown Mini Storage,Chain,Downtown Mini Storage,Wagoner,,,OK,,35.9591728,-95.3757483,405-323-3595,,,,,self-storage,C,0,Chain-managed
Locker Storage,Independent,Locker Storage,Wagoner,,,OK,,36.0029346,-95.6839963,918-279-6500,,,,,self-storage,C,40,
