Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
287 RV Storage,Independent,287 RV Storage,,,,OK,,35.8784179,-101.9737347,806-930-7669,,https://www.dumasrvstorage.com/,,,self-storage,B,55,
3M Self Storage,Independent,3M Self Storage,,FM 369 North,Pleasant Valley,OK,76367,33.9432399,-98.6023592,,,,,,self-storage,C,15,No website found
A American Storage,Independent,A American Storage,,South Birge Avenue,Dumas,OK,79029,35.8650357,-101.9755833,806-934-8388,,,,,self-storage,C,40,
A-AAA Self Storage,Independent,A-AAA Self Storage,,East Kenwood Street,Siloam Springs,OK,72761,36.1745925,-94.5265724,,,,,,self-storage,C,15,No website found
A-Plus Storage,Independent,A-Plus Storage,,,,OK,,35.8540548,-101.9633932,806-935-6951,,,,,self-storage,C,40,
A-Plus Storage,Independent,A-Plus Storage,,North Maddox,Dumas,OK,79029,35.8750815,-101.9628644,806-935-6951,,,,,self-storage,C,40,
AAA Safgard Storage,Independent,AAA Safgard Storage,,North Main Street,Paris,OK,75460,33.68954,-95.5557114,,,,,,self-storage,C,15,No website found
AAA Storage,Independent,AAA Storage,,North Quaker Avenue,Lubbock,OK,79416,33.6235965,-101.9057457,,,,,,self-storage,C,15,No website found
AAA Whatley Self Storage,Independent,AAA Whatley Self Storage,,Kell West Boulevard,Wichita Falls,OK,76310,33.8729852,-98.5939383,,,,,,self-storage,C,15,No website found
ABC Storage,Independent,ABC Storage,,,,OK,,35.8806273,-101.9741939,806-922-5802,,,,,self-storage,C,40,
About Self Storage,Independent,About Self Storage,,West Morton Street,Denison,OK,75020,33.7597768,-96.5657272,,,,,,self-storage,C,15,No website found
Above All Storage,Independent,Above All Storage,,West 23rd Avenue,Pampa,OK,79065,35.5616216,-100.9885939,,,,,,self-storage,C,15,No website found
Absolute Storage,Independent,Absolute Storage,,West Loop 335 North,Amarillo,OK,79124,35.242545,-101.937583,,,,,,self-storage,C,15,No website found
Affordable Storage,Independent,Affordable Storage,,,,OK,,35.8679764,-101.972779,806-934-8388,,,,,self-storage,C,40,
Affordable Storage,Independent,Affordable Storage,,South Porter Avenue,Dumas,OK,79029,35.86364,-101.9742381,806-934-8388,,,,,self-storage,C,40,
All Storage - Southern,Independent,All Storage - Southern,,South Western Street,Amarillo,OK,79110,35.141915,-101.882887,,,,,,self-storage,C,15,No website found
All Storage - Western,Independent,All Storage - Western,,South Western Street,Amarillo,OK,79110,35.145718,-101.8815686,,,,,,self-storage,C,15,No website found
All Storage I-40 East,Independent,All Storage I-40 East,,East Interstate Drive,Amarillo,OK,79118,35.1936954,-101.7482051,,,,,,self-storage,C,15,No website found
Amarillo All Storage,Independent,Amarillo All Storage,,Hardy Street,Amarillo,OK,79106,35.1907329,-101.9162934,806-355-3055,,http://amarilloallstorage.com/,,,self-storage,B,55,
Amazon Locker,Independent,Amazon Hub Locker,,,,OK,,36.0627137,-102.516773,,,,,,self-storage,C,15,No website found
American Self Storage,Independent,Cheri Newman,,South Naida Street,Pampa,OK,79065,35.5296535,-100.982334,806-669-2537,,https://americanselfstorage-tx.com,,,self-storage,B,55,
American Self Storage,Independent,American Self Storage,,North Hobart Street,Pampa,OK,79065,35.5666289,-100.9710338,,,,,,self-storage,C,15,No website found
Another Attic Self Storage,Independent,Another Attic Self Storage,,Southwest 34th Avenue,Amarillo,OK,79121,35.1756078,-101.9234747,806-242-4587,,https://www.anotherattic.com/,,,self-storage,B,55,
Another Attic Self-Storage,Independent,Another Attic Self-Storage,,Soncy Road,Amarillo,OK,79119,35.1180704,-101.9370425,,,,,,self-storage,C,15,No website found
B & W Self Storage,Independent,B & W Self Storage,,Alcock Street,Pampa,OK,79065,35.5333813,-100.9865938,,,,,,self-storage,C,15,No website found
