Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Solid Ground Storage,Independent,Solid Ground Storage,Bastrop,West US Highway 290,Elgin,TX,78621,30.348754,-97.3860327,,,,,,self-storage,C,15,No website found
Solid Ground Storage,Independent,Solid Ground Storage,Bastrop,West US Highway 290,Elgin,TX,78621,30.3422918,-97.3755556,512-281-5779,,,,,self-storage,C,40,
CubeSmart,Chain,CubeSmart,Bastrop,State Highway 71 West,Bastrop,TX,78602,30.1068991,-97.3376411,512-980-4596,,https://www.cubesmart.com,,,self-storage,C,5,Chain-managed
Bastrop Guardian Storage,Independent,Bastrop Guardian Storage,Bastrop,State Highway 71 East,Bastrop,TX,78602,30.1053701,-97.2916428,512-303-1817,storage@bastropguardian.com,https://www.bastropguardian.com/storage/,,,self-storage,B,65,
Lone Star Storage,Independent,Lone Star Storage,Bastrop,State Highway 71 West,Bastrop,TX,78602,30.1125582,-97.3574504,512-332-0111,,https://www.lonestar-storage.com/,,,self-storage,B,55,
Bastrop Self Storage,Independent,Bastrop Self Storage,Bastrop,,,TX,,30.1421719,-97.2508804,,,,,,self-storage,C,15,No website found
1441 Self Storage,Independent,1441 Self Storage,Bastrop,,,TX,,30.1581027,-97.3160349,,,,,,self-storage,C,15,No website found
CenTex Storage,Independent,CenTex Storage,Bastrop,,,TX,,30.1120262,-97.3748146,,,,,,self-storage,C,15,No website found
AAA Bastrop Storage,Independent,AAA Bastrop Storage,Bastrop,,,TX,,30.1124218,-97.3706684,,,,,,self-storage,C,15,No website found
Hilbeg Gas Storage Facility,Independent,Hilbeg Gas Storage Facility,Bastrop,,,TX,,30.0080982,-97.4117743,,,,,,self-storage,C,15,No website found
Jung Storage Building,Independent,Jung Storage Building,Bastrop,Emile Street,Bastrop,TX,78602,30.1062205,-97.318579,,,,,,self-storage,C,15,No website found
