Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
A-A-A Storage,Independent,A-A-A Storage,Bell,,,TX,,31.075116,-97.653193,,,,,,self-storage,C,15,No website found
Amy's Attic Self Storage,Independent,Amy's Attic Self Storage,Bell,Farm-to-Market Road 2484,Salado,TX,76571,30.9681911,-97.5407512,,,,,,self-storage,C,15,No website found
Salado Eagle Storage,Independent,Salado Eagle Storage,Bell,Blackberry Road,,TX,76571,30.9527145,-97.4940001,254-328-1234,,https://www.saladoeaglestorage.com/,,,self-storage,B,55,
My Garage Self Storage,Independent,My Garage Self Storage,Bell,South 31st Street,Temple,TX,76502,31.0553087,-97.3752928,,,https://www.mygarageselfstorage.com/locations/temple-tx-76502,,,self-storage,C,40,
Southpark Self Storage,Independent,Southpark Self Storage,Bell,South 31st Street,Temple,TX,76502,31.0551275,-97.3742982,,,https://southparkselfstorage.com,,,self-storage,C,40,
AAA Mini Storage,Chain,AAA Mini Storage,Bell,South I-35 Frontage Road,Belton,TX,76513,31.0429811,-97.4673828,,,,,,self-storage,C,0,No website found; Chain-managed
Belton Mini-Storage,Independent,Belton Mini-Storage,Bell,Cheryl Lane,Belton,TX,76513,31.0563293,-97.4509807,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Bell,South Clear Creek Road,Killeen,TX,76549,31.0984532,-97.8079881,,,extraspace.com,,,self-storage,C,0,Chain-managed
RV Plus Storage,Independent,RV Plus Storage,Bell,Hackberry Road,Salado,TX,76571,30.8837863,-97.5710112,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Bell,Thayer Drive,Killeen,TX,76549,31.0898227,-97.8059261,254-362-5270,,https://www.extraspace.com,,,self-storage,C,5,Chain-managed
Big Red Barn Self-Storage II,Independent,Big Red Barn Self-Storage II,Bell,,,TX,,31.110561,-97.7860119,,,,,,self-storage,C,15,No website found
Alpha Omega Self Storage,Independent,Alpha Omega Self Storage,Bell,Old Waco Road,Temple,TX,76502,31.1123721,-97.4192341,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Bell,West Loop 121,Belton,TX,76513,31.0336299,-97.4807938,,,,,,self-storage,C,0,No website found; Chain-managed
Chillingham Storage,Independent,Chillingham Storage LLC,Bell,,,TX,,31.0058533,-97.2650253,,,,,,self-storage,C,15,No website found
