Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
SurePoint Self Storage,Independent,SurePoint Self Storage,Bexar,,,TX,,29.4884139,-98.443431,,,,,,self-storage,C,15,No website found
Alamo Relocation & Storage,Independent,Alamo Relocation & Storage,Bexar,East Houston Street,San Antonio,TX,78205,29.4253527,-98.4801078,210-226-4223,,http://alamorelocationstorage.com,,,self-storage,B,55,
Life Storage,Chain,Life Storage,Bexar,Broadway,San Antonio,TX,78215,29.4476764,-98.4742929,,,,,,self-storage,C,0,No website found; Chain-managed
Life Storage,Chain,Life Storage,Bexar,San Pedro Avenue,San Antonio,TX,78212,29.4763857,-98.4985727,210-674-9914,selfstorage@lifestorage.com,https://www.lifestorage.com/storage-units/texas/san-antonio/78212/8050-in-san-antonio/,,,self-storage,C,15,Chain-managed
CubeSmart,Chain,CubeSmart,Bexar,Bandera Road,,TX,,29.5140814,-98.6326717,,,https://www.cubesmart.com/texas-self-storage/san-antonio-self-storage/3421.html,,,self-storage,C,0,Chain-managed
Audie and Joice Mini Storage,Chain,Audie and Joice Mini Storage,Bexar,Clark Avenue,San Antonio,TX,78223,29.374354,-98.4485104,210-533-8106,ministorage1@msn.com,https://www.audieandjoicestorage.com/,,,self-storage,C,15,Chain-managed
Stor Self Storage,Independent,Stor Self Storage,Bexar,,,TX,,29.6316725,-98.4939056,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Bexar,West Loop 1604 North,San Antonio,TX,78254,29.5500881,-98.6723553,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Bexar,De Zavala Road,San Antonio,TX,78249,29.5706828,-98.5753071,,,https://www.extraspace.com/,,,self-storage,C,0,Chain-managed
Store Space,Independent,Store Space,Bexar,East Commerce Street,San Antonio,TX,78205,29.4216448,-98.4758451,210-361-0400,,https://www.storespace.com,,,self-storage,B,55,
A-AAAKEY Mini Storage,Chain,A-AAAKEY Mini Storage,Bexar,Potranco Road,San Antonio,TX,78251,29.4473771,-98.6554005,,,,,,self-storage,C,0,No website found; Chain-managed
Stōr Self Storage,Independent,Stōr Self Storage,Bexar,Boerne Stage Road,San Antonio,TX,78255,29.6649962,-98.6409484,210-591-2008,,https://www.storselfstorage.com/san-antonio/leon-springs-self-storage.html,,,self-storage,B,55,
Lockaway Storage,Independent,Lockaway Storage,Bexar,Encino Commons,San Antonio,TX,78259,29.6433675,-98.451753,,,,,,self-storage,C,15,No website found
Lock Away Storage,Independent,Lock Away Storage,Bexar,De Zavala Road,San Antonio,TX,78249,29.5636938,-98.6048714,,,,,,self-storage,C,15,No website found
Move It Self Storage - Crestway,Independent,Move It Self Storage - Crestway,Bexar,Crestway Road,San Antonio,TX,78239,29.5224161,-98.3431072,210-657-2400,,https://www.moveitstorage.com/san-antonio-038713,,,self-storage,B,55,
Watson & Taylor Self Storage,Independent,Watson & Taylor Self Storage,Bexar,Southwest Loop 410,San Antonio,TX,78227,29.4082614,-98.6483976,,,https://www.steelecreekselfstorage.com/self-storage/san-antonio-tx-119104,,,self-storage,C,40,
Self Storage,Independent,Self Storage,Bexar,North Loop 1604 West,San Antonio,TX,,29.6052077,-98.5277232,,,,,,self-storage,C,15,No website found
Guardian Self-Storage,Independent,Guardian Self-Storage,Bexar,,,TX,,29.5592318,-98.5341651,,,,,,self-storage,C,15,No website found
Lock Away Storage,Independent,Lock Away Storage,Bexar,West Loop 1604 North,San Antonio,TX,,29.5186753,-98.6963595,,,,,,self-storage,C,15,No website found
StorageMart,Chain,StorageMart,Bexar,Potranco Road,San Antonio,TX,78251,29.4391581,-98.6725521,210-680-1081,,,,,self-storage,C,0,Chain-managed
A-AAAKey Mini Storage,Chain,A-AAAKey Mini Storage,Bexar,Interstate 10 West,San Antonio,TX,78249,29.5735412,-98.5921672,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Bexar,Fredericksburg Road,San Antonio,TX,72840,29.5275414,-98.5769816,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Bexar,Parkdale Drive,San Antonio,TX,78229,29.5267928,-98.5596029,,,,,,self-storage,C,15,No website found
U-Haul Moving & Storage of Wurzbach,Chain,U-Haul Moving & Storage of Wurzbach,Bexar,Parkdale Drive,San Antonio,TX,78229,29.5262348,-98.5601015,,,,,,self-storage,C,0,No website found; Chain-managed
Humidity Temperature Controlled,Independent,Humidity Temperature Controlled,Bexar,Frontage Rd,San Antonio,TX,78230,29.5272025,-98.5593455,,,,,,self-storage,C,15,No website found
Alamo Mini-Storage,Independent,Alamo Mini-Storage,Bexar,Wurzbach Road,San Antonio,TX,78240,29.5244049,-98.5705204,,,,,,self-storage,C,15,No website found
A-AAAKey Mini Storage,Chain,A-AAAKey Mini Storage,Bexar,West Loop 1604 North,San Antonio,TX,78254,29.5316848,-98.682507,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Bexar,North Loop 1604 West,San Antonio,TX,78249,29.5869829,-98.636041,,,https://www.extraspace.com/Storage/Facilities/US/Texas/San_Antonio/1000000802/Facility.aspx,,,self-storage,C,0,Chain-managed
The Keep Storage,Independent,The Keep Storage,Bexar,Ingram Road,San Antonio,TX,78245,29.4397412,-98.6564666,,,,,,self-storage,C,15,No website found
Westore Mini-Storage,Independent,Westore Mini-Storage,Bexar,West Avenue,San Antonio,TX,,29.5499725,-98.5067671,,,,,,self-storage,C,15,No website found
Texas Maxi-Mini Storage,Chain,Texas Maxi-Mini Storage,Bexar,West Avenue,San Antonio,TX,,29.5526492,-98.5038442,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Bexar,Lone Star Parkway,San Antonio,TX,78253,29.4878456,-98.7253521,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart,Chain,CubeSmart,Bexar,Interstate Highway 10 Frontage Road,San Antonio,TX,78230,29.5250245,-98.5578599,,,,,,self-storage,C,0,No website found; Chain-managed
A-AAAKey Mini Storage,Chain,A-AAAKey Mini Storage,Bexar,Culebra Road,San Antonio,TX,78253,29.5020958,-98.7237626,,,,,,self-storage,C,0,No website found; Chain-managed
SurePoint Self Storage Shavano,Independent,SurePoint Self Storage Shavano,Bexar,,,TX,,29.5648519,-98.5378166,,,,,,self-storage,C,15,No website found
Alamo Storage,Independent,Alamo Storage,Bexar,Interstate Highway 35 Frontage Road,San Antonio,TX,78233,29.5271476,-98.3911539,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Bexar,San Pedro Avenue,Hill Country Village,TX,78232,29.5866117,-98.4756522,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Bexar,US Highway 281 North,San Antonio,TX,78258,29.6555264,-98.4516286,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Bexar,Huebner Road,San Antonio,TX,78240,29.5336612,-98.5893899,,,,,,self-storage,C,0,No website found; Chain-managed
Key Storage,Independent,Key Storage,Bexar,State Highway 151,San Antonio,TX,78251,29.4454394,-98.6785172,,,,,,self-storage,C,15,No website found
A-AAAKey Mini Storage,Chain,A-AAAKey Mini Storage,Bexar,Northwest Loop 410,San Antonio,TX,,29.4853498,-98.5957154,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart Self Storage,Chain,CubeSmart Self Storage,Bexar,North Loop 1604 East,San Antonio,TX,78232,29.6092237,-98.4791757,,,,,,self-storage,C,0,No website found; Chain-managed
Lockaway Storage,Independent,Lockaway Storage,Bexar,Interstate 10 West,Boerne,TX,78006,29.7374482,-98.6844705,,,,,,self-storage,C,15,No website found
All American Self Storage,Independent,All American Self Storage,Bexar,Interstate 10 West,Boerne,TX,78006,29.7320987,-98.6820713,,,,,,self-storage,C,15,No website found
Angel's Attic,Independent,Angel's Attic,Bexar,,,TX,,29.4852369,-98.5966568,210-684-4322,,,,,self-storage,C,40,
Lockaway Storage,Independent,Lockaway Storage,Bexar,Northwest Loop 410,San Antonio,TX,78213,29.5031979,-98.5455823,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Bexar,Galm Road,San Antonio,TX,78254,29.5157218,-98.7569733,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Bexar,San Pedro Avenue,San Antonio,TX,78232,29.5814024,-98.4754288,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart Self Storage,Chain,CubeSmart Self Storage,Bexar,Bulverde Road,San Antonio,TX,78259,29.6203821,-98.4223648,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Bexar,Marbach Road,San Antonio,TX,78245,29.4175805,-98.694984,210-670-8100,,,,,self-storage,C,0,Chain-managed
Key Storage,Independent,Key Storage,Bexar,East Sonterra Boulevard,San Antonio,TX,78258,29.6153937,-98.4689442,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Bexar,Blanco Road,San Antonio,TX,78216,29.5265796,-98.5044778,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Bexar,Blanco Road,San Antonio,TX,78216,29.5246534,-98.5040884,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Bexar,FM78,San Antonio,TX,78244,29.482188,-98.3560555,210-468-1000,,,,,self-storage,C,0,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Bexar,Nacogdoches Road,San Antonio,TX,78266,29.5950826,-98.3467675,,,,,,self-storage,C,0,No website found; Chain-managed
U-Haul Moving & Storage,Chain,U-Haul Moving & Storage,Bexar,Northwest Loop 410,San Antonio,TX,78213,29.5189832,-98.5233186,,,,,,self-storage,C,0,No website found; Chain-managed
Lockaway Storage (Crestway),Independent,Lockaway Storage (Crestway),Bexar,,,TX,,29.4992886,-98.322499,,,,,,self-storage,C,15,No website found
One Buck Storage,Independent,One Buck Storage,Bexar,Interstate 10 West,Boerne,TX,78006,29.7279946,-98.6776098,,,,,,self-storage,C,15,No website found
