Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
CubeSmart,Chain,CubeSmart,Brazoria,Business Center Drive,Pearland,TX,,29.5539686,-95.3895236,,,,,,self-storage,C,0,No website found; Chain-managed
Columbia Mini Storage,Chain,Columbia Mini Storage,Brazoria,,,TX,,29.1469173,-95.6562578,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart Self Storage,Chain,CubeSmart Self Storage,Brazoria,Hughes Ranch Road,Pearland,TX,77584,29.5707304,-95.3607337,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Brazoria,West Broadway Street,Pearland,TX,77584,29.5567739,-95.3715031,,,,,,self-storage,C,0,No website found; Chain-managed
Harvest Acres RV Park & Mini Storage,Chain,Harvest Acres RV Park & Mini Storage,Brazoria,County Road 130,Pearland,TX,77581,29.5200351,-95.233706,832-219-7080,,https://www.harvestacresrvpark.com/,,,self-storage,C,5,Chain-managed
1/2 Price Storage,Independent,1/2 Price Storage,Brazoria,,,TX,,29.150685,-95.4295214,,,,,,self-storage,C,15,No website found
Angleton Self Storage,Independent,Angleton Self Storage,Brazoria,,,TX,,29.1854606,-95.4087909,,,,,,self-storage,C,15,No website found
Express Self Storage,Independent,Express Self Storage,Brazoria,,,TX,,29.1774383,-95.4118649,,,,,,self-storage,C,15,No website found
STRATTON RIDGE STORAGE CAVERN 1,Independent,Kinder Morgan Tejas Pipeline,Brazoria,,,TX,,29.057231,-95.3414264,,,,,,self-storage,C,15,No website found
Wilson Storage to A/S Channel,Independent,"Enterprise Products Operating, LLC",Brazoria,,,TX,,29.1358932,-95.8259647,,,,,,self-storage,C,15,No website found
STRATTON RIDGE STORAGE CAVERN 2,Independent,Kinder Morgan Tejas Pipeline,Brazoria,,,TX,,29.0565657,-95.3408007,,,,,,self-storage,C,15,No website found
Prospect Storage,Independent,GlidePath Power Operations LLC,Brazoria,,,TX,,29.1495017,-95.6510136,,,,,,self-storage,C,15,No website found
Dow Chemical - Salt Dome Storage Operations,Independent,Dow Chemical - Salt Dome Storage Operations,Brazoria,,,TX,,29.0463868,-95.3551987,,,,,,self-storage,C,15,No website found
Byrd Ranch Storage,Independent,Byrd Ranch Storage LLC,Brazoria,,,TX,,29.0560774,-95.6867773,,,,,,self-storage,C,15,No website found
TX23 Roughneck Storage,Independent,Key Capture Energy,Brazoria,,,TX,,29.1592291,-95.6616981,,,,,,self-storage,C,15,No website found
SMT Ironman Battery Storage Plant,Independent,SMT Ironman BESS LLC,Brazoria,,,TX,,29.4558892,-95.311282,,,,,,self-storage,C,15,No website found
