Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
SmartStop Self Storage,Chain,SmartStop Self Storage,Brazos,Texas Avenue South,College Station,TX,77845,30.5955102,-96.2921893,,,,,,self-storage,C,0,No website found; Chain-managed
Brazos Moving and Storage,Independent,Brazos Moving and Storage,Brazos,TX 6,College Station,TX,77845,30.5358984,-96.2320544,,,,,,self-storage,C,15,No website found
All Seasons Storage Centers - College Station,Independent,All Seasons Storage Centers - College Station,Brazos,South Earl Rudder Freeway Frontage Road,College Station,TX,77845,30.5967646,-96.2884696,,,,,,self-storage,C,15,No website found
Morningstar Storage,Independent,Morningstar Storage,Brazos,Boonville Rd,Bryan,TX,77802,30.6702495,-96.3247902,,,,,,self-storage,C,15,No website found
Turbo Machine Storage Facility,Independent,Turbo Machine Storage Facility,Brazos,,,TX,,30.5902006,-96.3557211,,,,,,self-storage,C,15,No website found
SpareBox Storage,Independent,SpareBox Storage,Brazos,,,TX,,30.5674336,-96.3050007,,,,,,self-storage,C,15,No website found
"Storage Storage, LLC",Independent,"Storage Storage, LLC",Brazos,Horse Haven Lane,College Station,TX,77845,30.6241015,-96.2940794,979-696-7368,,https://www.storagestoragellc.com/,,,self-storage,B,55,
Poultry Science Equipment Storage,Independent,Poultry Science Equipment Storage,Brazos,,,TX,,30.587046,-96.3510993,,,,,,self-storage,C,15,No website found
Grounds Maintenance Storage,Independent,Grounds Maintenance Storage,Brazos,,,TX,,30.6269051,-96.3439347,,,,,,self-storage,C,15,No website found
Golf Cart Storage Building,Independent,Golf Cart Storage Building,Brazos,,,TX,,30.6151849,-96.3316799,,,,,,self-storage,C,15,No website found
EMS Classroom/EMS Storage,Independent,EMS Classroom/EMS Storage,Brazos,,,TX,,30.5782912,-96.3493067,,,,,,self-storage,C,15,No website found
ESTI Technical Equipment Storage,Independent,ESTI Technical Equipment Storage,Brazos,,,TX,,30.5771285,-96.3496728,,,,,,self-storage,C,15,No website found
Floriculture Farm Storage Building,Independent,Floriculture Farm Storage Building,Brazos,,,TX,,30.6102493,-96.3522666,,,,,,self-storage,C,15,No website found
Castle Storage,Independent,Castle Storage,Brazos,North Earl Rudder Freeway,Bryan,TX,77803,30.7196985,-96.3925782,,,,,,self-storage,C,15,No website found
Blocker Building,Independent,Texas A&M University,Brazos,,College Station,TX,77840,30.6195195,-96.3421582,,,,,,self-storage,C,15,No website found
Blocker Court,Independent,Blocker Court,Brazos,,,TX,,30.6530569,-96.2553624,,,,,,self-storage,C,15,No website found
