Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
ALL-STAR SELF STORAGE,Independent,ALL-STAR SELF STORAGE,Burnet,U.S. 281,Marble Falls,TX,,30.5259051,-98.2856587,,,,,,self-storage,C,15,No website found
Spicewood Super Storage,Independent,Spicewood Super Storage,Burnet,East State Highway 71,Spicewood,TX,78669,30.46102,-98.1573569,830-220-4616,,,,,self-storage,C,40,
Spicewood 71 Self-Storage,Independent,Spicewood 71 Self-Storage,Burnet,East State Highway 71,Spicewood,TX,78669,30.4775331,-98.1895309,,,,,,self-storage,C,15,No website found
Lake Hills Boat & RV Storage,Independent,Lake Hills Boat & RV Storage,Burnet,South US Highway 281,Marble Falls,TX,78654,30.5146193,-98.2911529,512-261-0144,,https://www.advantagestorage.net/storage-locations/tx/lake-hills-boat-rv-storage/,,,self-storage,B,55,
Aladdin Self Storage,Independent,Aladdin Self Storage,Burnet,North US Highway 281,Marble Falls,TX,78654,30.6011707,-98.2668626,,,,,,self-storage,C,15,No website found
Trademark Self Storage,Independent,Trademark Self Storage,Burnet,Churchill Drive,Granite Shoals,TX,78654,30.6010701,-98.35108,,,,,,self-storage,C,15,No website found
Howdy Boat & RV Storage,Independent,Howdy Boat & RV Storage,Burnet,East Ranch Road 1431,Marble Falls,TX,78654,30.5716865,-98.2380658,,,,,,self-storage,C,15,No website found
A-Affordable RV & Boat Storage,Independent,A-Affordable RV & Boat Storage,Burnet,County Road 252,Bertram,TX,78605,30.7506121,-98.1502418,512-788-0768,,https://a-affordablestorage.net,,,self-storage,B,55,
AP Storage - West,Independent,AP Storage - West,Burnet,West Ranch Road 2147,Cottonwood Shores,TX,78657,30.549447,-98.3270711,281-816-9410,apstorage.cws@gmail.com,https://www.apstoragetxwest.com/,,,self-storage,B,65,
Fairland Storage,Independent,Fairland Storage,Burnet,Ranch Road 1855,Marble Falls,TX,78654,30.6424276,-98.2623774,,,,,,self-storage,C,15,No website found
