Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Eagle Drive Boat RV Self Storage & Office Warehouses,Independent,Eagle Drive Boat RV Self Storage & Office Warehouses,Chambers,Eagle Drive,Baytown,TX,,29.8222704,-94.8452871,281-573-3888,,https://eagledrivestorage.com,,,self-storage,B,55,
L & L Public Storage,Chain,L & L Public Storage,Chambers,,,TX,,29.8397419,-94.6638437,,,,,,self-storage,C,0,No website found; Chain-managed
East Storage to Teppco (Natural Gasoline),Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8224983,-94.888156,,,,,,self-storage,C,15,No website found
West Storage to East Storage,Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8474102,-94.8982461,,,,,,self-storage,C,15,No website found
Port Arthur to West Storage (Ethylene),Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.868076,-94.8801547,,,,,,self-storage,C,15,No website found
East Storage Pump Facilities to Oneok Station,Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.848929,-94.8936571,,,,,,self-storage,C,15,No website found
North Storage to East Storage Pumping Facilities #1,Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8519095,-94.8950914,,,,,,self-storage,C,15,No website found
East Storage Pump Facilities to Sun Oil (Butane),Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8397929,-94.8927681,,,,,,self-storage,C,15,No website found
Mont Belvieu to West Storage,Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8517528,-94.9112677,,,,,,self-storage,C,15,No website found
North/East Storage Transgfer Line,Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8519412,-94.895003,,,,,,self-storage,C,15,No website found
West Storage to Exxon Storage,Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8424172,-94.8934055,,,,,,self-storage,C,15,No website found
North Storage to East Storage Pumping Facilities,Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8519304,-94.8950646,,,,,,self-storage,C,15,No website found
Natural Gasoline to Storage,Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8606771,-94.9049103,,,,,,self-storage,C,15,No website found
Splitter Plant IV to North Storage,Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8619616,-94.90483,,,,,,self-storage,C,15,No website found
North Storage to East Storage Pumping Facilities (Propylene),Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8509434,-94.8954421,,,,,,self-storage,C,15,No website found
North Storage to East Storage Pumping Facilities (Natural Gasoline),Independent,"Enterprise Products Operating, LLC",Chambers,,,TX,,29.8518425,-94.8952244,,,,,,self-storage,C,15,No website found
