Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
All Storage,Independent,All Storage,Collin,Talbert Drive,Plano,TX,75093,33.0074725,-96.7790246,972-905-9854,,https://www.allstorageonline.com/,,,self-storage,B,55,
Country Club Storage,Independent,Country Club Storage,Collin,Southview Dr,Wylie,TX,75098,33.0555326,-96.5677742,972-461-9600,,https://www.countryclubstorage.net/,,,self-storage,B,55,
Storage King USA,Independent,Storage King USA,Collin,Park Boulevard,Wylie,TX,75098,33.0297372,-96.5512109,,,,,,self-storage,C,15,No website found
Princeton Storage Boat/RV,Independent,Princeton Storage Boat/RV,Collin,FM 546,Princeton,TX,75407,33.1427582,-96.5350521,972-372-4159,princetonstorageboatrv@gmail.com,https://www.princetonmultistorage.com/,,,RV/boat,B,65,
Extra Space Storage,Chain,Extra Space Storage,Collin,South Ferguson Parkway,Anna,TX,75409,33.3460318,-96.5674535,469-425-5194,,https://www.extraspace.com/storage/facilities/us/texas/anna/4245/,,,climate-controlled,C,5,Chain-managed
Neighbor Self Storage,Independent,Neighbor Self Storage,Collin,Grace Street,Frisco,TX,75034,33.1485146,-96.8360581,469-218-9710,,,,,self-storage,C,40,
Neighbor Self Storage,Independent,Neighbor Self Storage,Collin,Frisco Street,Frisco,TX,75034,33.1521108,-96.8313757,469-285-7255,,,,,self-storage,C,40,
Public Storage,Chain,Public Storage,Collin,West Frontier Parkway,,TX,,33.2637037,-96.7979491,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Collin,North Hardin Boulevard,,TX,,33.2120028,-96.6613907,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Collin,Prosper Commons Boulevard,,TX,,33.2207077,-96.7728595,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart,Chain,CubeSmart,Collin,Wade Boulevard,,TX,,33.1285726,-96.8078579,,,,,,self-storage,C,0,No website found; Chain-managed
Advantage Storage,Independent,Advantage Storage,Collin,,,TX,,33.1083767,-96.839643,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Collin,Prestige Circle,,TX,,33.0919989,-96.673996,,,,,,self-storage,C,15,No website found
Assured Self Storage,Independent,Assured Self Storage,Collin,,,TX,,33.114286,-96.6959197,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Collin,Stacy Road,McKinney,TX,75070,33.1442592,-96.6927414,214-613-0664,,,,,self-storage,C,0,Chain-managed
