Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Grant's Storage,Independent,Grant's Storage,Coryell,,,TX,,31.444931,-97.713634,,,,,,self-storage,C,15,No website found
Ideal Self Storage,Independent,Ideal Self Storage,Coryell,East Main Street,Gatesville,TX,76528,31.4353575,-97.73915,254-865-5190,,https://www.idealstorage.com/,,,self-storage,B,55,
116 Storage,Independent,116 Storage,Coryell,FM 116,Gatesville,TX,76528,31.4212279,-97.7895441,254-223-2228,contact@116storage.com,https://www.116storage.com/,,,self-storage,B,65,
Quality Storage,Independent,Quality Storage,Coryell,Wells Park,Gatesville,TX,76528,31.4352454,-97.7520258,,,,,,self-storage,C,15,No website found
Gatesville Storage,Independent,Gatesville Storage,Coryell,East Main Street,Gatesville,TX,76528,31.4360397,-97.7323954,254-865-2138,,,,,self-storage,C,40,
84 Storage.com,Independent,84 Storage.com,Coryell,Magoldi Street,Gatesville,TX,76528,31.4308131,-97.7288723,254-744-1373,,https://www.84storage.com/,,,self-storage,B,55,
Ideal Self Storage,Independent,Ideal Self Storage,Coryell,Austin Street,Gatesville,TX,76528,31.4331505,-97.7258509,254-865-5190,,https://www.idealstorage.com,,,self-storage,B,55,
Coryell County Storage,Independent,Coryell County Storage,Coryell,South 34th Street,Gatesville,TX,76528,31.4339094,-97.7110761,254-223-5040,,https://www.coryellcountystorage.com/,,,self-storage,B,55,
Quinton's Storage,Independent,Quinton's Storage,Coryell,TX 36,Gatesville,TX,76528,31.4184107,-97.7142502,,,,,,self-storage,C,15,No website found
254 Storage,Independent,254 Storage,Coryell,South FM 116,Copperas Cove,TX,,31.1069228,-97.9079995,254-786-7243,,,,,self-storage,C,40,
Police Department/Records Storage,Independent,Police Department/Records Storage,Coryell,,,TX,,31.1192603,-97.8120661,,,,,,self-storage,C,15,No website found
