Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Move It Self Storage - Buckner,Independent,Move It Self Storage - Buckner,Dallas,South Buckner Boulevard,Dallas,TX,75217,32.7145125,-96.6821247,214-810-3997,buckner@moveitstorage.com,http://www.selfstoragedallas75217.com/,,,self-storage,B,65,
Move It Self Storage - Brockbank,Independent,Move It Self Storage - Brockbank,Dallas,Brockbank Drive,Dallas,TX,75220,32.8707281,-96.8753585,214-919-5924,brockbank@moveitstorage.com,http://www.selfstoragedallas75220.com/,,,self-storage,B,65,
AA Storage,Independent,AA Storage,Dallas,,,TX,,32.6334151,-96.9443537,,,,,,self-storage,C,15,No website found
Mesquite Storage,Independent,Mesquite Storage,Dallas,,,TX,,32.7488745,-96.6107069,,,,,,self-storage,C,15,No website found
Security Self-Storage,Independent,Security Self-Storage,Dallas,,,TX,,32.8662863,-96.7409958,,,,,,self-storage,C,15,No website found
SecurCare Self Storage,Independent,SecurCare Self Storage,Dallas,,,TX,,32.7574621,-96.9938956,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,Reeder Road,,TX,,32.8954787,-96.8961954,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Dallas,Inwood Road,Addison,TX,75001,32.9488263,-96.8299497,,,,,,self-storage,C,0,No website found; Chain-managed
The Attic Self-Storage,Independent,The Attic Self-Storage,Dallas,Inwood Road,Addison,TX,75001,32.9525697,-96.830675,,,https://www.theatticstorage.com/,,,self-storage,C,40,
Watson & Taylor Self Storage,Independent,Watson & Taylor Self Storage,Dallas,Belt Line Road,Addison,TX,75001,32.9555774,-96.8455081,,,,,,self-storage,C,15,No website found
Store It All,Independent,Store It All,Dallas,Samuell Boulevard,Mesquite,TX,75149,32.791948,-96.6593001,945-351-1054,,https://www.storeitallstorage.com/self-storage/tx/mesquite/samuell-blvd,,,self-storage,B,55,
Neighbor Self Storage,Independent,Neighbor Self Storage,Dallas,Blackburn Street,Dallas,TX,75204,32.8110302,-96.7994627,469-281-5942,,,,,self-storage,C,40,
Neighbor Self Storage,Independent,Neighbor Self Storage,Dallas,Wittington Place,Farmers Branch,TX,75234,32.9174696,-96.9087437,469-300-3371,,,,,self-storage,C,40,
Neighbor Self Storage,Independent,Neighbor Self Storage,Dallas,Vitruvian Way,Addison,TX,75001,32.9360681,-96.8512767,469-402-3954,,,,,self-storage,C,40,
Neighbor Self Storage,Independent,Neighbor Self Storage,Dallas,Vitruvian Way,Addison,TX,75001,32.9369579,-96.8487919,469-218-6605,,,,,self-storage,C,40,
La Soto Storage,Independent,La Soto Storage,Dallas,,,TX,,32.6121679,-96.8219239,,,,,,self-storage,C,15,No website found
Addison Airport Storage by Southern Star,Independent,Addison Airport Storage by Southern Star,Dallas,Glenn Curtiss Drive,Addison,TX,75001,32.9702017,-96.8335879,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Dallas,Old Denton Road,,TX,,32.9791668,-96.9092807,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Dallas,Lemmon Avenue,,TX,,32.8470259,-96.83501,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Dallas,West Walnut Hill Lane,Irving,TX,75038,32.8669744,-96.9763665,,,,,,self-storage,C,0,No website found; Chain-managed
Gibson Self Storage,Independent,Gibson Self Storage,Dallas,Seagoville Road,Seagoville,TX,,32.6534041,-96.5576664,,,https://www.gibsonselfstorage.com/,,,self-storage,C,40,
Public Storage,Chain,Public Storage,Dallas,North State Highway 161,Grand Prairie,TX,75050,32.7578326,-97.027448,972-905-6839,,"https://www.publicstorage.com/texas/self-storage-grand-prairie-tx/75050-self-storage/882?PID=PSLocalSearch&CID=1341&CHID=LL#/?zl=16&vd=0.47440338227124196&lat=0&lng=0&sort=dasc&ssort=dasc&vsort=dasc&v20=0&v35=0&v50=0&vc=0&vu=0&ve=0&cc=0&da=0&ms=5,6,7,8",,,self-storage,C,5,Chain-managed
Public Storage,Chain,Public Storage,Dallas,Old Denton Road,,TX,,32.9797496,-96.9114139,972-916-9417,,,,,self-storage,C,0,Chain-managed
U-Haul,Chain,U-Haul,Dallas,East Belt Line Road,Carrollton,TX,75006,32.9537489,-96.8578247,972-416-9215,,https://www.uhaul.com/Locations/Self-Storage-near-Carrollton-TX-75006/733035/,,,self-storage,C,5,Chain-managed
Public Storage,Chain,Public Storage,Dallas,East Belt Line Road,,TX,,32.9532534,-96.8801244,,,,,,self-storage,C,0,No website found; Chain-managed
Metroplex Self Storage,Independent,Metroplex Self Storage,Dallas,,,TX,,32.9420212,-96.8909143,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Dallas,Alpha Road,Dallas,TX,75240,32.9332917,-96.804978,,,https://www.publicstorage.com/self-storage-tx-dallas/5641.html,,,self-storage,C,0,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Dallas,North Central Expressway,Dallas,TX,75204,32.8133682,-96.7896487,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Dallas,North Haskell Avenue,,TX,,32.8047642,-96.788927,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Dallas,East Mockingbird Lane,,TX,,32.8362624,-96.7762287,972-763-5456,,https://www.publicstorage.com/self-storage-tx-dallas/838.html,,,self-storage,C,5,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Dallas,East Northwest Highway,Dallas,TX,75231,32.8661706,-96.7665553,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Dallas,North Central Expressway,,TX,,32.9066482,-96.7698747,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,Dallas,Harry Hines Boulevard,,TX,,32.8570839,-96.881191,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Dallas,Lemmon Avenue,,TX,,32.8273346,-96.8242716,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Dallas,South Buckner Boulevard,,TX,,32.7650222,-96.6823474,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,C F Hawn Freeway,,TX,,32.7143197,-96.6868448,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Dallas,South Macarthur Boulevard,,TX,,32.9573764,-96.9573544,,,,,,self-storage,C,0,No website found; Chain-managed
U-STOR,Independent,U-STOR,Dallas,Lake June Road,,TX,,32.733719,-96.6449779,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,East R L Thornton Freeway,,TX,,32.796701,-96.6902767,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,Inwood Road,,TX,,32.8304307,-96.8251516,,,,,,self-storage,C,15,No website found
U-STOR,Independent,U-STOR,Dallas,Harry Hines Boulevard,,TX,,32.8555845,-96.8791662,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,West Northwest Highway,,TX,,32.8569148,-96.8640018,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,South Walton Walker Boulevard,,TX,,32.6947566,-96.893552,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,Forest Lane,,TX,,32.9092307,-96.8672796,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,Shiloh Road,,TX,,32.8613703,-96.6653743,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,Walnut Hill Lane,,TX,,32.8791457,-96.6913507,,,,,,self-storage,C,15,No website found
Security Self-Storage,Independent,Security Self-Storage,Dallas,Forest Lane,,TX,,32.909454,-96.7293876,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,Dallas,Greenville Avenue,,TX,,32.875075,-96.762759,,,,,,self-storage,C,0,No website found; Chain-managed
U-Haul,Chain,U-Haul,Dallas,Lyndon B Johnson Freeway,Garland,TX,75041,32.87005,-96.6682131,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Dallas,West Airport Freeway,Irving,TX,75062,32.8384765,-96.9646396,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Dallas,Interstate 30,Mesquite,TX,75150,32.8195781,-96.6367968,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Dallas,North Galloway Avenue,Mesquite,TX,75149,32.7916517,-96.6122424,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Dallas,North Buckner Boulevard,Dallas,TX,75228,32.8052611,-96.6842392,,,,,,self-storage,C,0,No website found; Chain-managed
Grizzly Self Storage,Independent,Grizzly Self Storage,Dallas,East Main Street,Mesquite,TX,75149,32.765175,-96.5834608,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Dallas,Hargrove Drive,,TX,,32.8611661,-96.8634232,,,,,,self-storage,C,15,No website found
J & L Self Storage,Independent,J & L Self Storage,Dallas,Windbell Circle,Mesquite,TX,75149,32.775452,-96.619784,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Dallas,US Highway 80 East,Mesquite,TX,75149,32.7916565,-96.6096415,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Dallas,Buckingham Road,Richardson,TX,75081,32.9340457,-96.7250209,,,,,,self-storage,C,0,No website found; Chain-managed
Lock-Away Self Storage,Independent,Lock-Away Self Storage,Dallas,Scyene Road,Mesquite,TX,75149,32.7682786,-96.6142335,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Dallas,Chestnut Street,Dallas,TX,75226,32.7808295,-96.7777807,,,,,,self-storage,C,0,No website found; Chain-managed
The Attic Self Storage,Independent,The Attic Self Storage,Dallas,Gus Thomasson Road,Mesquite,TX,75150,32.8156205,-96.6382497,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Dallas,Banner Drive,,TX,,32.9205703,-96.7748651,,,,,,self-storage,C,0,No website found; Chain-managed
Advantage Storage,Independent,Advantage Storage,Dallas,Lakeview Parkway,Rowlett,TX,75088,32.907152,-96.5511176,972-412-2188,,https://www.advantagestorage.net/storage-locations/tx/rowlett/5200-lakeview-parkway/,,,self-storage,B,55,
Stor Self Storage,Independent,Stor Self Storage,Dallas,Riverside Drive,Irving,TX,75039,32.9089509,-96.9441963,,,,,,self-storage,C,15,No website found
Advantage Storage,Independent,Advantage Storage,Dallas,West Lyndon B Johnson Freeway,Irving,TX,75063,32.9118211,-96.9479989,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Dallas,Franklin Drive,Mesquite,TX,75150,32.7942431,-96.6159193,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Dallas,West Trinity Mills Road,,TX,,32.9818714,-96.9166571,,,,,,self-storage,C,0,No website found; Chain-managed
