Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Storage Depot,Independent,Storage Depot,Denton,South Loop 288,Denton,TX,,33.19831,-97.0906798,,,,,,self-storage,C,15,No website found
Affordable Self Storage,Independent,Affordable Self Storage,Denton,Teasley Lane,Denton,TX,76205,33.1998964,-97.1212703,940-566-1013,,https://www.affordableselfstoragetexas.com/,,,self-storage,B,55,
Securlock Storage,Independent,Securlock Storage,Denton,,,TX,,33.0051103,-96.981805,972-315-5000,,,,,self-storage,C,40,
Public Storage,Chain,Public Storage,Denton,Gazebo Street,,TX,,33.2219734,-96.9223972,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Denton,Denton Tap Road,,TX,,32.9975857,-96.9942458,,,,,,self-storage,C,0,No website found; Chain-managed
Storage,Independent,Storage,Denton,,,TX,,33.1853083,-96.8877864,,,,,,self-storage,C,15,No website found
Go Store It Self Storage,Independent,Go Store It Self Storage,Denton,Blake Street,Denton,TX,76208,33.2182659,-97.0856424,,,https://www.gostoreit.com,,,self-storage,C,40,
Ambassador Self Storage and Business Park,Independent,Ambassador Self Storage and Business Park,Denton,TX-121,Lewisville,TX,75067,33.018094,-96.9915535,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Denton,University Drive,Aubrey,TX,76227,33.2199005,-96.9341577,,,,,,self-storage,C,0,No website found; Chain-managed
Denton County Storage Facility,Independent,Denton County Storage Facility,Denton,Teasley Lane,Denton,TX,76210,33.1292829,-97.1007303,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,Denton,North Interstate 35E,Denton,TX,76205,33.1966516,-97.1341809,,,,,,self-storage,C,0,No website found; Chain-managed
US Storage Centers,Independent,US Storage Centers,Denton,,,TX,,33.13072,-97.051265,,,,,,self-storage,C,15,No website found
Iron Guard Stoarge,Independent,Iron Guard Stoarge,Denton,Fort Worth Drive,Denton,TX,76201,33.2004835,-97.1378665,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Denton,East State Highway 121,Lewisville,TX,75067,32.9935841,-96.977525,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart,Chain,CubeSmart,Denton,West Round Grove Road,,TX,,33.0035772,-97.0112333,972-315-7805,,,,,self-storage,C,0,Chain-managed
CubeSmart Self Storage,Chain,CubeSmart Self Storage,Denton,South Interstate 35E,Denton,TX,76205,33.1961533,-97.1320951,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Denton,Frankford Road,Dallas,TX,75287,32.9974611,-96.8496728,855-847-9076,,https://www.extraspace.com/storage/facilities/us/texas/dallas/1954/,,,self-storage,C,5,Chain-managed
Public Storage,Chain,Public Storage,Denton,North Interstate 35,Denton,TX,76207,33.2208215,-97.1722492,,,,,,self-storage,C,0,No website found; Chain-managed
Macho Self Storage,Independent,Macho Self Storage,Denton,Fort Worth Drive,Denton,TX,76201,33.200339,-97.1358593,,,,,,self-storage,C,15,No website found
US Storage Centers,Independent,US Storage Centers,Denton,Swisher Road,Corinth,TX,76210,33.131217,-97.0512701,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Denton,Swisher Road,Corinth,TX,76210,33.131578,-97.0504261,,,,,,self-storage,C,0,No website found; Chain-managed
Corinth Mini Storage,Chain,Corinth Mini Storage,Denton,South Interstate 35E,Corinth,TX,76210,33.1511589,-97.0575935,,,,,,self-storage,C,0,No website found; Chain-managed
Affordable Self Storage,Independent,Affordable Self Storage,Denton,Shady Oaks Drive,Denton,TX,76205,33.2007375,-97.1183238,940-566-1013,,,,,self-storage,C,40,
Affordable Self Storage,Independent,Affordable Self Storage,Denton,Smith Street,Denton,TX,76205,33.2018704,-97.1262311,,,,,,self-storage,C,15,No website found
Simply Self Storage,Independent,Simply Self Storage,Denton,FM 423,Frisco,TX,75034,33.1485641,-96.8901609,972-668-0116,,https://www.simplyss.com/,,,self-storage,B,55,
Public Storage,Chain,Public Storage,Denton,Dale Earnhardt Way,Roanoke,TX,76262,33.024959,-97.2542432,,,,,,self-storage,C,0,No website found; Chain-managed
380 Storage,Independent,380 Storage,Denton,East University Drive,Denton,TX,76208,33.2338022,-97.0761357,,,,,,self-storage,C,15,No website found
UTEX Self Storage,Independent,UTEX Self Storage,Denton,Virginia Circle,Denton,TX,76209,33.2326432,-97.093757,940-535-5339,,https://www.utexselfstorage.com/locations/denton-tx-76209,,,self-storage,B,55,
Crest Self Storage,Independent,Crest Self Storage,Denton,West Round Grove Road,,TX,,33.0046803,-97.0152814,,,,,,self-storage,C,15,No website found
TMS Self Storage,Independent,TMS Self Storage,Denton,State Highway 114,Fort Worth,TX,76247,33.0299599,-97.3144961,940-648-5000,,https://tmsselfstorage.com/,,,self-storage,B,55,
CubeSmart - Roanoke,Chain,CubeSmart,Denton,North US Highway 377,Roanoke,TX,76262,33.0141649,-97.2215874,817-430-2737,,https://www.cubesmart.com/texas-self-storage/roanoke-self-storage/211.html,,,self-storage,C,5,Chain-managed
Silver Spur Storage,Independent,Silver Spur Storage,Denton,E 7th St,Justin,TX,76247,33.0906598,-97.2920727,940-648-9471,,https://silverspurstorage.com/,,,self-storage,B,55,
Public Storage,Chain,Public Storage,Denton,Village Pkwy,,TX,,33.0851778,-97.0777023,972-600-2522,,https://www.publicstorage.com/self-storage-tx-highland-village/2601.html,,,self-storage,C,5,Chain-managed
Waste Storage,Independent,Waste Storage,Denton,,,TX,,33.209275,-97.1595718,,,,,,self-storage,C,15,No website found
Storage Court,Independent,Storage Court,Denton,,,TX,,33.0125972,-96.98036,,,,,,self-storage,C,15,No website found
Storage Shed 1 # 0402,Independent,Storage Shed 1 # 0402,Denton,,,TX,,33.2000439,-97.2164853,,,,,,self-storage,C,15,No website found
Storage Shed 2 #0403,Independent,Storage Shed 2 #0403,Denton,,,TX,,33.1999536,-97.2163902,,,,,,self-storage,C,15,No website found
RUAC Storage Hut,Independent,RUAC Storage Hut,Denton,,,TX,,33.2004028,-97.2083478,,,,,,self-storage,C,15,No website found
All My Sons Moving and Storage,Independent,All My Sons Moving and Storage,Denton,Old Mill Road,,TX,,32.989337,-96.8657535,,,,,,self-storage,C,15,No website found
Sanger Storage,Independent,Sanger Storage,Denton,S. Stemmons,Sanger,TX,76266,33.355965,-97.1829354,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Denton,Legacy Drive,Frisco,TX,75034,33.1483057,-96.848943,,,,,,self-storage,C,0,No website found; Chain-managed
Advantage Storage,Independent,Advantage Storage,Denton,Teasley Lane,Denton,TX,76210,33.1570727,-97.1042381,,,,,,self-storage,C,15,No website found
SpareBox Storage,Independent,SpareBox Storage,Denton,Crawford Road,Argyle,TX,76226,33.1321199,-97.2036882,,,https://www.spareboxstorage.com/storage-units/tx/argyle/sparebox-0105,,,self-storage,C,40,
