Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
American Mini Storage,Chain,American Mini Storage,Fort Bend,Murphy Road,Missouri City,TX,77459,29.5809244,-95.5649617,,,,,,self-storage,C,0,No website found; Chain-managed
First Colony Self Storage,Independent,First Colony Self Storage,Fort Bend,Lexington Boulevard,,TX,77479,29.5875033,-95.6243586,281-749-1175,firstcolony@firstcolonyss.com,https://firstcolonyselfstorage.com/,,,self-storage,B,65,
Summer Lakes Self Storage,Independent,Summer Lakes Self Storage,Fort Bend,Benton Road,Rosenberg,TX,77469,29.539769,-95.7259815,281-239-7100,,https://www.summerlakesselfstorage.com/,,,self-storage,B,55,
Lok-Tite,Independent,Lok-Tite,Fort Bend,FM 359,Richmond,TX,77469,29.6174867,-95.7439567,,,,,,self-storage,C,15,No website found
Stick It & Store It,Independent,Stick It & Store It,Fort Bend,Fm 359,Richmond,TX,77406,29.59853,-95.7400945,,,,,,self-storage,C,15,No website found
Store Space Self Storage,Independent,Store Space Self Storage,Fort Bend,LJ Parkway,Sugar Land,TX,,29.5522719,-95.5881376,,,,,,self-storage,C,15,No website found
Steer It Store It,Independent,Melinda & Carlos,Fort Bend,Settegast Ranch Road,Richmond,TX,77406,29.6612302,-95.8154803,832-465-5222,,bigboatstorage.com,,,self-storage,B,55,
Blue Sky Self Storage,Independent,Blue Sky Self Storage,Fort Bend,,,TX,,29.6846725,-95.687033,,,,,,self-storage,C,15,No website found
MyPlace Self Storage,Independent,MyPlace Self Storage,Fort Bend,Voss Road,Sugar Land,TX,77498,29.6437828,-95.6498697,,,,,,self-storage,C,15,No website found
Old 300 Storage Center,Independent,"Old 300 Storage Center, LLC",Fort Bend,,,TX,,29.3274872,-95.8112111,,,,,,self-storage,C,15,No website found
Luke's Locker,Independent,Luke's Locker,Fort Bend,,,TX,,29.7434619,-95.774716,,,,,,self-storage,C,15,No website found
