Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Paul's Stor-Galor Mini-Warehouses,Independent,Paul's Stor-Galor Mini-Warehouses,Galveston,45th Street,Galveston,TX,77550,29.2819621,-94.8130861,409-762-2345,,http://paulsstor-galor.com,,,self-storage,B,55,
Stewart & 89th Self Storage,Independent,Stewart & 89th Self Storage,Galveston,,,TX,,29.2537488,-94.8548895,,,,,,self-storage,C,15,No website found
Smart Self Storage,Independent,Smart Self Storage,Galveston,FM 2004,Texas City,TX,77591,29.4088192,-95.0319671,,,,,,self-storage,C,15,No website found
League City Boat & RV Storage,Independent,League City Boat & RV Storage,Galveston,,,TX,,29.495346,-95.040485,,,,,,self-storage,C,15,No website found
High Point Storage,Independent,High Point Storage,Galveston,FM 646 W,Dickinson,TX,77539,29.4426004,-95.0939915,,,,,,self-storage,C,15,No website found
SmartStop Self Storage,Chain,SmartStop Self Storage,Galveston,Emmett F Lowry Expressway,Texas City,TX,77590,29.3967741,-94.9551896,,,,,,self-storage,C,0,No website found; Chain-managed
H&H Storage,Independent,H&H Storage,Galveston,Overton Avenue,Port Bolivar,TX,77650,29.3778392,-94.7708133,,,,,,self-storage,C,15,No website found
Drop Anchor Storage,Independent,Drop Anchor Storage,Galveston,State Highway 87,Crystal Beach,TX,77650,29.4417277,-94.6664847,,,,,,self-storage,C,15,No website found
Bo's Self Storage,Independent,Bo's Self Storage,Galveston,Highway 146 North,La Marque,TX,77568,29.3345723,-94.9297701,,,,,,self-storage,C,15,No website found
Americas Storage,Independent,Americas Storage,Galveston,FM 646 East,Dickinson,TX,77539,29.4925227,-95.0139083,,,,,,self-storage,C,15,No website found
William R Blocker Middle School,Independent,William R Blocker Middle School,Galveston,,,TX,,29.3985667,-94.9018671,,,,,,self-storage,C,15,No website found
Blocker Middle School,Independent,Blocker Middle School,Galveston,,,TX,,29.3946231,-94.921107,,,,,,self-storage,C,15,No website found
"Truman Graves Blocker, Jr. Medical Research Building",Independent,"Truman Graves Blocker, Jr. Medical Research Building",Galveston,,,TX,,29.3103929,-94.7801676,,,,,,self-storage,C,15,No website found
