Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Yellow Jacket Mini Storage,Chain,Yellow Jacket Mini Storage,Grayson,Woodlawn Boulevard,Denison,TX,75020,33.7319116,-96.5548031,,,,,,self-storage,C,0,No website found; Chain-managed
About Self Storage,Independent,About Self Storage,Grayson,West Morton Street,Denison,TX,75020,33.7597768,-96.5657272,,,,,,self-storage,C,15,No website found
Keyport Self Storage,Independent,Keyport Self Storage,Grayson,Frisco Road,Sherman,TX,75090,33.6657043,-96.5925093,,,,,,self-storage,C,15,No website found
Gunter Self Storage,Independent,Gunter Self Storage,Grayson,West Maple Street,Gunter,TX,75058,33.4496046,-96.7427473,,,,,,self-storage,C,15,No website found
Elite Self Storage,Independent,Elite Self Storage,Grayson,US Highway 75,Van Alstyne,TX,75495,33.4317702,-96.5932256,,,,,,self-storage,C,15,No website found
Five Star Storage,Independent,Five Star Storage,Grayson,,,TX,,33.6610159,-96.6162987,,,,,,self-storage,C,15,No website found
Premium Storage,Independent,Premium Storage,Grayson,,,TX,,33.6841761,-96.5814221,,,,,,self-storage,C,15,No website found
Eastside Self Storage,Independent,Eastside Self Storage,Grayson,East Mulberry Street,Sherman,TX,75090,33.6403989,-96.6071977,903-892-5720,,https://www.uptown-selfstorage.com/,,,self-storage,B,55,
Four Oaks Storage Center,Independent,Four Oaks Storage Center,Grayson,Well Road,Denison,TX,75020,33.7525853,-96.6458355,,,,,,self-storage,C,15,No website found
Camel Maxi Storage,Chain,Camel Maxi Storage,Grayson,West Houston Street,Sherman,TX,75092,33.6248292,-96.6568664,,,,,,self-storage,C,0,No website found; Chain-managed
Mandy's Storage,Independent,Mandy's Storage,Grayson,,,TX,,33.6820456,-96.5861999,,,,,,self-storage,C,15,No website found
Controlled Storage Solutions,Independent,Controlled Storage Solutions,Grayson,West FM 120,Denison,TX,75020,33.7634404,-96.644032,,,,,,self-storage,C,15,No website found
