Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Cubby Hole Texas Self Storage & Moving Center,Independent,Cubby Hole Texas Self Storage & Moving Center,Gregg,North Eastman Road,Longview,TX,75605,32.5292536,-94.719796,,,,,,self-storage,C,15,No website found
Simply Stor-It Longview,Independent,Simply Stor-It Longview,Gregg,McCann Road,Longview,TX,75601,32.5094989,-94.7475574,903-686-0649,,https://www.simplystor-it.com/,,,self-storage,B,55,
Gilmer Road Self Storage,Independent,Gilmer Road Self Storage,Gregg,Gilmer Road,Longview,TX,75604,32.5462918,-94.799245,,,,,,self-storage,C,15,No website found
SecurCare Self-Storage,Independent,SecurCare Self-Storage,Gregg,West Loop 281,Longview,TX,75604,32.5226132,-94.7878867,,,,,,self-storage,C,15,No website found
Platinum Self Storage,Independent,Platinum Self Storage,Gregg,Estes Parkway,Longview,TX,75603,32.4234146,-94.7172389,,,,,,self-storage,C,15,No website found
Lakeport Self Storage,Independent,Lakeport Self Storage,Gregg,Estes Parkway,Longview,TX,75603,32.4100211,-94.6993233,,,,,,self-storage,C,15,No website found
Platinum Self Storage,Independent,Platinum Self Storage,Gregg,,,TX,,32.4238047,-94.7164317,,,,,,self-storage,C,15,No website found
Lock Box East Self Storage & Moving Center,Independent,Lock Box East Self Storage & Moving Center,Gregg,,,TX,,32.5040647,-94.7140366,,,,,,self-storage,C,15,No website found
Lock Box East Self Storage & Moving Center,Independent,Lock Box East Self Storage & Moving Center,Gregg,East Marshall Avenue,Longview,TX,75601,32.5033069,-94.7130418,,,,,,self-storage,C,15,No website found
Metro Self Storage,Independent,Metro Self Storage,Gregg,West Tyler Street,Longview,TX,75601,32.4983954,-94.7477395,,,,,,self-storage,C,15,No website found
SecurCare Self Storage,Independent,SecurCare Self Storage,Gregg,Gilmer Road,Longview,TX,75604,32.5050643,-94.7678279,,,,,,self-storage,C,15,No website found
G.E.T. Storage,Independent,G.E.T. Storage,Gregg,Hollybrook Drive,Longview,TX,75605,32.5325682,-94.7038413,,,,,,self-storage,C,15,No website found
Alpine Storage,Independent,Alpine Storage,Gregg,,,TX,,32.5362472,-94.7019291,,,,,,self-storage,C,15,No website found
Lock Box West,Independent,Lock Box West,Gregg,West Marshall Avenue,Longview,TX,75604,32.5104983,-94.8174453,,,,,,self-storage,C,15,No website found
Superior Storage,Independent,Superior Storage,Gregg,McCann Road,Longview,TX,75605,32.5496967,-94.7560373,,,,,,self-storage,C,15,No website found
Roughneck Security Storage,Independent,Roughneck Security Storage,Gregg,East US 80,White Oak,TX,75693,32.5192306,-94.854298,,,,,,self-storage,C,15,No website found
Alpine Storage,Independent,Alpine Storage,Gregg,Alpine Road,Longview,TX,75605,32.536592,-94.7029414,,,,,,self-storage,C,15,No website found
Locker Plant Road,Independent,Locker Plant Road,Gregg,,,TX,,32.5246581,-94.9110424,,,,,,self-storage,C,15,No website found
Global Graphics / Locker Room,Independent,Global Graphics / Locker Room,Gregg,West Cotton Street,Longview,TX,75601,32.4984008,-94.769676,,,,,,self-storage,C,15,No website found
