Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Highway 46 Self-Storage,Independent,Highway 46 Self-Storage,Guadalupe,South State Highway 46,Seguin,TX,78155,29.5634406,-97.9903286,830-379-1222,,,,,self-storage,C,40,
King Self Storage,Independent,King Self Storage,Guadalupe,,,TX,,29.5725006,-97.9494014,,,,,,self-storage,C,15,No website found
County Line Self Storage,Independent,County Line Self Storage,Guadalupe,W County Line Rd,New Braunfels,TX,78130,29.6683436,-98.1238072,210-887-8426,,http://clselfstorage.com,,,self-storage,B,55,
N. 123 Store House,Independent,N. 123 Store House,Guadalupe,North Highway 123 Bypass,Seguin,TX,78155,29.6165709,-97.9662409,,,https://www.n123storehouse.com/,,,self-storage,C,40,
LockAway Storage,Independent,LockAway Storage,Guadalupe,,,TX,,29.5603328,-98.2518898,,,,,,self-storage,C,15,No website found
Whatever Self Storage,Independent,Whatever Self Storage,Guadalupe,,,TX,,29.5746324,-98.2052823,,,,,,self-storage,C,15,No website found
Discount Storage,Independent,Discount Storage,Guadalupe,South State Highway 46,New Braunfels,TX,78130,29.6821278,-98.0604727,830-626-1545,,https://www.discountstoragenb.com/,,,self-storage,B,55,
Storage Track,Independent,Storage Track,Guadalupe,,,TX,,29.5805916,-97.9675824,,,,,,self-storage,C,15,No website found
Wintergreen RV Park and Storage,Independent,Wintergreen RV Park and Storage,Guadalupe,,,TX,,29.6171455,-98.0130016,,,,,,self-storage,C,15,No website found
Cibolo Storage,Independent,Cibolo Storage,Guadalupe,,,TX,,29.5631045,-98.2389458,,,,,,self-storage,C,15,No website found
Cibolo Texas Storage,Independent,Cibolo Texas Storage,Guadalupe,,,TX,,29.5731613,-98.2328672,,,,,,self-storage,C,15,No website found
Libra Storage,Independent,Libra Storage LLC,Guadalupe,,,TX,,29.4654367,-98.0034036,,,,,,self-storage,C,15,No website found
