Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Public Storage,Chain,Public Storage,Harris,,,TX,,29.743557,-95.45643,,,,,,self-storage,C,0,No website found; Chain-managed
Move It Self Storage - Atascocita,Independent,Move It Self Storage - Atascocita,Harris,Atascocita Road,Humble,TX,77396,29.9785391,-95.2183674,281-973-5686,atascocita@moveitstorage.com,https://www.moveitstorage.com/self-storage-locations/texas/humble-tx-storage-units/3700-Atascocita-Rd.,,,self-storage,B,65,
Allum Boat & RV Storage,Independent,Allum Boat & RV Storage,Harris,Allum Road,Houston,TX,77045,29.641303,-95.4538762,713-936-3158,,,,,self-storage,C,40,
Life Storage,Chain,Life Storage,Harris,Bayport Boulevard,Seabrook,TX,77586,29.582407,-95.0281981,,,,,,self-storage,C,0,No website found; Chain-managed
Devon Self Storage,Independent,Devon Self Storage,Harris,Bayport Boulevard,Seabrook,TX,77586,29.5790454,-95.0257746,281-942-0106,,https://www.devonselfstorage.com/,,,self-storage,B,55,
USA Self Storage,Independent,USA Self Storage,Harris,,,TX,,29.6811028,-95.122933,,,,,,self-storage,C,15,No website found
Affordable Boat & RV Storage,Independent,Affordable Boat & RV Storage,Harris,,,TX,,29.8795053,-95.7016127,,,,,,self-storage,C,15,No website found
Lone Star Storage Center,Independent,Lone Star Storage Center,Harris,,,TX,,29.8792341,-95.7342066,,,,,,self-storage,C,15,No website found
Safe-Keeping Self Storage,Independent,Safe-Keeping Self Storage,Harris,,,TX,,29.8750158,-95.6440306,,,,,,self-storage,C,15,No website found
Uncle Bob's Self Storage,Chain,Uncle Bob's Self Storage,Harris,,,TX,,29.8855697,-95.6829911,,,,,,self-storage,C,0,No website found; Chain-managed
Safekeeping Self Storage,Independent,Safekeeping Self Storage,Harris,West Parker Road,Houston,TX,,29.8597949,-95.4045431,,,,,,self-storage,C,15,No website found
