Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Extra Space Storage,Chain,Extra Space Storage,Hays,Cromwell Drive,Kyle,TX,78640,30.015744,-97.8713112,512-262-7234,,,,,self-storage,C,0,Chain-managed
Tru Lock Self Storage,Independent,Tru Lock Self Storage,Hays,,,TX,,30.0771199,-97.8443775,,,,,,self-storage,C,15,No website found
AAA Self-Storage,Independent,AAA Self-Storage,Hays,Ranch Road 12,,TX,78666,29.9004009,-97.9696488,,,,,yes,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Hays,Philomena Drive,Kyle,TX,78640,29.9987003,-97.8644726,512-268-4171,,https://www.cubesmart.com,,,self-storage,C,5,Chain-managed
Morningstar Storage,Independent,Morningstar Storage,Hays,West Goforth Road,Buda,TX,78610,30.0776546,-97.8281315,512-215-4223,,,,,self-storage,C,40,
CubeSmart,Chain,CubeSmart,Hays,South Interstate 35,Kyle,TX,78640,30.0007058,-97.8698016,512-268-3009,,https://www.cubesmart.com,,,self-storage,C,5,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Hays,North Interstate 35,San Marcos,TX,78666,29.8957869,-97.9119503,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart,Chain,CubeSmart,Hays,Cromwell Drive,Kyle,TX,78640,30.0159611,-97.871009,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Hays,South Interstate 35,Buda,TX,78610,30.0766467,-97.8263591,512-546-7959,,https://www1.publicstorage.com/,,,self-storage,C,5,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Hays,Bunton Creek Road,Kyle,TX,78640,29.9939945,-97.846254,512-593-5585,,https://www.extraspace.com,,,self-storage,C,5,Chain-managed
Wimberley RV Park & Mini Storage,Chain,Wimberley RV Park & Mini Storage,Hays,,,TX,,29.9976367,-98.0893198,,,,,,self-storage,C,0,No website found; Chain-managed
Sleepy Hollow Mini Storage,Chain,Sleepy Hollow Mini Storage,Hays,,,TX,,29.993299,-98.0801073,,,,,,self-storage,C,0,No website found; Chain-managed
Centex Storage Dripping Springs,Independent,Centex Storage Dripping Springs,Hays,,,TX,,30.1781628,-98.084026,,,,,,self-storage,C,15,No website found
RightSpace Storage,Independent,RightSpace Storage,Hays,Park 35 Cove North,Buda,TX,78610,30.0699966,-97.8317855,512-729-8721,,https://www.nsastorage.com,,,self-storage,B,55,
Shalimar Mini Storage,Chain,Shalimar Mini Storage,Hays,,,TX,,30.0195185,-98.1018525,,,https://www.shalimarministorage.com/,,,self-storage,C,0,Chain-managed
RightSpace Storage office,Independent,RightSpace Storage,Hays,Park 35 Cove North,Buda,TX,78610,30.0696085,-97.8321385,512-729-8721,,https://www.nsastorage.com,,,self-storage,B,55,
Lids Locker Room,Independent,Lids,Hays,I-35 Frontage,San Marcos,TX,78666,29.8241536,-97.9871108,512-392-1880,,,,,self-storage,C,40,
