Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Highway 66 Storage,Independent,Highway 66 Storage,Hunt,TX 66,,TX,,33.057159,-96.2378312,,,https://www.highway66storage.com/,,,self-storage,C,40,
Devon Self Storage,Independent,Devon Self Storage,Hunt,,,TX,,33.1087993,-96.1015106,,,,,,self-storage,C,15,No website found
Devon Self Storage,Independent,Devon Self Storage,Hunt,I-30 Frontage Road,Greenville,TX,75402,33.1085702,-96.1007729,,,,,,self-storage,C,15,No website found
Wesley Street Storage,Independent,Wesley Street Storage,Hunt,Wesley Street,Greenville,TX,75402,33.0854317,-96.10983,903-228-3602,,https://www.texasstandardstorage.com/self-storage-greenville-tx-f9573,,,self-storage,B,55,
Devon Self Storage,Independent,Devon Self Storage,Hunt,Wesley Street,Greenville,TX,75402,33.0894648,-96.1091018,903-303-2190,,https://www.devonselfstorage.com/self-storage/tx/greenville/wesley-st/,,,self-storage,B,55,
Raincross Storage,Independent,Raincross Storage,Hunt,Traders Road,Greenville,TX,75402,33.0931001,-96.1045383,903-455-7867,,https://www.raincrossstorage.com/,,,self-storage,B,55,
1565 Storage,Independent,1565 Storage,Hunt,FM 1565,Caddo Mills,TX,75135,33.0059263,-96.2379543,903-206-2892,,https://www.texasstandardstorage.com/self-storage-caddo-mills-tx-f1540,,,self-storage,B,55,
CubeSmart,Chain,CubeSmart,Hunt,West I-30,Caddo Mills,TX,75135,33.0059538,-96.2234778,903-527-3700,,https://www.storeitalltexas.com/,,,self-storage,C,5,Chain-managed
All American Self Storage,Independent,All American Self Storage,Hunt,West Neal Street,Commerce,TX,75428,33.2481797,-95.9092955,,,,,,self-storage,C,15,No website found
The Guard House Self Storage,Independent,The Guard House Self Storage,Hunt,Culver Street,Commerce,TX,75428,33.2366166,-95.892996,,,,,,self-storage,C,15,No website found
Cunningham Storage,Independent,"Acciona Energy USA Global, LLC",Hunt,,,TX,,33.0046996,-96.0767479,,,,,,self-storage,C,15,No website found
Football Locker Room,Independent,Football Locker Room,Hunt,,,TX,,33.2468932,-95.90935,,,,,,self-storage,C,15,No website found
