Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Store Space,Independent,Store Space,Jefferson,Interstate 10 South,,TX,,30.0755612,-94.1373475,,,,,,self-storage,C,15,No website found
Storage Spot,Independent,Storage Spot,Jefferson,,,TX,,30.0754255,-94.1910964,,,,,,self-storage,C,15,No website found
Safe Storage Units,Independent,Safe Storage Units,Jefferson,Fannin Street,,TX,,30.0809093,-94.0993172,409-499-1005,safestorageunits@gmail.com,,,,self-storage,B,50,
Pods,Independent,Pods,Jefferson,,,TX,,30.0448321,-94.1515153,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Jefferson,North 7th Street,Beaumont,TX,77703,30.0968796,-94.1214106,,,,,,self-storage,C,0,No website found; Chain-managed
Bobby's Mini Storage,Chain,Bobby's Mini Storage,Jefferson,North 31st Street,Nederland,TX,77627,29.9756455,-94.0226412,,,,,,self-storage,C,0,No website found; Chain-managed
Radiant Storage,Independent,Radiant Storage,Jefferson,,,TX,,30.0764201,-94.1369807,,,,,,self-storage,C,15,No website found
A-A Storage Rental,Independent,A-A Storage Rental,Jefferson,East Cardinal Drive,Beaumont,TX,77705,30.0313011,-94.0804962,,,,,,self-storage,C,15,No website found
Golden Triangle Storage System,Independent,"Golden Triangle Storage, Inc.",Jefferson,,,TX,,30.0232695,-94.0755003,,,,,,self-storage,C,15,No website found
Golden Triangle Storage System - Mainline #2,Independent,"Golden Triangle Storage, Inc.",Jefferson,,,TX,,30.0283084,-94.0541539,,,,,,self-storage,C,15,No website found
Port Arthur to West Storage,Independent,"Enterprise Products Operating, LLC",Jefferson,,,TX,,29.9496625,-94.1654689,,,,,,self-storage,C,15,No website found
Golden Triangle Storage System - Mainline #1,Independent,"Golden Triangle Storage, Inc.",Jefferson,,,TX,,30.0282355,-94.0541222,,,,,,self-storage,C,15,No website found
Golden Triangle Storage System - Golden Pass Lateral,Independent,"Golden Triangle Storage, Inc.",Jefferson,,,TX,,30.0205498,-94.0558683,,,,,,self-storage,C,15,No website found
