Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Grandview Self Storage,Independent,Grandview Self Storage,Johnson,Gillum Street,Grandview,TX,76050,32.2748041,-97.1853609,817-565-6726,manager@grandviewselfstoragetx.com,http://www.grandviewselfstoragetx.com,,,self-storage,B,65,
All Store Mini Storage,Chain,All Store Mini Storage,Johnson,North Main Street,Cleburne,TX,76033,32.4227414,-97.3830401,817-558-6331,,,,,self-storage,C,0,Chain-managed
Fossil Storage,Independent,Fossil Storage,Johnson,North Broadway Street,Joshua,TX,76058,32.4701268,-97.3835077,888-677-8672,,https://fossilstorage.com/,,,self-storage,B,55,
Storage Depot,Independent,Storage Depot,Johnson,West Hidden Creek Parkway,Burleson,TX,,32.5276397,-97.3359969,817-402-2282,,https://www.storagedepotdfw.com/location/US/TX/Burleson/depot-burleson/,,,self-storage,B,55,
A-RV Storage,Independent,A-RV Storage,Johnson,,,TX,,32.4780411,-97.2764423,,,,,,self-storage,C,15,No website found
10 Federal Storage,Independent,10 Federal Storage,Johnson,,,TX,,32.5016863,-97.2916518,,,,,,self-storage,C,15,No website found
Affordable Self Storage,Independent,Affordable Self Storage,Johnson,,,TX,,32.3581648,-97.419906,,,,,,self-storage,C,15,No website found
Benco Mini Storage,Chain,Benco Mini Storage,Johnson,,,TX,,32.3521036,-97.4273719,,,,,,self-storage,C,0,No website found; Chain-managed
Century Self Storage,Independent,Century Self Storage,Johnson,Century Drive,Cleburne,TX,76033,32.3788308,-97.3957922,,,,,,self-storage,C,15,No website found
KD's Land Company Mini Storage,Chain,KD's Land Company Mini Storage,Johnson,East US Highway 67,Keene,TX,76059,32.3880171,-97.3210474,,,,,,self-storage,C,0,No website found; Chain-managed
Joshua Storage,Independent,Joshua Storage,Johnson,South Broadway Street,Joshua,TX,76058,32.4495408,-97.3853415,817-426-1455,,https://burlesonstorage.com/joshua-location/,,,self-storage,B,55,
Capsule,Independent,Capsule,Johnson,North Main Street,Cleburne,TX,,32.4154641,-97.3841791,817-517-5802,,https://dfwcapsule.com,,,self-storage,B,55,
CKL Mini Storage,Chain,CKL Mini Storage,Johnson,South Interstate 35W,Alvarado,TX,76009,32.4218436,-97.2267279,,,,,,self-storage,C,0,No website found; Chain-managed
JDC Mini Storage,Chain,JDC Mini Storage,Johnson,,,TX,,32.272887,-97.1887832,,jdcministorage@gmail.com,https://www.jdcrei.com/,,,self-storage,C,0,Chain-managed
Trackside Self Storage,Independent,Trackside Self Storage,Johnson,State Highway 81,Grandview,TX,76050,32.2544551,-97.1822607,214-335-6184,tracksideselfstorage@gmail.com,https://tracksideselfstorage.storageunitsoftware.com/,,,self-storage,B,65,
Copper Safe Storage,Independent,Copper Safe Storage,Johnson,West Westhill Drive,Cleburne,TX,76033,32.3413558,-97.38777,817-641-8615,,,,,self-storage,C,40,
Cornerstone Mini Storage,Chain,Cornerstone Mini Storage,Johnson,West Henderson Street,Cleburne,TX,76033,32.3362977,-97.4151295,,,https://www.cornerstoneincleburne.com,,,self-storage,C,0,Chain-managed
Colonial Mini Storage,Chain,Colonial Mini Storage,Johnson,South Colonial Drive,Cleburne,TX,76033,32.3354591,-97.4143196,+1-817-369-3974;+1-817-558-9819,,https://www.colonialmini.com,,,self-storage,C,5,Chain-managed
Sitzes Self Storage,Independent,Sitzes Self Storage,Johnson,East Katherine P Raines Road,Cleburne,TX,76031,32.3779161,-97.3808292,,,https://www.sitzesselfstorage.com/,,yes,self-storage,C,40,
Joshua Storage Depot,Independent,Joshua Storage Depot,Johnson,West James Street,Joshua,TX,76058,32.4675483,-97.3892804,817-587-8896,,https://www.joshuastoragedepot.com/100-w-james-st-joshua-tx-76058,,,self-storage,B,55,
All Purpose Storage,Independent,All Purpose Storage,Johnson,FM 731,Burleson,TX,76028,32.5047259,-97.3425694,817-295-3785,allpurposestorage@aol.com,https://www.allpurposestoragetx.com,,,self-storage,B,65,
Alvarado Self Storage,Independent,Alvarado Self Storage,Johnson,East US Highway 67,Alvarado,TX,76009,32.4152864,-97.2090299,817-790-7770,,https://alvaradoselfstorage.com/,,,self-storage,B,55,
Yellow Jacket State Storage,Independent,Yellow Jacket State Storage,Johnson,East Henderson Street,Cleburne,TX,76031,32.3611281,-97.3608171,817-517-7801,cleburne@statestoragegroup.com,https://www.cleburne-storage.com/,,,self-storage,B,65,
Cleburne Mini Storage,Chain,Cleburne Mini Storage,Johnson,West Kilpatrick Avenue,Cleburne,TX,76033,32.3666482,-97.4029033,817-645-3232,,https://cleburnemini-storage.com/,,,self-storage,C,5,Chain-managed
Creekside Self Storage,Independent,Creekside Self Storage,Johnson,West Kilpatrick Avenue,Cleburne,TX,,32.3610831,-97.4201533,469-716-0011,,https://www.creeksideselfstoragetx.com/,,,self-storage,B,55,
Store House Storage,Independent,Store House Storage,Johnson,South Nolan River Road,Cleburne,TX,76033,32.3334057,-97.4226813,817-996-8638,storehousecleburne@gmail.com,https://www.storehouse-storage.com/locations/cleburne-tx-76033/,,,self-storage,B,65,
Pedigo Storage,Independent,Pedigo Storage,Johnson,West Kilpatrick Avenue,Cleburne,TX,,32.3684076,-97.3993924,817-648-0304,,https://www.pedigostoragetx.com,,,self-storage,B,55,
Corner Post Self Storage,Independent,Corner Post Self Storage,Johnson,East Railroad Street,Godley,TX,,32.4448202,-97.5271652,214-945-8680,,https://www.cornerpoststoragetx.com/,,,self-storage,B,55,
Aallstor,Independent,Aallstor,Johnson,North Third Street,Grandview,TX,,32.270892,-97.1797964,817-866-3339,,,,,self-storage,C,40,
Rover RV Storage and Transport,Independent,Rover RV Storage and Transport,Johnson,,,TX,,32.3113972,-97.5185212,,,https://www.roverrvstorage.com/,,,self-storage,C,40,
Advantage Storage,Independent,Advantage Storage,Johnson,West FM 917,Joshua,TX,76058,32.4625262,-97.4214127,,,,,,self-storage,C,15,No website found
