Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Lone Star Climate Controlled Storage,Independent,Lone Star Climate Controlled Storage,Kerr,Junction Highway,Ingram,TX,78025,30.0738202,-99.2247502,830-367-7827,,,,,self-storage,C,40,
Browning Warehouse Self Storage,Independent,Browning Warehouse Self Storage,Kerr,Sidney Baker Street,Kerrville,TX,78028,30.0636328,-99.1212793,830-257-3122,,http://browningmovers.com/,,,self-storage,B,55,
A-B-C Self Storage,Independent,A-B-C Self Storage,Kerr,Bandera Highway,Kerrville,TX,78028,30.0335701,-99.1431283,,,,,,self-storage,C,15,No website found
E-Z Self Storage,Independent,E-Z Self Storage,Kerr,Thompson Drive,Kerrville,TX,78028,30.0474312,-99.1506686,,,,,,self-storage,C,15,No website found
Clima Storage,Independent,Clima Storage,Kerr,Junction Highway,Ingram,TX,78025,30.073897,-99.225635,,,,,,self-storage,C,15,No website found
E-Z Self Storage,Independent,E-Z Self Storage,Kerr,Nichols Street,Kerrville,TX,78028,30.0176569,-99.1182477,,,,,,self-storage,C,15,No website found
Mayflower Self Storage,Independent,Mayflower Self Storage,Kerr,,,TX,,30.0631311,-99.1205696,830-257-3122,,https://www.mayflowerselfstorage.com/,,,self-storage,B,55,
E-Z Self Storage,Independent,E-Z Self Storage,Kerr,Methodist Encampment Road,Kerrville,TX,78028,30.0654942,-99.1743157,830-257-6059,,,,,self-storage,C,40,
Security Self Storage,Independent,Security Self Storage,Kerr,Methodist Encampment Road,Kerrville,TX,78028,30.0649126,-99.1744755,830-895-4548,,,,,self-storage,C,40,
City Storage,Independent,City Storage,Kerr,Junction Highway,Kerrville,TX,78028,30.0540089,-99.153035,830-896-1050,,https://kerrvillestorage.com/,,,self-storage,B,55,
City Storage,Independent,City Storage,Kerr,Country Club Drive,Kerrville,TX,,30.0547845,-99.1307213,,,,,,self-storage,C,15,No website found
Skyview Storage,Independent,Skyview Storage,Kerr,Junction Highway,Ingram,TX,78025,30.0742233,-99.2283509,830-353-9532,,,,,self-storage,C,40,
StorWise Self Storage,Independent,StorWise Self Storage,Kerr,Junction Highway,Kerrville,TX,78025,30.0734607,-99.2126986,830-541-7477,,https://www.storwise.com/self-storage-ingram-tx-f7910,,,self-storage,B,55,
S&S Self Storage,Independent,S&S Self Storage,Kerr,Junction Highway,Kerrville,TX,78028,30.0682987,-99.1849197,830-895-3337,info@sandsselfstorage.com,https://sandsselfstorage.com/,,,self-storage,B,65,
City Storage,Independent,City Storage,Kerr,Francisco Lemos Street,Kerrville,TX,78028,30.0536559,-99.1446684,,,,,,self-storage,C,15,No website found
U Store & Lock,Independent,U Store & Lock,Kerr,Junction Highway,Kerrville,TX,78028,30.0742199,-99.1945015,830-895-3330,,https://u-store-lock.business.site/,,,self-storage,B,55,
Trails End Storage,Independent,Trails End Storage,Kerr,,,TX,,30.0734346,-99.2147492,830-367-3636,trailsend@hctc.net,https://www.trailsendstoragetx.com/,,,self-storage,B,65,
Stuff Safe Secure Storage,Independent,Stuff Safe Secure Storage,Kerr,Junction Highway,Kerrville,TX,78028,30.0721493,-99.2170598,830-367-2900,,https://www.stuffsafesecurestorage.com/pages/rent-junction,,,self-storage,B,55,
First American Storage,Independent,First American Storage,Kerr,Memorial Boulevard,Kerrville,TX,78028,30.0244685,-99.1266386,830-895-7777,kerrvillestoragemgr@outlook.com,https://www.firstamericanstorage.us/,,,self-storage,B,65,
A-1 Storage,Independent,A-1 Storage,Kerr,Harper Road,Kerrville,TX,78028,30.0836946,-99.1542276,,,,,,self-storage,C,15,No website found
Access Storage,Independent,Access Storage,Kerr,Bandera Highway,Kerrville,TX,78028,29.9718775,-99.112909,,,,,,self-storage,C,15,No website found
