Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Discount Self Storage,Independent,Discount Self Storage,Lubbock,FM 179,Wolfforth,TX,79382,33.5231063,-102.008379,,,https://www.discountstoragewolfforth.com,,,self-storage,C,40,
Around the Clock Self Storage,Independent,Around the Clock Self Storage,Lubbock,,,TX,,33.5476436,-101.9160953,,,,,,self-storage,C,15,No website found
Aark Self Storage,Independent,Aark Self Storage,Lubbock,,,TX,,33.5240791,-101.8693283,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Lubbock,University Avenue,Lubbock,TX,79423,33.5074907,-101.8713077,,,,,,self-storage,C,15,No website found
Metro Self Storage,Independent,Metro Self Storage,Lubbock,50th Street,Lubbock,TX,79413,33.5471749,-101.8810842,,,,,,self-storage,C,15,No website found
Bolton Self Storage,Independent,Bolton Self Storage,Lubbock,,,TX,,33.5203595,-101.9766038,,,,,,self-storage,C,15,No website found
Affordable Self Storage,Independent,Affordable Self Storage,Lubbock,Frankford Avenue,Lubbock,TX,79424,33.4986016,-101.9407323,,,,,,self-storage,C,15,No website found
DJ's Mini Storage,Chain,DJ's Mini Storage,Lubbock,,,TX,,33.5335199,-101.9668518,,,,,,self-storage,C,0,No website found; Chain-managed
Metro Self Storage,Independent,Metro Self Storage,Lubbock,West Loop 289,Lubbock,TX,79416,33.5943226,-101.9244113,,,,,,self-storage,C,15,No website found
Aark Self Storage,Independent,Aark Self Storage,Lubbock,University Avenue,Lubbock,TX,79423,33.5240468,-101.86901,,,,,,self-storage,C,15,No website found
A-ABC Self Storage,Independent,A-ABC Self Storage,Lubbock,North Loop 289,Lubbock,TX,79415,33.6145144,-101.8962141,,,,,,self-storage,C,15,No website found
Guardian Self Storage,Independent,Guardian Self Storage,Lubbock,19th Street,Lubbock,TX,79407,33.5767488,-102.0110395,,,,,,self-storage,C,15,No website found
Discount Storage: Shop Rentals,Independent,Discount Storage,Lubbock,Indiana Avenue,Lubbock,TX,79424,33.4793382,-101.8866647,806-698-1598,,,,yes,self-storage,C,40,
Nearby Storage,Independent,Nearby Storage,Lubbock,Marsha Sharp Freeway,Lubbock,TX,79407,33.5660723,-101.9207285,,,,,,self-storage,C,15,No website found
Byron Cowling Moving & Self Storage,Independent,Byron Cowling Moving & Self Storage,Lubbock,Indiana Avenue,Lubbock,TX,79423,33.484987,-101.8860193,,,,,,self-storage,C,15,No website found
Kwik-O Self Storage,Independent,Kwik-O Self Storage,Lubbock,Oakridge Avenue,Lubbock,TX,79407,33.5785594,-101.9638397,,,,,,self-storage,C,15,No website found
Affordable Self Storage Slaton,Independent,Affordable Self Storage Slaton,Lubbock,East Woodrow Road,Slaton,TX,,33.4488779,-101.6611274,,,,,,self-storage,C,15,No website found
Alamo Boat & RV Storage,Independent,Alamo Boat & RV Storage,Lubbock,Tahoka Highway,Lubbock,TX,79423,33.5093689,-101.8469063,,,,,,self-storage,C,15,No website found
Orchard Park Self Storage,Independent,Orchard Park Self Storage,Lubbock,114th Street,Lubbock,TX,79423,33.4894148,-101.900369,,,,,,self-storage,C,15,No website found
A-Plus Super Storage,Independent,A-Plus Super Storage,Lubbock,,,TX,,33.5585879,-101.9569948,,,,,,self-storage,C,15,No website found
Byron Cowling Moving & Self Storage,Independent,Byron Cowling Moving & Self Storage,Lubbock,,,TX,,33.4848679,-101.8871868,,,,,,self-storage,C,15,No website found
Bigfoot Storage,Independent,Bigfoot Storage,Lubbock,,,TX,,33.613734,-101.9404132,,,,,,self-storage,C,15,No website found
PODS Moving & Storage,Independent,PODS Moving & Storage,Lubbock,FM 1585,Wolfforth,TX,79382,33.4768571,-102.0102401,,,,,,self-storage,C,15,No website found
Discount Storage: Shop Rentals,Independent,Discount Storage,Lubbock,Frankford ave.,Lubbock,TX,79424,33.4732904,-101.9357463,806-698-1598,,,,,self-storage,C,40,
Woodrow Self Storage,Independent,Woodrow Self Storage,Lubbock,Loop 493,Lubbock,TX,79423,33.4530038,-101.8441024,,,,,,self-storage,C,15,No website found
Brad's Self Storage,Independent,Brad's Self Storage,Lubbock,50th Street,Lubbock,TX,79424,33.5491558,-101.9439899,,,,,,self-storage,C,15,No website found
Idalou Storage,Independent,Idalou Storage,Lubbock,,Idalou,TX,79329,33.6671809,-101.6820783,,,,,yes,self-storage,C,15,No website found
Discount Storage: 144th & Indiana ave.,Independent,Discount Storage,Lubbock,Indiana Avenue,Lubbock,TX,79423,33.4627188,-101.8887831,806-414-1353,,,,yes,self-storage,C,40,
"Discount Storage: RV, Boat Storage, & Shop Rentals",Independent,Discount Storage,Lubbock,County Road 2100,Lubbock,TX,79423,33.4488828,-101.8902482,806-414-1817,,,,,self-storage,C,40,
All In Mini Storage,Chain,All In Mini Storage,Lubbock,West Hale Street,Slaton,TX,,33.4414482,-101.6560296,,,,,,self-storage,C,0,No website found; Chain-managed
U-Haul Moving and Storage,Chain,U-Haul Moving and Storage,Lubbock,34th Street,Lubbock,TX,79411,33.5626897,-101.8545253,,,,,,self-storage,C,0,No website found; Chain-managed
Police Property Storage,Independent,Police Property Storage,Lubbock,,,TX,,33.5877095,-101.8460181,,,,,,self-storage,C,15,No website found
Vaughn Storage Systems,Independent,Vaughn Storage Systems,Lubbock,19th Street,Lubbock,TX,79407,33.5785804,-101.9641906,,,,,,self-storage,C,15,No website found
Stenocall Tower Storage,Independent,Stenocall Tower Storage,Lubbock,,,TX,,33.488281,-101.8832426,,,,,,self-storage,C,15,No website found
Easy Stop Storage,Independent,Easy Stop Storage,Lubbock,Englewood Avenue,Lubbock,TX,79414,33.5520696,-101.9366781,,,,,,self-storage,C,15,No website found
Hart Moving & Storage Inc,Independent,Hart Moving & Storage Inc,Lubbock,,,TX,,33.5610543,-101.820521,,,,,,self-storage,C,15,No website found
Storage Today,Independent,Storage Today,Lubbock,Clovis Road,Lubbock,TX,79415,33.6063164,-101.8714642,,,,,,self-storage,C,15,No website found
A-Plus Super Storage,Independent,A-Plus Super Storage,Lubbock,Erskine Street,Lubbock,TX,79415,33.6073806,-101.8645373,,,,,,self-storage,C,15,No website found
Ample Storage,Independent,Ample Storage,Lubbock,,,TX,,33.5210862,-101.963971,,,,,,self-storage,C,15,No website found
Affordable Storage,Independent,Affordable Storage,Lubbock,Frankford Avenue,Lubbock,TX,79407,33.5659688,-101.9410562,,,,,,self-storage,C,15,No website found
A-Plus Super Storage,Independent,A-Plus Super Storage,Lubbock,Slide Road,Lubbock,TX,79424,33.4986525,-101.9232169,,,,,,self-storage,C,15,No website found
Out of Sight Storage,Independent,Out of Sight Storage,Lubbock,,,TX,,33.5065325,-102.0015829,,,,,,self-storage,C,15,No website found
Affordable Storage,Independent,Affordable Storage,Lubbock,Quaker Avenue,Lubbock,TX,79424,33.4772132,-101.9037302,,,,,,self-storage,C,15,No website found
Affordable Storage,Independent,Affordable Storage,Lubbock,4th Street,Lubbock,TX,79416,33.5914857,-101.9412132,,,,,,self-storage,C,15,No website found
Discount Storage: 96th & University,Independent,Discount Storage,Lubbock,University Avenue,Lubbock,TX,79423,33.5069006,-101.8715247,806-748-9201,,https://discountselfstoragetexas.com/store-locations/96th-university-ave-79424,,yes,self-storage,B,55,
AAA Storage,Independent,AAA Storage,Lubbock,North Quaker Avenue,Lubbock,TX,79416,33.6235965,-101.9057457,,,,,,self-storage,C,15,No website found
Bigfoot Storage,Independent,Bigfoot Storage,Lubbock,North Frankford Avenue,Lubbock,TX,79416,33.6137322,-101.941087,,,,,,self-storage,C,15,No website found
Affordable Storage,Independent,Affordable Storage,Lubbock,50th Street,Lubbock,TX,79412,33.5459409,-101.8571261,,,,,,self-storage,C,15,No website found
Storage Zone,Independent,Storage Zone,Lubbock,South Loop 289,Lubbock,TX,79423,33.527858,-101.8525226,,,,,,self-storage,C,15,No website found
Absolute Nationwide Storage,Independent,Absolute Nationwide Storage,Lubbock,Tahoka Highway,Lubbock,TX,79423,33.5077422,-101.8427846,,,,,,self-storage,C,15,No website found
Discount Storage: Shop Rentals,Independent,Discount Storage,Lubbock,122nd Street,Lubbock,TX,79424,33.483769,-101.9374337,806-698-1598,,,,yes,self-storage,C,40,
Affordable Storage,Independent,Affordable Storage,Lubbock,Tahoka Highway,Lubbock,TX,79423,33.4826347,-101.8420952,,,,,,self-storage,C,15,No website found
Ferguson Big Toy Storage,Independent,Ferguson Big Toy Storage,Lubbock,Tahoka Highway,Lubbock,TX,79423,33.48658,-101.8462598,,,,,,self-storage,C,15,No website found
Locker Room,Independent,Locker Room,Lubbock,University Avenue,Lubbock,TX,79401,33.5860246,-101.8703783,,,,,,self-storage,C,15,No website found
