Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Rocket Mini Storage,Chain,Rocket Mini Storage,McLennan,Robinson Drive,Robinson,TX,76706,31.4717611,-97.1165182,,,,,,self-storage,C,0,No website found; Chain-managed
Amy's Attic Self Storage,Independent,Amy's Attic Self Storage,McLennan,South New Road,Waco,TX,76711,31.5076775,-97.1560915,,,,,,self-storage,C,15,No website found
Storehouse Storage Waco,Independent,Storehouse Storage Waco,McLennan,South New Road,Waco,TX,76711,31.5076579,-97.1483966,254-644-0312,,,,,self-storage,C,40,
RiteSpace Storage,Independent,RiteSpace Storage,McLennan,,,TX,,31.4607162,-97.1826055,,,,,,self-storage,C,15,No website found
Sunset Self Storage,Independent,Sunset Self Storage,McLennan,South Main Street,McGregor,TX,76657,31.4241821,-97.3965731,,,,,,self-storage,C,15,No website found
Safe Space Storage,Independent,Safe Space Storage,McLennan,North Valley Mills Drive,Waco,TX,76710,31.5285401,-97.1823149,254-791-5882,,https://www.usstoragecenters.com/storage-units/tx/waco/920-n-valley-mills-dr?utm_source=google.local&utm_medium=organic&utm_campaign=local,,,self-storage,B,55,
SpareBox Storage,Independent,SpareBox Storage,McLennan,Texas Central Parkway,Waco,TX,76712,31.5013778,-97.2018275,254-324-8101,,https://www.spareboxstorage.com/storage-units/tx/waco/400-texas-central-parkway?utm_medium=yext&utm_source=gmb,,,self-storage,B,55,
U-Haul,Chain,U-Haul,McLennan,Texas Central Parkway,Waco,TX,76712,31.5028005,-97.202778,254-751-7019,,https://www.uhaul.com/Locations/Truck-Rentals-near-Waco-TX-76712/835084/?utm_source=gmb&utm_medium=primary&utm_campaign=uhaulsmlm&utm_content=835084,,,self-storage,C,5,Chain-managed
254 Storage Location 105,Independent,254 Storage Location 105,McLennan,Baylor Avenue,Waco,TX,,31.5409514,-97.1270012,,,,,,self-storage,C,15,No website found
Physical Plant Storage Building,Independent,Physical Plant Storage Building,McLennan,,,TX,,31.6313975,-97.080685,,,,,,self-storage,C,15,No website found
Central Receiving Storage,Independent,Central Receiving Storage,McLennan,,,TX,,31.6321735,-97.0832865,,,,,,self-storage,C,15,No website found
Laser Electro-Optics Storage,Independent,Laser Electro-Optics Storage,McLennan,,,TX,,31.642065,-97.0828735,,,,,,self-storage,C,15,No website found
K & L Storage,Independent,K & L Storage,McLennan,North Highway 6,Woodway,TX,76712,31.5651429,-97.2807064,,,,,,self-storage,C,15,No website found
