Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Metro Self Storage,Independent,Metro Self Storage,Montgomery,,,TX,,30.0495393,-95.2470993,,,,,,self-storage,C,15,No website found
1488 Boat & RV Storage,Independent,1488 Boat & RV Storage,Montgomery,FM 1488,Conroe,TX,77384,30.2262548,-95.5330833,,,,,,self-storage,C,15,No website found
Legion Road Mini Storage,Chain,Legion Road Mini Storage,Montgomery,Legion Road,New Caney,TX,77357,30.1395138,-95.229696,281-354-1259,,,,,self-storage,C,0,Chain-managed
Bear Branch Boat & RV Storage,Independent,Bear Branch Boat & RV Storage,Montgomery,,,TX,,30.2188653,-95.561863,,,,,,self-storage,C,15,No website found
Vision Private Storage,Independent,Vision Private Storage,Montgomery,,,TX,,30.2073334,-95.5767655,,,,,,self-storage,C,15,No website found
Caney Creek Self-Storage,Independent,Caney Creek Self-Storage,Montgomery,Highway 59 South,New Caney,TX,77357,30.179668,-95.2002652,281-602-3459,,,,,self-storage,C,40,
Fish Creek Storage,Independent,Fish Creek Storage,Montgomery,,,TX,,30.3289805,-95.5868221,,,,,,self-storage,C,15,No website found
Stallion Storage,Independent,Stallion Storage,Montgomery,,,TX,,30.1496987,-95.2103051,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Montgomery,Aldine Westfield Road,Spring,TX,77386,30.1383371,-95.4004668,,,,,,self-storage,C,0,No website found; Chain-managed
Montgomery Self Storage,Independent,Montgomery Self Storage,Montgomery,FM 2854,Conroe,TX,77304,30.3096514,-95.4763326,936-760-1898,mssfm2854@montgomeryss.com,https://www.montgomeryss.com/locations/fm-2854/,,,self-storage,B,65,
Montgomery Self Storage Magnolia,Independent,Montgomery Self Storage Magnolia,Montgomery,Bear Branch Lane,Magnolia,TX,77354,30.2225173,-95.5541005,281-259-8106,mssfm1488@montgomeryss.com,https://montgomeryss.com/locations/magnolia-tx/,,,self-storage,B,65,
SmartStop Self Storage,Chain,SmartStop Self Storage,Montgomery,FM 1488,The Woodlands,TX,77384,30.2286484,-95.5225096,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart,Chain,CubeSmart,Montgomery,Conroe Hufsmith Road,,TX,,30.2080474,-95.5735292,,,,,,self-storage,C,0,No website found; Chain-managed
iStorage,Chain,iStorage,Montgomery,North Loop 336 West,Conroe,TX,77304,30.3300762,-95.4865818,832-957-7814,,https://www.istorage.com/storage/texas/storage-units-conroe/1777-N-Loop-336-W-537?utm_source=google&utm_medium=local&utm_content=537&utm_campaign=localmaps,,,self-storage,C,5,Chain-managed
Amazing Spaces,Independent,Amazing Spaces,Montgomery,FM 2978,Magnolia,TX,77354,30.2138216,-95.5672875,,,,,,self-storage,C,15,No website found
Great Spaces Storage,Independent,Great Spaces Storage,Montgomery,,,TX,,30.1712558,-95.5995091,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Montgomery,Interstate 45 South,Conroe,TX,77304,30.2815857,-95.4609267,,,,,,self-storage,C,0,No website found; Chain-managed
Goal Storage,Independent,Goal Storage,Montgomery,,,TX,,30.2675429,-95.538348,,,,,,self-storage,C,15,No website found
Locker Room Haircuts,Independent,Locker Room Haircuts,Montgomery,FM 1488,Magnolia,TX,77354,30.2213093,-95.564864,,,,,,self-storage,C,15,No website found
Lockeridge Bend,Independent,Lockeridge Bend,Montgomery,,,TX,,30.1111374,-95.3854046,,,,,,self-storage,C,15,No website found
Lockeridge Cove Drive,Independent,Lockeridge Cove Drive,Montgomery,,,TX,,30.109184,-95.3837165,,,,,,self-storage,C,15,No website found
Lockeridge Oaks Drive,Independent,Lockeridge Oaks Drive,Montgomery,,,TX,,30.109591,-95.3845228,,,,,,self-storage,C,15,No website found
Lockeridge Place Drive,Independent,Lockeridge Place Drive,Montgomery,,,TX,,30.1102701,-95.3850258,,,,,,self-storage,C,15,No website found
Lockeridge Springs Drive,Independent,Lockeridge Springs Drive,Montgomery,,,TX,,30.1106261,-95.3832597,,,,,,self-storage,C,15,No website found
Lockeridge View Drive,Independent,Lockeridge View Drive,Montgomery,,,TX,,30.1094421,-95.3849593,,,,,,self-storage,C,15,No website found
Lockeridge Farms Drive,Independent,Lockeridge Farms Drive,Montgomery,,,TX,,30.1104825,-95.3842475,,,,,,self-storage,C,15,No website found
Lockeridge Village Drive,Independent,Lockeridge Village Drive,Montgomery,,,TX,,30.1104893,-95.3818699,,,,,,self-storage,C,15,No website found
Lockeridge Creek Drive,Independent,Lockeridge Creek Drive,Montgomery,,,TX,,30.1106052,-95.3810861,,,,,,self-storage,C,15,No website found
