Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
A-Plus Storage,Independent,A-Plus Storage,Moore,,,TX,,35.8540548,-101.9633932,806-935-6951,,,,,self-storage,C,40,
A-Plus Storage,Independent,A-Plus Storage,Moore,North Maddox,Dumas,TX,79029,35.8750815,-101.9628644,806-935-6951,,,,,self-storage,C,40,
Triple-J Mini Storage,Chain,Triple-J Mini Storage,Moore,North Maddox,Dumas,TX,79029,35.8736372,-101.9639616,806-935-3624,,,,,self-storage,C,0,Chain-managed
Self Storage,Independent,Self Storage,Moore,,,TX,,35.8687728,-101.9737909,806-935-6814,,,,,self-storage,C,40,
Affordable Storage,Independent,Affordable Storage,Moore,,,TX,,35.8679764,-101.972779,806-934-8388,,,,,self-storage,C,40,
Affordable Storage,Independent,Affordable Storage,Moore,South Porter Avenue,Dumas,TX,79029,35.86364,-101.9742381,806-934-8388,,,,,self-storage,C,40,
Hole-In-One Storage,Independent,Hole-In-One Storage,Moore,,,TX,,35.9230039,-101.9642989,+1-806-935-9992;+1-806-930-0487,,,,,self-storage,C,40,
287 RV Storage,Independent,287 RV Storage,Moore,,,TX,,35.8784179,-101.9737347,806-930-7669,,https://www.dumasrvstorage.com/,,,self-storage,B,55,
ABC Storage,Independent,ABC Storage,Moore,,,TX,,35.8806273,-101.9741939,806-922-5802,,,,,self-storage,C,40,
Triple J Mini Storage,Chain,Triple J Mini Storage,Moore,North Birge Avenue,Dumas,TX,79029,35.8752123,-101.9754473,806-935-3624,,,,,self-storage,C,0,Chain-managed
A American Storage,Independent,A American Storage,Moore,South Birge Avenue,Dumas,TX,79029,35.8650357,-101.9755833,806-934-8388,,,,,self-storage,C,40,
Robertson Storage,Independent,Robertson Storage,Moore,,,TX,,35.9717189,-101.8769338,,,,,,self-storage,C,15,No website found
Dumas ISD Custodial & Cold Storage,Independent,Dumas ISD Custodial & Cold Storage,Moore,South Twichell Avenue,Dumas,TX,79029,35.8617704,-101.9797573,,,,,,self-storage,C,15,No website found
