Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Move It Self Storage - Weber Road,Independent,Move It Self Storage - Weber Road,Nueces,Weber Road,Corpus Christi,TX,78413,27.6942358,-97.4152084,361-238-0803,weberroad@moveitstorage.com,,,,self-storage,B,50,
Move It Self Storage Bay Area,Independent,Move It Self Storage Bay Area,Nueces,Rodd Field Road,Corpus Christi,TX,78414,27.6804166,-97.3501739,361-792-3440,,https://www.moveitstorage.com/view-rates/texas/corpus-christi/78414/035120,,,self-storage,B,55,
Metro Self Storage,Independent,Metro Self Storage,Nueces,South Staples Street,Corpus Christi,TX,78413,27.6839437,-97.3843613,361-288-3470,,https://www.metrostorage.com/self_storage/Corpus_Christi_TX/zip_78413/metro_self_storage/3907,,,self-storage,B,55,
Yorktown Mini Storage,Chain,Yorktown Mini Storage,Nueces,,,TX,,27.6573321,-97.3766579,,,,,,self-storage,C,0,No website found; Chain-managed
Move It Self Storage - Rodd Field,Independent,Move It Self Storage - Rodd Field,Nueces,Rodd Field Road,Corpus Christi,TX,78412,27.6865039,-97.347131,361-792-3536,roddfield@moveitstorage.com,http://www.selfstoragecorpuschristi78412.com/,,,self-storage,B,65,
Move It Self Storage - Ayers Street,Independent,Move It Self Storage - Ayers Street,Nueces,Ayers Street,Corpus Christi,TX,78415,27.7271881,-97.4304082,361-792-4616,ayers@moveitstorage.com,http://www.selfstoragecorpuschristi78415.com/,,,self-storage,B,65,
A Better Place Self Storage,Independent,A Better Place Self Storage,Nueces,South Port Avenue,Corpus Christi,TX,78415,27.7536038,-97.4205634,,,,,,self-storage,C,15,No website found
Crowsstown Mini-Storage,Independent,Crowsstown Mini-Storage,Nueces,Crosstown Expressway,Corpus Christi,TX,78415,27.7546118,-97.4206844,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Nueces,I-37 Frontage Road,Corpus Christi,TX,78410,27.8493064,-97.5758923,,,,,,self-storage,C,0,No website found; Chain-managed
Safeguard Mini Storage,Chain,Safeguard Mini Storage,Nueces,I-37 Frontage Road,Corpus Christi,TX,78410,27.8486512,-97.5732464,,,,,,self-storage,C,0,No website found; Chain-managed
Safeguard Mini Storage,Chain,Safeguard Mini Storage,Nueces,,,TX,,27.686558,-97.3228725,,,,,,self-storage,C,0,No website found; Chain-managed
Safeguard Mini-Storage,Independent,Safeguard Mini-Storage,Nueces,Boston Drive,Corpus Christi,TX,78413,27.6650809,-97.399343,361-994-1281,,https://www.safeguardministorage.com/,,,self-storage,B,55,
Wind Turbine Storage Site,Independent,Wind Turbine Storage Site,Nueces,,,TX,,27.8321358,-97.3924401,,,,,,self-storage,C,15,No website found
Coal Storage,Independent,Coal Storage,Nueces,,,TX,,27.8145365,-97.4972275,,,,,,self-storage,C,15,No website found
