Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Texas Storage,Independent,Texas Storage,Parker,East US 180,Mineral Wells,TX,76067,32.8118561,-98.060148,,,,,,self-storage,C,15,No website found
Half Price Storage,Independent,Half Price Storage,Parker,East US 180,Mineral Wells,TX,76067,32.8097104,-98.0494326,,,,,,self-storage,C,15,No website found
Cutting Horse Self Storage,Independent,Cutting Horse Self Storage,Parker,Ric Williamson Memorial Highway,Weatherford,TX,76088,32.782375,-97.8120386,,,,,,self-storage,C,15,No website found
Willow Park RV Storage construction,Independent,Willow Park RV Storage construction,Parker,,,TX,,32.742528,-97.6640112,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Parker,East Interstate 20,Aledo,TX,76008,32.7244391,-97.5841774,,,,,,self-storage,C,0,No website found; Chain-managed
Champion Self Storage,Independent,Champion Self Storage,Parker,FM 1189,Weatherford,TX,76087,32.6982387,-97.9592504,,,,,,self-storage,C,15,No website found
Ko Storage,Independent,Ko Storage,Parker,West Park Avenue,Weatherford,TX,,32.7417486,-97.7987227,817-803-2293,,https://www.kostorage.com/storage-locations/texas/weatherford/ko-storage-of-weatherford-west-park/,,,self-storage,B,55,
Main Storage Way,Independent,Main Storage Way,Parker,,,TX,,32.9722885,-97.5702721,,,,,,self-storage,C,15,No website found
Mens Locker Room,Independent,Mens Locker Room,Parker,,,TX,,32.7339163,-97.5650828,,,,,,self-storage,C,15,No website found
Womens Locker Rooms,Independent,Womens Locker Rooms,Parker,,,TX,,32.7338315,-97.5650276,,,,,,self-storage,C,15,No website found
