Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Pods,Independent,Pods,Potter,Southeast 3rd Avenue,Amarillo,TX,79104,35.2078647,-101.7972133,806-412-0886,,,,,self-storage,C,40,
SecurCare Self Storage,Independent,SecurCare Self Storage,Potter,Lowes Lane,Amarillo,TX,79106,35.2112669,-101.9092756,806-375-4742,,,,,self-storage,C,40,
River Rd Self Storage,Independent,River Rd Self Storage,Potter,Valley Avenue,Amarillo,TX,79108,35.2615116,-101.83084,806-359-4192,,,,,self-storage,C,40,
Quad Wolf Mini Storage,Chain,Quad Wolf Mini Storage,Potter,North Western Street,Amarillo,TX,79106,35.2310666,-101.8833273,806-342-4800,,,,,self-storage,C,0,Chain-managed
U-Haul,Chain,U-Haul,Potter,Southwest 6th Avenue,Amarillo,TX,79106,35.2112453,-101.8614161,806-373-4488,,,,,self-storage,C,0,Chain-managed
I-40 Bell Self Storage,Independent,I-40 Bell Self Storage,Potter,Plains Boulevard,Amarillo,TX,79106,35.1917302,-101.9049954,806-351-0310,,,,,self-storage,C,40,
Amarillo All Storage,Independent,Amarillo All Storage,Potter,Hardy Street,Amarillo,TX,79106,35.1907329,-101.9162934,806-355-3055,,http://amarilloallstorage.com/,,,self-storage,B,55,
CSC Self Storage,Independent,CSC Self Storage,Potter,Wolflin Avenue,Amarillo,TX,79106,35.1909807,-101.9122932,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Potter,Lowes Lane,Amarillo,TX,79106,35.2117614,-101.9094411,,,,,,self-storage,C,0,No website found; Chain-managed
All Storage I-40 East,Independent,All Storage I-40 East,Potter,East Interstate Drive,Amarillo,TX,79118,35.1936954,-101.7482051,,,,,,self-storage,C,15,No website found
Cliffside Storage Facility / National Helium Reserve,Independent,Cliffside Storage Facility / National Helium Reserve,Potter,Brickplant Road,Amarillo,TX,79124,35.3538375,-101.9926276,,,,,,self-storage,C,15,No website found
Absolute Storage,Independent,Absolute Storage,Potter,West Loop 335 North,Amarillo,TX,79124,35.242545,-101.937583,,,,,,self-storage,C,15,No website found
Mirror Plaza Storage,Independent,Mirror Plaza Storage,Potter,North Houston Street,Amarillo,TX,79107,35.2185487,-101.8190963,,,,,,self-storage,C,15,No website found
