Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
U-Haul of South Amarillo,Chain,U-Haul of South Amarillo,Randall,Canyon Expressway,,TX,79109,35.1501636,-101.8853391,,,https://www.uhaul.com/,,,self-storage,C,0,Chain-managed
"Document Shredding & Storage, Ltd.",Independent,"Document Shredding & Storage, Ltd.",Randall,Southwest 45th Avenue,Amarillo,TX,79110,35.1632722,-101.8688019,866-381-6611,,,,,self-storage,C,40,
SpareBox Storage,Independent,SpareBox Storage,Randall,South Georgia Street,Amarillo,TX,79110,35.1624852,-101.8668741,,,,,,self-storage,C,15,No website found
Easy Stop Storage,Independent,Easy Stop Storage,Randall,South Washington Street,Amarillo,TX,79110,35.1575701,-101.8479939,806-372-3171,,,,,self-storage,C,40,
Another Attic Self Storage,Independent,Another Attic Self Storage,Randall,Southwest 34th Avenue,Amarillo,TX,79121,35.1756078,-101.9234747,806-242-4587,,https://www.anotherattic.com/,,,self-storage,B,55,
Wirtco Self Storage,Independent,Wirtco Self Storage,Randall,4th Avenue,Canyon,TX,79015,34.980029,-101.9003071,,,,,,self-storage,C,15,No website found
Rockin' R II Self Storage,Independent,Rockin' R II Self Storage,Randall,24th Street,Canyon,TX,79015,34.9709145,-101.9184472,,,,,,self-storage,C,15,No website found
Country Comfort Storage,Independent,Country Comfort Storage,Randall,South Western Street,Amarillo,TX,79118,35.1048224,-101.8834619,,,,,,self-storage,C,15,No website found
Another Attic Self-Storage,Independent,Another Attic Self-Storage,Randall,Soncy Road,Amarillo,TX,79119,35.1180704,-101.9370425,,,,,,self-storage,C,15,No website found
All Storage - Southern,Independent,All Storage - Southern,Randall,South Western Street,Amarillo,TX,79110,35.141915,-101.882887,,,,,,self-storage,C,15,No website found
Canyon Self Storage,Independent,Canyon Self Storage,Randall,North 16th Street,Canyon,TX,79015,34.9845505,-101.9266529,,,,,,self-storage,C,15,No website found
Spare Feet Self Storage,Independent,Spare Feet Self Storage,Randall,Hunsley Road,Canyon,TX,79015,35.0000487,-101.9312336,,,,,,self-storage,C,15,No website found
Lil' Red Truck Self-Storage,Independent,Lil' Red Truck Self-Storage,Randall,I-27 Frontage Road,Canyon,TX,79015,34.9739452,-101.8775431,,,,,,self-storage,C,15,No website found
SpareBox Storage,Independent,SpareBox Storage,Randall,Golden Pond Place,Amarillo,TX,79119,35.1635497,-101.9240409,806-416-7445,,https://www.spareboxstorage.com/storage-units/tx/amarillo/7550-golden-pond-place,,,self-storage,B,55,
Storage Drive,Independent,Storage Drive,Randall,,,TX,,35.1418484,-101.8812986,,,,,,self-storage,C,15,No website found
All Storage - Western,Independent,All Storage - Western,Randall,South Western Street,Amarillo,TX,79110,35.145718,-101.8815686,,,,,,self-storage,C,15,No website found
Longhorn State Storage,Independent,Longhorn State Storage,Randall,South Coulter Street,Amarillo,TX,79119,35.0903161,-101.9184711,,,,,,self-storage,C,15,No website found
Canyon Storage,Independent,Canyon Storage,Randall,Canyon East Parkway,Canyon,TX,79015,34.972894,-101.873294,,,,,,self-storage,C,15,No website found
Locker Room Haircuts,Independent,Locker Room Haircuts,Randall,South Soncy Road,Amarillo,TX,79119,35.170294,-101.9397158,806-398-0775,,,,,self-storage,C,40,
