Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Sunbelt Self Storage,Independent,Sunbelt Self Storage,Tarrant,,Fort Worth,TX,,32.8626822,-97.2906177,,,,,,self-storage,C,15,No website found
Jay's Self Storage,Independent,Jay's Self Storage,Tarrant,,,TX,,32.7602158,-97.4554387,,,,,,self-storage,C,15,No website found
Kennidy RV & Boat Storage,Independent,Dust Kennidy,Tarrant,South Main Street,Mansfield,TX,,32.5529551,-97.1356765,,,,,,self-storage,C,15,No website found
Eagle Self Storage,Independent,Eagle Self Storage,Tarrant,Rivertree Boulevard,Fort Worth,TX,76109,32.7115303,-97.387273,817-926-1222,,https://eagleselfstorage.com/storage-in-fort-worth-tx-considerations/,,,self-storage,B,55,
CubeSmart,Chain,CubeSmart,Tarrant,Enterprise Drive,Grapevine,TX,75028,32.9868053,-97.0414828,,,,,,self-storage,C,0,No website found; Chain-managed
LifeStorage,Independent,LifeStorage,Tarrant,,,TX,,32.8606401,-97.2811314,,,,,,self-storage,C,15,No website found
Aloha Self Storage,Independent,Aloha Self Storage,Tarrant,,,TX,,32.8382665,-97.2791016,,,,,,self-storage,C,15,No website found
Haltom City Self Storage,Independent,Haltom City Self Storage,Tarrant,,,TX,,32.8375321,-97.2756415,,,,,,self-storage,C,15,No website found
Keller Self Storage,Independent,Keller Self Storage,Tarrant,,,TX,,32.9405274,-97.2531138,,,,,,self-storage,C,15,No website found
Smithfield Storage,Independent,Smithfield Storage,Tarrant,Smithfield Road,North Richland Hills,TX,76182,32.8828613,-97.2114649,817-562-9181,,https://www.smithfieldstorage.net/,,,self-storage,B,55,
Public Storage,Chain,Public Storage,Tarrant,Benbrook Boulevard,,TX,,32.6830403,-97.4627155,817-507-4851,,https://www.publicstorage.com/self-storage-tx-benbrook/5975.html,,,self-storage,C,5,Chain-managed
Neighbor Car Storage,Independent,Neighbor Car Storage,Tarrant,East Debbie Lane,Mansfield,TX,76063,32.6103307,-97.1100747,817-330-4522,,,,,self-storage,C,40,
24/7 Storage,Independent,24/7 Storage,Tarrant,,,TX,,32.6136187,-97.3210249,,,,,,self-storage,C,15,No website found
SecurCare Self Storage,Independent,SecurCare Self Storage,Tarrant,South Crowley Road,Crowley,TX,76036,32.5696953,-97.3524649,,,,,,self-storage,C,15,No website found
Sunbelt Self Storage,Independent,Sunbelt Self Storage,Tarrant,North Beach Street,,TX,,32.8629556,-97.291699,,,,,,self-storage,C,15,No website found
Self Storage Court,Independent,Self Storage Court,Tarrant,,,TX,,32.9434068,-97.3764851,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,Tarrant,West Tarrant Road,Grand Prairie,TX,75050,32.7561245,-97.036026,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart,Chain,CubeSmart,Tarrant,Basswood Boulevard,,TX,,32.874558,-97.2626184,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Tarrant,Basswood Boulevard,,TX,,32.8737094,-97.2632588,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Tarrant,Hemphill Street,,TX,,32.6779115,-97.3322668,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Tarrant,River Bend Boulevard,,TX,,32.7012595,-97.4277946,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Tarrant,Camp Bowie West Boulevard,,TX,,32.7246808,-97.4623301,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Tarrant,Crowley Road,,TX,,32.637336,-97.3479844,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tarrant,Sycamore School Road,,TX,,32.6336352,-97.3788604,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tarrant,Bryant Irvin Road,,TX,,32.6680471,-97.4200924,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Tarrant,Bryant Irvin Road,Fort Worth,TX,76132,32.6639176,-97.42186,817-294-5522,,https://www.extraspace.com/storage/facilities/us/texas/fort_worth/3790/,,,self-storage,C,5,Chain-managed
Self Storage,Independent,Self Storage,Tarrant,Dan Danciger Road,,TX,,32.6468098,-97.4093488,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tarrant,Eastchase Parkway,,TX,,32.7531682,-97.1701807,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tarrant,Trinity Boulevard,,TX,,32.8010474,-97.1841809,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tarrant,South Pipeline Road,,TX,,32.8145333,-97.1377185,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Tarrant,North Freeway,,TX,,32.8706032,-97.3187409,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Tarrant,Sam Calloway Road,,TX,,32.7676068,-97.4092364,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Tarrant,Old Denton Road,,TX,,32.9354394,-97.3076129,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Tarrant,Golden Triangle Boulevard,,TX,,32.9311275,-97.2830214,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Tarrant,Post Oak Boulevard,,TX,,32.8197353,-97.0718336,,,,,,self-storage,C,15,No website found
Armadillo Storage,Independent,Armadillo Storage,Tarrant,,,TX,,32.657925,-97.0872659,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Tarrant,West Hurst Blvd,Hurst,TX,76053,32.8086487,-97.1970517,817-989-6465,,https://www.publicstorage.com/,,,self-storage,C,5,Chain-managed
UHaul Self Storage,Chain,UHaul Self Storage,Tarrant,,,TX,,32.7821892,-97.0953723,,,,,,self-storage,C,0,No website found; Chain-managed
Crowley Mini-Storage,Independent,Crowley Mini-Storage,Tarrant,,,TX,,32.5909645,-97.3505255,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Tarrant,Northwest US Highway 287,Haslet,TX,76052,32.9528902,-97.3938754,,,,,,self-storage,C,0,No website found; Chain-managed
Public Storage,Chain,Public Storage,Tarrant,South Jim Wright Freeway,White Settlement,TX,76108,32.7578615,-97.476492,,,,,,self-storage,C,0,No website found; Chain-managed
Northwest Storage,Independent,Northwest Storage,Tarrant,,,TX,,32.7599708,-97.4623888,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Tarrant,Airport Freeway,Richland Hills,TX,76118,32.8062013,-97.212967,,,,,,self-storage,C,0,No website found; Chain-managed
Storage Depot,Independent,Storage Depot,Tarrant,North Riverside Drive,Fort Worth,TX,76137,32.8625123,-97.3036725,817-232-3429,,,,,self-storage,C,40,
Public Storage,Chain,Public Storage,Tarrant,Avondale Haslet Road,Fort Worth,TX,76179,32.9686194,-97.4219214,,,,,,self-storage,C,0,No website found; Chain-managed
Grapevine Storage House,Independent,Grapevine Storage House,Tarrant,East Hudgins Street,,TX,,32.9347306,-97.0765691,817-488-6304,,,,,self-storage,C,40,
Hammel Self Storage,Independent,Hammel Self Storage,Tarrant,North Crowley Road,,TX,,32.6013081,-97.351545,,,https://www.storageincrowleytexas.com/,,,self-storage,C,40,
Mini U Storage,Independent,Mini U Storage,Tarrant,East FM 1187,Crowley,TX,76036,32.5688333,-97.3462998,817-297-1428,,https://www.miniustorage.com/locations/crowley/,,,self-storage,B,55,
Southlake Storage,Independent,Premium Spaces,Tarrant,East Continental Boulevard,Southlake,Texas,76092,32.9268715,-97.1187221,817-912-1516,,https://www.premiumspaces.com/storage-locations/tx/southlake/2060-e-continental-blvd/,,,self-storage,B,55,
Trinity Self Storage LLC,Independent,Trinity Self Storage LLC,Tarrant,,,TX,,32.9393095,-97.2881211,,,,,,self-storage,C,15,No website found
A-Affordable RV & Boat Storage,Independent,A-Affordable RV & Boat Storage,Tarrant,Rendon Bloodworth Road,Mansfield,TX,76063,32.5798177,-97.1845783,,,,,,self-storage,C,15,No website found
SE04.2505B-S Science Storage,Independent,SE04.2505B-S Science Storage,Tarrant,,,TX,,32.6390353,-97.0714311,,,,,,self-storage,C,15,No website found
United States Cold Storage,Independent,United States Cold Storage,Tarrant,East Park Row Drive,Arlington,TX,76010,32.7191965,-97.0485805,,,,,,self-storage,C,15,No website found
US Cold Storage,Independent,US Cold Storage,Tarrant,Downing Drive,,TX,,32.817955,-97.3183712,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Tarrant,Mansfield Highway,Fort Worth,TX,76119,32.6694106,-97.2467232,,,,,,self-storage,C,0,No website found; Chain-managed
Storage SE06 1217-K1,Independent,Storage SE06 1217-K1,Tarrant,,,TX,,32.6388437,-97.0702371,,,,,,self-storage,C,15,No website found
Storage SE06 1124A,Independent,Storage SE06 1124A,Tarrant,,,TX,,32.6386183,-97.0705454,,,,,,self-storage,C,15,No website found
Storage SE06 1117A-S,Independent,Storage SE06 1117A-S,Tarrant,,,TX,,32.6384327,-97.0706733,,,,,,self-storage,C,15,No website found
Storage SE06 2110A-S,Independent,Storage SE06 2110A-S,Tarrant,,,TX,,32.6386165,-97.0705494,,,,,,self-storage,C,15,No website found
Storage SE06 3219B-S,Independent,Storage SE06 3219B-S,Tarrant,,,TX,,32.6389143,-97.0699807,,,,,,self-storage,C,15,No website found
Storage SE06 3122A-S,Independent,Storage SE06 3122A-S,Tarrant,,,TX,,32.6386184,-97.0705455,,,,,,self-storage,C,15,No website found
Storage SE06 2203,Independent,Storage SE06 2203,Tarrant,,,TX,,32.6389001,-97.0700088,,,,,,self-storage,C,15,No website found
Equipment Storage,Independent,Equipment Storage,Tarrant,,,TX,,32.6391827,-97.0729944,,,,,,self-storage,C,15,No website found
Pottery Storage,Independent,Pottery Storage,Tarrant,,,TX,,32.6378287,-97.0728326,,,,,,self-storage,C,15,No website found
SE05.1802A-S Storage,Independent,SE05.1802A-S Storage,Tarrant,,,TX,,32.639453,-97.070518,,,,,,self-storage,C,15,No website found
SE05.1709A-S Storage,Independent,SE05.1709A-S Storage,Tarrant,,,TX,,32.639392,-97.070991,,,,,,self-storage,C,15,No website found
Luke’s Locker,Independent,Luke’s Locker,Tarrant,Monahans Avenue,Fort Worth,TX,76109,32.7094595,-97.4008409,817-877-1448,,https://lukeslocker.com/,,,self-storage,B,55,
KidsFoot Locker,Independent,Foot Locker,Tarrant,,,TX,,32.9680219,-97.0422603,,,https://stores.footlocker.com/tx/grapevine/3000-grapevine-mills-9523.html,,,self-storage,C,40,
Amazon Locker - Angie,Independent,Amazon Locker,Tarrant,,,TX,,32.5784972,-97.3163224,,,,,,self-storage,C,15,No website found
Amazon Parcel Lockers,Independent,Amazon,Tarrant,,,TX,,32.6478609,-97.0765877,,,,,,self-storage,C,15,No website found
Female Locker Room,Independent,Female Locker Room,Tarrant,,,TX,,32.6390254,-97.0730815,,,,,,self-storage,C,15,No website found
Male Locker Room,Independent,Male Locker Room,Tarrant,,,TX,,32.6390254,-97.0730178,,,,,,self-storage,C,15,No website found
Male Locker Room Showers,Independent,Male Locker Room Showers,Tarrant,,,TX,,32.6389729,-97.0730052,,,,,,self-storage,C,15,No website found
Male Locker Area,Independent,Male Locker Area,Tarrant,,,TX,,32.6390045,-97.0730358,,,,,,self-storage,C,15,No website found
Female Locker Area,Independent,Female Locker Area,Tarrant,,,TX,,32.6390065,-97.0730987,,,,,,self-storage,C,15,No website found
Female Locker Room Showers,Independent,Female Locker Room Showers,Tarrant,,,TX,,32.638973,-97.073065,,,,,,self-storage,C,15,No website found
