Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
U-Store-It,Independent,U-Store-It,Taylor,,,TX,,32.4165091,-99.7807838,,,,,,self-storage,C,15,No website found
Almond Street Cold Storage,Independent,Almond Street Cold Storage,Taylor,Almond Street,Abilene,TX,79601,32.4582669,-99.7213846,325-673-4801,,http://www.almondst.com/,,,self-storage,B,55,
Sitzes Self Storage,Independent,Sitzes Self Storage,Taylor,North Danville Drive,Abilene,TX,79603,32.4794942,-99.7691016,,,,,,self-storage,C,15,No website found
TurnKey Storage,Independent,TurnKey Storage,Taylor,North 1st Street,Abilene,TX,79603,32.4551115,-99.7775355,,,,,,self-storage,C,15,No website found
Sitzes Self-Storage,Independent,Sitzes Self-Storage,Taylor,Dub Wright Boulevard,Abilene,TX,79606,32.4083912,-99.8055533,,,,,,self-storage,C,15,No website found
Stonegate Self Storage,Independent,Stonegate Self Storage,Taylor,South Clack Street,Abilene,TX,79606,32.3973713,-99.7536872,,,,,,self-storage,C,15,No website found
A2Z Self Storage,Independent,A2Z Self Storage,Taylor,Union Lane,Abilene,TX,79601,32.4852432,-99.686794,,,,,,self-storage,C,15,No website found
Wylie Mini Storage,Chain,Wylie Mini Storage,Taylor,Buffalo Gap Road,Abilene,TX,79606,32.3553388,-99.7851136,,,,,,self-storage,C,0,No website found; Chain-managed
FM 707 Self Storage,Independent,FM 707 Self Storage,Taylor,Beltway S,Abilene,TX,79606,32.3492265,-99.7546084,,,,,,self-storage,C,15,No website found
Turnkey Storage,Independent,Turnkey Storage,Taylor,,,TX,,32.4517442,-99.7024227,,,,,,self-storage,C,15,No website found
