Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
SecureCare Self Storage,Independent,SecureCare Self Storage,Tom Green,,,TX,,31.423495,-100.4663315,,,,,,self-storage,C,15,No website found
Discount Self Storage,Independent,Discount Self Storage,Tom Green,Arden Road,San Angelo,TX,76901,31.4484381,-100.4865146,,,,,,self-storage,C,15,No website found
Dry Creek Self Storage,Independent,Dry Creek Self Storage,Tom Green,North FM 2288,San Angelo,TX,76901,31.5502925,-100.5494973,,,,,,self-storage,C,15,No website found
Angelo Mini Storage,Chain,Angelo Mini Storage,Tom Green,Arden Road,San Angelo,TX,76901,31.448017,-100.5209002,,,,,,self-storage,C,0,No website found; Chain-managed
Hunter's Run Self Storage,Independent,Hunter's Run Self Storage,Tom Green,Green Meadow Drive,San Angelo,TX,76904,31.4215995,-100.4940711,,,,,,self-storage,C,15,No website found
Guardian Self Storage,Independent,Guardian Self Storage,Tom Green,Southland Boulevard,San Angelo,TX,76904,31.4245061,-100.5096953,,,,,,self-storage,C,15,No website found
Affordable Self Storage,Independent,Affordable Self Storage,Tom Green,Southland Boulevard,San Angelo,TX,76904,31.4233645,-100.5098646,,,,,,self-storage,C,15,No website found
Affordable Super Storage,Independent,Affordable Super Storage,Tom Green,US Highway 67 South,San Angelo,TX,76904,31.4222705,-100.5275358,325-223-8302,,,,,self-storage,C,40,
Sunset Storage,Independent,Sunset Storage,Tom Green,Sunset Drive,San Angelo,TX,76904,31.4138067,-100.4592787,,,,,,self-storage,C,15,No website found
Northside Storage,Independent,Northside Storage,Tom Green,North Chadbourne Street,San Angelo,TX,76903,31.4864018,-100.4512645,,,,,,self-storage,C,15,No website found
Angelo Storage,Independent,"Angelo Storage, LLC",Tom Green,,,TX,,31.5079927,-100.5869701,,,,,,self-storage,C,15,No website found
