Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Public Storage,Chain,Public Storage,Travis,North MoPac Expressway,Austin,TX,78759,30.4161589,-97.7065593,512-634-8437,,https://www.publicstorage.com/self-storage-tx-austin/655?pid=pslocalsearch,,,self-storage,C,5,Chain-managed
Unicorn Moving,Independent,Unicorn Moving,Travis,Victor Street,Austin,TX,78753,30.3771705,-97.6820636,512-339-9922,,https://www.unicornmoving.com/,,,self-storage,B,55,
Stash N Go Storage,Independent,Stash N Go Storage,Travis,O'Neal Lane,Austin,TX,78759,30.4180317,-97.7067928,512-836-9698,,https://www.stashngostorage.com/storage-units/texas/austin/stash-n-go-storage-337007/?cid=glbc,,,self-storage,B,55,
Watson & Taylor Storage - North Austin,Independent,Watson & Taylor Storage - North Austin,Travis,North Lamar Boulevard,Austin,TX,78758,30.3872992,-97.6842252,512-213-1170,,https://www.steelcreekselfstorage.com/self-storage-austin-tx-f4011,,,self-storage,B,55,
RightSpace Storage,Independent,RightSpace Storage,Travis,,,TX,,30.370563,-97.7244389,,,,,,self-storage,C,15,No website found
SpareBox Storage,Independent,SpareBox Storage,Travis,Panther Loop,Pflugerville,TX,78660,30.4820014,-97.5885107,,,,,,self-storage,C,15,No website found
Neighbor Self Storage,Independent,Neighbor Self Storage,Travis,South Lakeline Boulevard,Cedar Park,TX,78613,30.4839231,-97.8326193,737-225-6790,,,,,self-storage,C,40,
Neighbor Self Storage,Independent,Neighbor Self Storage,Travis,Bartons Bluff Lane,Austin,TX,78746,30.2563548,-97.795923,737-250-7378,,,,,self-storage,C,40,
Morningstar Storage,Independent,Morningstar Storage,Travis,,,TX,,30.3960446,-97.9170289,,,,,,self-storage,C,15,No website found
Storage Star,Independent,Storage Star,Travis,,,TX,,30.433437,-97.8403966,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,Travis,Research Boulevard,Austin,TX,78759,30.432031,-97.763083,512-258-5255,Amy_Robinson@uhaul.com,https://www.uhaul.com/Locations/Truck-Rentals-near-Austin-TX-78759/737044/,,,self-storage,C,15,Chain-managed
Petrol Lounge,Independent,Petrol Lounge,Travis,Kramer Lane,Austin,TX,78758,30.3940854,-97.7196302,512-924-6643,info@petrollounge.com,https://www.petrollounge.com/,,,self-storage,B,65,
The Storage Center,Independent,The Storage Center,Travis,,,TX,,30.2171175,-97.7692043,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Travis,North Lamar Boulevard,Austin,TX,78753,30.4091949,-97.6789397,512-339-6300,,https://www.extraspace.com/storage/facilities/us/texas/austin/1000000368/,,,self-storage,C,5,Chain-managed
Public Storage,Chain,Public Storage,Travis,East 41st Street,,TX,,30.2975915,-97.718832,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Travis,White Horse Trail,,TX,,30.3396002,-97.7397852,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Travis,Twin Oaks Drive,,TX,,30.3418645,-97.7396565,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Travis,Nasco Drive,,TX,,30.3419685,-97.741781,,,,,,self-storage,C,15,No website found
U-Haul,Chain,U-Haul,Travis,Burnet Road,Austin,TX,78757,30.342262,-97.7389625,512-302-3604,,https://www.uhaul.com/Locations/Self-Storage-near-Austin-TX-78757/737060/,,,self-storage,C,5,Chain-managed
Stowbird Storage,Independent,Stowbird Storage,Travis,,,TX,,30.350166,-97.4910895,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Travis,North Railroad Avenue,,TX,,30.440844,-97.6179875,,,,,,self-storage,C,15,No website found
Stor Self Storage,Independent,Stor Self Storage,Travis,Kinney Road,,TX,,30.24702,-97.7727115,,,,,,self-storage,C,15,No website found
Morningstar Mini-Storage,Independent,Morningstar Mini-Storage,Travis,West US Highway 290,Austin,TX,78736,30.2268612,-97.945861,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Travis,North Lamar Boulevard,,TX,,30.3872201,-97.6844373,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Travis,South Meadowlark Street,,TX,,30.362334,-97.951323,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Travis,Lohmans Crossing Road,,TX,,30.3411705,-97.970542,,,,,,self-storage,C,15,No website found
Waters Park Self Storage,Independent,Waters Park Self Storage,Travis,North MoPac Expressway,,TX,,30.412679,-97.7103735,,,,,,self-storage,C,15,No website found
Stash N Go Storage,Independent,Stash N Go Storage,Travis,O'Neal Lane,Austin,TX,78759,30.418366,-97.706631,512-838-9698,info@stashngostorage.com,https://www.stashngostorage.com/,,,self-storage,B,65,
Extra Space Storage,Chain,Extra Space Storage,Travis,West Braker Lane,Austin,TX,78758,30.3902703,-97.7205636,512-766-1697,,https://www.extraspace.com/storage/facilities/us/texas/austin/3437/,,,self-storage,C,5,Chain-managed
Self Storage,Independent,Self Storage,Travis,Wagon Trail,Austin,TX,78758,30.3784559,-97.6903721,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,Travis,East Riverside Drive,,TX,,30.238673,-97.724691,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Travis,North Interstate Highway 35 Service Road,,TX,,30.3713465,-97.67897,,,,,,self-storage,C,0,No website found; Chain-managed
U-Haul,Chain,U-Haul,Travis,East Ben White Boulevard,,TX,,30.221783,-97.7597915,,,,,,self-storage,C,0,No website found; Chain-managed
Space Self-Storage,Independent,Space Self-Storage,Travis,North Lamar Boulevard,Austin,TX,78753,30.3862346,-97.6834985,512-623-7402,,https://www.spacestoragetx.com/,,,self-storage,B,55,
Stor Self Storage - Circle C,Independent,Stor Self Storage - Circle C,Travis,West Slaughter Lane,,TX,,30.2148591,-97.8938173,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Travis,Wilke Lane,Pflugerville,TX,78660,30.4780331,-97.604834,512-592-3173,,https://www.publicstorage.com,,,self-storage,C,5,Chain-managed
Public Storage,Chain,Public Storage,Travis,North Lamar Boulevard,Austin,TX,78753,30.3489886,-97.7090716,,,,,,self-storage,C,0,No website found; Chain-managed
Oak Hill Storage,Independent,Oak Hill Storage,Travis,,,TX,,30.2433051,-97.8849154,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Travis,South Interstate 35,Austin,TX,78704,30.2417536,-97.7374483,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Travis,Boston Lane,Austin,TX,78735,30.237609,-97.8302961,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Travis,West US Highway 290,Austin,TX,78736,30.2238306,-97.955394,,,,,,self-storage,C,0,No website found; Chain-managed
Burnet Road Self Storage,Independent,Burnet Road Self Storage,Travis,Burnet Road,Austin,TX,78757,30.3409085,-97.740993,512-453-6302,,https://www.burnetroadstorage.com/,,,self-storage,B,55,
CubeSmart,Chain,CubeSmart,Travis,Burnet Road,Austin,TX,78756,30.332647,-97.7395945,512-203-3139,,https://www.cubesmart.com/texas-self-storage/austin-self-storage/3467.html,,,self-storage,C,5,Chain-managed
Public Storage,Chain,Public Storage,Travis,Owen-Tech Boulevard,Austin,TX,78728,30.4289031,-97.6714976,512-643-1602,,https://www.publicstorage.com/self-storage-tx-austin/2534?pid=pslocalsearch,,,self-storage,C,5,Chain-managed
Public Storage,Chain,Public Storage,Travis,South Lamar Boulevard,Austin,TX,78704,30.2506368,-97.766849,,,,,,self-storage,C,0,No website found; Chain-managed
Central Self Storage,Independent,Central Self Storage,Travis,South Congress Avenue,Austin,TX,78745,30.1750229,-97.7841821,512-280-6438,,,,,self-storage,C,40,
EZ Storage Services,Independent,EZ Storage Services,Travis,FM 812,Del Valle,TX,78617,30.1372148,-97.663472,512-846-2700,ezstorageservices@gmail.com,https://www.ezstorageservices.com/,,,self-storage,B,65,
Public Storage,Chain,Public Storage,Travis,West Gate Boulevard,Austin,TX,78748,30.1813751,-97.8405872,512-634-8351,,,,,self-storage,C,0,Chain-managed
U-Haul,Chain,U-Haul,Travis,Three Points Road,Pflugerville,TX,78660,30.4515572,-97.6630705,512-251-7491,,https://www.uhaul.com,,,self-storage,C,5,Chain-managed
A-1 Pflugerville Storage,Independent,A-1 Pflugerville Storage,Travis,West Pflugerville Loop,Pflugerville,TX,78660,30.4538019,-97.6521546,512-251-4650,,https://www.a1pflugervillestorage.com/,,,self-storage,B,55,
Stor Self Storage,Independent,Stor Self Storage,Travis,West Pecan Street,Pflugerville,TX,78660,30.4485255,-97.6529581,512-687-9102,Pflugerville@storselfstorage.com,https://www.storselfstorage.com,,,self-storage,B,65,
Pflugerville Self Storage,Independent,Pflugerville Self Storage,Travis,Windermere Drive,Pflugerville,TX,78660,30.4472277,-97.6471448,512-251-7055,,,,,self-storage,C,40,
Windermere Storage,Independent,Windermere Storage,Travis,Windermere Drive,Pflugerville,TX,78660,30.4479479,-97.6470831,512-310-8830,,https://ridgehillinvestments.com/windermere-storage/,,,self-storage,B,55,
Storage King USA,Independent,Storage King USA,Travis,,,TX,,30.3505982,-97.4821242,,,,,,self-storage,C,15,No website found
Krantz Boat & RV Storage,Independent,Krantz Boat & RV Storage,Travis,,,TX,,30.3491712,-97.4875519,,,,,,self-storage,C,15,No website found
Mini U Storage,Independent,Mini U Storage,Travis,Wells Branch Parkway,Austin,TX,78728,30.4364808,-97.6732317,512-251-9600,austin@miniustorage.com,https://www.miniustorage.com,,,self-storage,B,65,
CubeSmart,Chain,CubeSmart,Travis,Owen-Tech Boulevard,Austin,TX,78728,30.4371643,-97.6704329,877-279-7585,,https://www.cubesmart.com/,,,self-storage,C,5,Chain-managed
Antler Mini Storage,Chain,Antler Mini Storage,Travis,Thomas Sinclair Boulevard,Austin,TX,78728,30.4373667,-97.6877038,512-246-6217,antlermini@yahoo.com,https://www.antlerministorage.com/,,,self-storage,C,15,Chain-managed
Watson & Taylor Self Storage,Independent,Watson & Taylor Self Storage,Travis,,,TX,,30.2679598,-97.6715436,,,,,,self-storage,C,15,No website found
Bergstrom Storage,Independent,Bergstrom Storage,Travis,,,TX,,30.2348248,-97.6878846,,,,,,self-storage,C,15,No website found
Riverside/71 Self Storage,Independent,Riverside/71 Self Storage,Travis,,,TX,,30.218121,-97.6954315,,,,,,self-storage,C,15,No website found
A Austin Storage,Independent,A Austin Storage,Travis,,,TX,,30.2231298,-97.6963737,,,,,,self-storage,C,15,No website found
Bee Safe Storage and Wine Cellar,Chain,CubeSmart,Travis,,,TX,,30.4379154,-97.6606261,,,,,,self-storage,C,0,No website found; Chain-managed
Private Warehouse Mini-Storage,Independent,Private Warehouse Mini-Storage,Travis,,,TX,,30.4416211,-97.6115487,,,,,,self-storage,C,15,No website found
AAA Storage Pflugerville,Independent,AAA Storage Pflugerville,Travis,,,TX,,30.4395061,-97.6102116,,,,,,self-storage,C,15,No website found
Mo-Kan Storage,Independent,Mo-Kan Storage,Travis,,,TX,,30.4410792,-97.6179333,,,,,,self-storage,C,15,No website found
Bluewater Storage,Independent,Bluewater Storage,Travis,,,TX,,30.4640658,-97.6608069,,,,,,self-storage,C,15,No website found
StorageTown USA,Independent,StorageTown USA,Travis,,,TX,,30.399335,-97.6401638,,,,,,self-storage,C,15,No website found
MyPlace Self Storage,Independent,MyPlace Self Storage,Travis,,,TX,,30.4485333,-97.6377054,,,,,,self-storage,C,15,No website found
East Austin Self Storage,Independent,East Austin Self Storage,Travis,,,TX,,30.258854,-97.692502,,,,,,self-storage,C,15,No website found
Public Storage,Chain,Public Storage,Travis,Research Boulevard,Austin,TX,78759,30.4021483,-97.7442012,512-634-8463,,https://www.publicstorage.com,,,self-storage,C,5,Chain-managed
Hudson Bend Boat & Campers Storage,Independent,Hudson Bend Boat & Campers Storage,Travis,,,TX,,30.4082589,-97.9274732,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,Travis,West 5th Street,Austin,TX,78703,30.2725486,-97.7618303,,,,,,self-storage,C,0,No website found; Chain-managed
Storage Star Mopac,Independent,Storage Star Mopac,Travis,North Mopac Expressway,Austin,TX,78727,30.4273125,-97.7032993,254-831-9190,,https://www.storagestar.com/self-storage/tx/austin/n-mopac-expy//,,,self-storage,B,55,
Public Storage,Chain,Public Storage,Travis,South Congress Avenue,Austin,TX,78745,30.188603,-97.7818246,512-634-8955,,https://www.publicstorage.com/self-storage-tx-austin/636.html,,,self-storage,C,5,Chain-managed
