Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Park-N-Go Storage,Independent,Park-N-Go Storage,Williamson,County Road 279,Leander,TX,78641,30.6144641,-97.9004114,512-528-0900,storage@parkngostorage.com,http://parkngostorage.com/,,,self-storage,B,65,
Storage Plus,Independent,Storage Plus,Williamson,Williams Drive,Georgetown,TX,78628,30.6819121,-97.7146329,512-888-4922,,,,,self-storage,C,40,
Extra Space Storage,Chain,Extra Space Storage,Williamson,,,TX,,30.6851611,-97.7188638,512-444-8229,,,,,self-storage,C,0,Chain-managed
Gotcha Covered Storage,Independent,Gotcha Covered Storage,Williamson,,,TX,,30.7130091,-97.7653665,,,,,,self-storage,C,15,No website found
Tillman Self Storage,Independent,Tillman Self Storage,Williamson,West Whitestone Boulevard,Cedar Park,TX,78613,30.5158501,-97.8453074,,,https://www.tillmanselfstorage.com/,,,self-storage,C,40,
Sonterra Self Storage,Independent,Sonterra Self Storage,Williamson,County Road 313,Jarrell,TX,76537,30.8072706,-97.5881006,512-746-2560,sonterraselfstorage@gmail.com,https://sonterraselfstorage.com/,,,self-storage,B,65,
CubeSmart,Chain,CubeSmart,Williamson,North Main Street,Taylor,TX,76574,30.6005914,-97.4159915,512-352-5588,,https://www.cubesmart.com,,,self-storage,C,5,Chain-managed
Storage King,Independent,Storage King,Williamson,North Main Street,Taylor,TX,76574,30.6029329,-97.4171662,512-352-5464,,,,,self-storage,C,40,
BB&G Storage,Independent,BB&G Storage,Williamson,Rockride Lane,Georgetown,TX,78626,30.6052897,-97.6363558,,,,,,self-storage,C,15,No website found
Happy Camper Boat and RV Storage,Independent,Happy Camper Boat and RV Storage,Williamson,County Road 110,Georgetown,TX,78626,30.5984452,-97.6196875,512-986-3153,,,,,self-storage,C,40,
AAA Cougar Self Storage,Independent,AAA Cougar Self Storage,Williamson,FM 487,Jarrell,TX,76537,30.8240059,-97.5981439,512-598-2044,,https://aaacougarselfstorage.com/,,,self-storage,B,55,
CubeSmart,Chain,CubeSmart,Williamson,Northeast Inner Loop,Georgetown,TX,78626,30.655556,-97.6438341,,,,,,self-storage,C,0,No website found; Chain-managed
Frank's RV & Boat Storage,Independent,Frank's RV & Boat Storage,Williamson,Westinghouse Road,Georgetown,TX,78626,30.5912455,-97.6536732,,,,,,self-storage,C,15,No website found
A-Affordable RV & Boat Storage,Independent,A-Affordable RV & Boat Storage,Williamson,Old County Road 105,Hutto,TX,78634,30.6103765,-97.6138141,866-788-0768,,https://a-affordablestorage.net/avada_portfolio/georgetown/,,,self-storage,B,55,
Rabbit Hill Storage,Independent,Rabbit Hill Storage,Williamson,Hillvue Road,Georgetown,TX,78626,30.6028084,-97.6628294,512-632-2221,,https://www.rabbithillstorage.com/,,,self-storage,B,55,
JnJ Rv Storage,Independent,JnJ Rv Storage,Williamson,Fisher Road,Florance,TX,76527,30.7589968,-97.8075423,,,http://jnjrvstorage.com/,,,self-storage,C,40,
Parker Self Storage,Independent,Parker Self Storage,Williamson,FM 970,Florence,TX,76527,30.8295099,-97.8057019,,,https://www.selfstorageflorencetx.com/,,,self-storage,C,40,
At The Tower Rental,Independent,At The Tower Rental,Williamson,CR 175,Leander,TX,78641,30.5886313,-97.7929043,512-921-8702,,http://www.atthetowerstorage.com/,,,self-storage,B,55,
Extra Space Storage,Chain,Extra Space Storage,Williamson,TX 29,Georgetown,TX,78626,30.631945,-97.7366176,,,,,,self-storage,C,0,No website found; Chain-managed
Red Poppy Self Storage,Independent,Red Poppy Self Storage,Williamson,TX 29 East,Georgetown,TX,78626,30.6379326,-97.5650801,,,,,,self-storage,C,15,No website found
SpareBox Storage,Independent,SpareBox Storage,Williamson,East University Avenue,Georgetown,TX,78626,30.6446797,-97.6279709,,,,,,self-storage,C,15,No website found
Cimarron Storage,Independent,Cimarron Storage,Williamson,TX 29 West,Goergetown,TX,78628,30.6375053,-97.7996013,,,,,,self-storage,C,15,No website found
Dun Deal Storage,Independent,Dun Deal Storage,Williamson,Williams Drive,Georgetown,TX,78633,30.7081245,-97.7567232,,,,,,self-storage,C,15,No website found
Georgetown Storage Space,Independent,Georgetown Storage Space,Williamson,Ronald W Reagan Boulevard,Georgetown,TX,78633,30.722571,-97.8366353,,,,,,self-storage,C,15,No website found
Blue Agave Economy RV & Mini Storage,Chain,Blue Agave Economy RV & Mini Storage,Williamson,Bonett Lane,Georgetown,TX,78633,30.730219,-97.6834777,,,,,,self-storage,C,0,No website found; Chain-managed
Oasis Rv Boat Storage,Independent,Oasis Rv Boat Storage,Williamson,County Road 234,Georgetown,TX,78633,30.7385117,-97.6641677,,,,,,self-storage,C,15,No website found
T & J Storage,Independent,T & J Storage,Williamson,County Road 147,Georgetown,TX,78633,30.7419604,-97.672719,,,,,,self-storage,C,15,No website found
Pecan View Storage,Independent,Pecan View Storage,Williamson,FM 487,Florence,TX,76527,30.8453659,-97.7794594,,,,,,self-storage,C,15,No website found
Longhorn Storage Services,Independent,Longhorn Storage Services,Williamson,Green Acres,Georgetown,TX,78626,30.7380825,-97.6256825,,,,,,self-storage,C,15,No website found
Walburg RV & Boat Storage,Independent,Walburg RV & Boat Storage,Williamson,FM 972,Walburg,TX,78673,30.7358367,-97.6008782,,,,,,self-storage,C,15,No website found
StorageMart,Chain,StorageMart,Williamson,FM 1325,Austin,TX,78728,30.464385,-97.6928902,800-264-9485,,https://www.storage-mart.com,,,self-storage,C,5,Chain-managed
Uncle Bob's Self Storage,Chain,Uncle Bob's Self Storage,Williamson,County Road 170,,TX,78664,30.4785567,-97.6459344,,,,,,self-storage,C,0,No website found; Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Williamson,McNeil Road,Round Rock,TX,78681,30.5017003,-97.684364,512-601-0302,,https://www.extraspace.com/storage/facilities/,,,self-storage,C,5,Chain-managed
Round Rock Mini Storage,Chain,Round Rock Mini Storage,Williamson,Clark Street,Round Rock,TX,78664,30.5162215,-97.6977275,512-823-0162,roundrockministorage@gmail.com,http://www.roundrockministorage.com,,,self-storage,C,15,Chain-managed
RightSpace Storage,Independent,RightSpace Storage,Williamson,Ranch-to-Market Road 620,Round Rock,TX,78681,30.4972832,-97.7251692,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Williamson,North Ranch Road 620,Austin,TX,78717,30.4701588,-97.7948518,,,,,,self-storage,C,0,No website found; Chain-managed
CubeSmart,Chain,CubeSmart,Williamson,West Parmer Lane,Austin,TX,78729,30.4613421,-97.7560141,,,,,,self-storage,C,0,No website found; Chain-managed
Georgetown Self Storage,Independent,Georgetown Self Storage,Williamson,Lakewood Drive South,Georgetown,TX,78633,30.7035971,-97.7422411,512-413-6378,,,,,self-storage,C,40,
Self Storage,Independent,Self Storage,Williamson,Westinghouse Road,Georgetown,TX,78626,30.5913032,-97.6536942,,,,,,self-storage,C,15,No website found
Lakeline Storage,Independent,Lakeline Storage,Williamson,South Lakeline Boulevard,Austin,TX,78717,30.480893,-97.7950462,512-219-9988,,https://premiumspaces.com/locations/texas/austin/lakeline-storage/,,,self-storage,B,55,
Big Red Barn V - Self Storage,Independent,Big Red Barn V - Self Storage,Williamson,County Road 313,Jarrell,TX,76537,30.8062119,-97.6104004,512-746-2819,barn5@brbtx.com,https://bigredbarnselfstorage.com/self-storage/jarrell-tx-76537,,,self-storage,B,65,
Jarrell RV and Boat Storage,Independent,Jarrell RV and Boat Storage,Williamson,County Road 305,Jarrell,TX,78637,30.8137311,-97.6390444,512-990-3353,jarrellrvstorage@gmail.com,https://www.jarrellrvstorage.com/,,,self-storage,B,65,
Bee Safe,Independent,Bee Safe,Williamson,,,TX,,30.5063043,-97.6862267,,,,,,self-storage,C,15,No website found
Hilltop Storage,Independent,Hilltop Storage,Williamson,Powell Street,Coupland,TX,78615,30.4615456,-97.393778,512-461-0400,marthapoldrack@gmail.com,http://www.hilltop-storage.com/,,,self-storage,B,65,
183 Storage,Independent,183 Storage,Williamson,South Highway 183,Leander,TX,78641,30.5542204,-97.8428334,512-796-8572,,https://183storage.com,,,self-storage,B,55,
Extra Space Storage,Chain,Extra Space Storage,Williamson,West Hero Way,Leander,TX,78641,30.5795474,-97.868793,,,https://extraspace.com,,,self-storage,C,0,Chain-managed
Public Storage,Chain,Public Storage,Williamson,East Sonny Drive,Leander,TX,78641,30.5680993,-97.8472382,,,https://publicstorage.com,,,self-storage,C,0,Chain-managed
Extra Space Storage,Chain,Extra Space Storage,Williamson,East Crystal Falls Parkway,Leander,TX,78641,30.5593107,-97.8434611,,,,,,self-storage,C,0,No website found; Chain-managed
N.E.W. Mini Storage,Chain,N.E.W. Mini Storage,Williamson,Horseshoe Drive,Leander,TX,78641,30.5696922,-97.8539698,512-259-2464,info@newministorage.com,https://newministorage.com/,,,self-storage,C,15,Chain-managed
"K&D Storage, Inc.",Independent,"K&D Storage, Inc.",Williamson,South Bagdad Road,Leander,TX,78641,30.5631106,-97.8641247,512-259-8007,,,,,self-storage,C,40,
Pleasant Hill Self Storage,Independent,Pleasant Hill Self Storage,Williamson,East Crystal Falls Parkway,Leander,TX,78641,30.5715869,-97.8059195,512-744-5638,,,,,self-storage,C,40,
Self Storage,Independent,Self Storage,Williamson,North Austin Avenue,Georgetown,TX,78626,30.6657666,-97.6668771,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Williamson,Dawn Drive,Georgetown,TX,78628,30.6650237,-97.6904485,512-364-7202,,https://www.extraspace.com,,,self-storage,C,5,Chain-managed
Northwest Storage,Independent,Northwest Storage,Williamson,Northwest Boulevard,Georgetown,TX,78628,30.6569798,-97.6768484,512-863-2241,manager@northwestministorage.com,https://www.northwestministorage.com/,,,self-storage,B,65,
CubeSmart,Chain,CubeSmart,Williamson,Shell Road,Georgetown,TX,78628,30.7240975,-97.6748271,512-819-4455,,https://www.cubesmart.com/texas-self-storage/georgetown-self-storage/3808.html,,,self-storage,C,5,Chain-managed
CubeSmart,Chain,CubeSmart,Williamson,North Austin Avenue,Georgetown,TX,78626,30.6658568,-97.6671794,512-863-3141,,https://www.cubesmart.com,,,self-storage,C,5,Chain-managed
Florence MHC & Self Storage,Independent,Florence MHC & Self Storage,Williamson,FM 970,Florence,TX,76527,30.8329567,-97.7942891,,,,,,self-storage,C,15,No website found
Love Street Storage,Independent,Love Street Storage,Williamson,South Love Avenue,Florence,TX,76572,30.8411105,-97.7905569,512-630-4695,LOVESTREETSTORAGE@GMAIL.COM,,,,self-storage,B,50,
Self Storage,Independent,Self Storage,Williamson,Hayden Lane,Florence,TX,76527,30.8462054,-97.7852112,,,,,,self-storage,C,15,No website found
