Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Arborstone Storage,Independent,Arborstone Storage,Wood,,,TX,,32.6524249,-95.2231817,,,,,,self-storage,C,15,No website found
M&M Storage,Independent,M&M Storage,Wood,,,TX,,32.6160068,-95.2095687,,,,,,self-storage,C,15,No website found
833 Safe Storage,Independent,833 Safe Storage,Wood,,,TX,,32.5899323,-95.2056242,,,,,,self-storage,C,15,No website found
Affordable Storage,Independent,Affordable Storage,Wood,,,TX,,32.7956824,-95.4191712,,,,,,self-storage,C,15,No website found
Rucker Storage,Independent,Rucker Storage,Wood,,,TX,,32.5987139,-95.2071523,,,,,,self-storage,C,15,No website found
Holly Lake Storage,Independent,Holly Lake Storage,Wood,,,TX,,32.6969312,-95.2145195,903-769-1451,,https://hollylakestorage.com,,,self-storage,B,55,
The Storage Bin,Independent,The Storage Bin,Wood,Farm-to-Market Road 2869,,TX,75765,32.6943097,-95.213333,,,https://www.thestoragebintx.com/,,,self-storage,C,40,
A&W Storage Hawkins,Independent,A&W Storage Hawkins,Wood,County Road 3802,,TX,,32.6559324,-95.2289866,972-275-6915,,https://www.holdmystoragespot.com/,,,self-storage,B,55,
Eagle Storage,Independent,Eagle Storage,Wood,,,TX,,32.6883784,-95.4805284,,,,,,self-storage,C,15,No website found
KeepIt Mini Storage,Chain,KeepIt Mini Storage,Wood,,,TX,,32.6992841,-95.5104803,,,,,,self-storage,C,0,No website found; Chain-managed
KeepIt Mini Storage,Chain,KeepIt Mini Storage,Wood,County Road 2220,Mineola,TX,75773,32.6998612,-95.510339,,,,,,self-storage,C,0,No website found; Chain-managed
Holly Self Storage,Independent,Holly Self Storage,Wood,,,TX,,32.6550474,-95.2231027,,,,,,self-storage,C,15,No website found
Mineola Self Storage,Independent,Mineola Self Storage,Wood,,,TX,,32.6416956,-95.4882603,,,,,,self-storage,C,15,No website found
Holly Self Storage,Independent,Holly Self Storage,Wood,,,TX,,32.7009325,-95.2111689,903-613-1000,,,,,self-storage,C,40,
Eagle Storage,Independent,Eagle Storage,Wood,Northeast Loop 564,Mineola,TX,75773,32.68888,-95.4803197,903-569-9468,,https://www.mineolastorage.com/,,,self-storage,B,55,
